sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.9741290721109008,0.09160717513166436,0.09160717513166436
2,0.9773064286185367,0.08137857118679077,0.11508667905890389
3,0.9095206655703896,0.05737783223830845,0.09938132066491372
4,0.8995047211255003,0.034789070383597506,0.06957814076719501
5,0.904413049558136,0.04055344599464365,0.09068026196588978
6,0.8327700859823806,0.03455153749486336,0.08463363669105617
7,0.8230502607420551,0.03352444557641634,0.08869734583651705
8,0.7968653385996738,0.028446691600590285,0.08045939413239918
9,0.7891635979268923,0.026551022375003657,0.07965306712501097
10,0.7716285367453128,0.022832427933533697,0.07220247678161809
11,0.7671800317982898,0.023620368630887838,0.07833990015853563
12,0.7587663177753707,0.023053052541654233,0.07985811654339994
13,0.7495083820183011,0.015706820777285576,0.05663174768702629
14,0.7522448087839186,0.015314112700517916,0.05730016290778149
15,0.7415639521823663,0.012962493497096458,0.05020352143957652
16,0.743614348422994,0.010906143095002388,0.04362457238000955
17,0.7395290037785854,0.009474095237114502,0.03906269536978429
18,0.7411675145288558,0.009628998172059818,0.0408523794209782
19,0.7422387488144329,0.008918629199974578,0.03887540339760019
20,0.7346382254045081,0.008961821026922579,0.040078482036771716
21,0.7271817079278013,0.009296160433168388,0.042600358857447604
22,0.72691836979482,0.008502883969793224,0.03988206097586815
23,0.7199007057932886,0.008180294206553505,0.039231312825761706
24,0.7304998955263597,0.010045732123499407,0.04921383559051854
25,0.7255836161098375,0.010166284342169608,0.05083142171084804
26,0.7090387716312329,0.007211089559611902,0.03676948637872629
27,0.707563048264709,0.005869749400090515,0.030500112565961128
28,0.7021872074721418,0.005684922183326579,0.030081780639672945
29,0.706346239405966,0.006057292703174235,0.032619519491646515
30,0.6996472633151379,0.006054506344576157,0.03316189699482507
31,0.6848032969164974,0.006447170695692293,0.035896327240557586
32,0.6827563809895874,0.006788112282482528,0.03839936181119271
33,0.6802976766398086,0.006123752155319487,0.03517827788810507
34,0.6813708767316093,0.006784461685727732,0.03955986972189946
35,0.6855416262480787,0.007181098304233046,0.04248395049812406
36,0.6826611708989514,0.008278249269727965,0.04966949561836779
37,0.6806695427917467,0.007926129564266325,0.048212763923808154
38,0.676274759072946,0.007126377664746588,0.04392994226700922
39,0.6671600305073809,0.005780751943753533,0.03610078431797847
40,0.6662953121962117,0.0053926699362584155,0.03410623933618325
41,0.6670863772818036,0.005398505048833637,0.03456729852409027
42,0.663091963267727,0.004414764789486589,0.028610945845123747
43,0.658316143887882,0.004352391838130149,0.02854054191221224
44,0.659020217605089,0.004469317891318543,0.029646101028652
45,0.6597667762735265,0.003468319281115257,0.023266193040740752
46,0.6559884638060185,0.0028618224795360406,0.019409824409339187
47,0.6605977379544308,0.004106427767769661,0.02815225041732467
48,0.6576249176901573,0.0037232590575845643,0.025795495429909925
49,0.6537679191824697,0.0034085571892708308,0.023859900324895815
50,0.6485019939650198,0.003364966395749064,0.023793905568990192
51,0.6456836461427395,0.0035296679608953856,0.02520687111925518
52,0.6466278923602466,0.00430629260344044,0.03105311757771164
53,0.6447712240862915,0.0042824841284670526,0.031176955054339848
54,0.6401154545366115,0.00521166433403417,0.03829775498713687
55,0.6358334262754537,0.00459111065996011,0.03404858793048494
