sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.6314149204528874,0.17721799108561762,0.17721799108561762
2,0.5994714899846281,0.07095959382667705,0.10035201997017285
3,0.5747598746145629,0.042227703479502415,0.07314052791345124
4,0.5381261042977111,0.034022361640945555,0.06804472328189111
5,0.5306384525098464,0.02609415904603522,0.05834831344262582
6,0.520754145500757,0.0205334269478102,0.050296418692848774
7,0.5200694674571361,0.016590374491661175,0.04389400506236509
8,0.5003164900839889,0.012230565572691574,0.03459326341678777
9,0.4909862266175379,0.011327128540330578,0.03398138562099173
10,0.4839408533640756,0.012102664919251464,0.03827198690265245
11,0.4877845626089578,0.00864411020575001,0.0286692701989546
12,0.48912184364850286,0.00888043258580434,0.03076272086360676
13,0.48794028234424286,0.008764141537311265,0.03159956169819956
14,0.4943746888278853,0.010149760981767465,0.03797692815142017
15,0.48612545049280503,0.011073959210938426,0.04288925960054475
16,0.47677697614337344,0.010988650148014223,0.04395460059205689
17,0.475119520191744,0.011340013277250718,0.0467560725380114
18,0.4700385262270242,0.008546229446688716,0.03625858077197848
19,0.46828660620675916,0.01008822604992327,0.04397355787121005
20,0.46656839051217247,0.00999582571615301,0.0447026915851173
21,0.464231110342295,0.00836940721089207,0.03835344206582215
22,0.46413838989559564,0.008830651759021138,0.04141942818002523
23,0.4603574039936621,0.00857256984344275,0.04111260069098272
24,0.4579307786267009,0.006800948229954591,0.03331770586094636
25,0.4559375695381392,0.006571263971086448,0.03285631985543224
26,0.4531312332565517,0.005490879880815016,0.02799810365906979
27,0.447751182538909,0.005525886598772124,0.02871334903781188
28,0.44845307867873174,0.005854552558429987,0.030979380214325385
29,0.44138436479193943,0.004929752629814578,0.026547530369956236
30,0.4393160812095944,0.0045656420592433385,0.025007051453419145
31,0.43814623575397976,0.0036274471677572103,0.02019677106868729
32,0.43924933474668226,0.0036105707364855423,0.020424472413781074
33,0.437431530383592,0.0038237614697451453,0.021965837308369315
34,0.43557578721795326,0.003588718067467079,0.02092564241556273
35,0.43325434038532684,0.0036061215006119775,0.02133410250517137
36,0.43332686753511795,0.003276250988870976,0.019657505933225856
37,0.42971771202479303,0.00385362290891381,0.02344067303623975
38,0.42813359042278193,0.003361213497595644,0.020719911551546916
39,0.427167391901194,0.0031735801405903172,0.01981900162574344
40,0.4293001831747419,0.0028326969577989803,0.017915548615349292
41,0.42718979795610956,0.002735656099222232,0.017516745874210874
42,0.4265138062820018,0.0026535832251337785,0.017197184803736866
43,0.429161904837172,0.0030989425255736275,0.020321125101794242
44,0.4251800369820768,0.0027959767759104027,0.018546411776484813
45,0.4299147425600981,0.0036289340977302778,0.0243436299851753
46,0.4297796506118129,0.003866874488310561,0.026226418783050896
47,0.42961939064513927,0.003400315692971224,0.023311389923334036
48,0.42617199336755374,0.002908752713557789,0.020152429946143725
49,0.42589263252503307,0.0033308206508535928,0.02331574455597515
50,0.42563803846908554,0.0032791706321162995,0.02318723790637213
51,0.4256785429172544,0.003334649974474748,0.023814164126953658
52,0.4242320898809219,0.0032938558147606947,0.0237523320682098
53,0.4219240306361017,0.003490549581640013,0.025411584528321433
54,0.424229361577065,0.003094689272296055,0.022741228888770972
55,0.4232961429295744,0.003193165595156996,0.023681149855849237
56,0.42299263142758603,0.0031323832532719575,0.02344060987562402
57,0.42361218049002103,0.0032728806998770076,0.024709707410464465
58,0.42064471797740327,0.0032300964367581488,0.024599681572409552
59,0.42100639373034265,0.0033767534077355117,0.025937335079428456
60,0.4198940174310228,0.0032541162145407155,0.025206275811079426
61,0.42141824427564406,0.0030364266905560195,0.023715250575829464
62,0.4206345628334742,0.0028703886927307375,0.022601463168036295
63,0.42055995164464555,0.003112666002468186,0.024706020470809144
64,0.42083913893319524,0.002838183993525118,0.022705471948200943
65,0.4237158524415318,0.0027405778629680045,0.022095245110529273
66,0.42283477153736665,0.0028493170714701,0.023147961315607958
67,0.4221544874643911,0.00282418040811012,0.023116912931792036
68,0.42069676098478376,0.0026726375098719453,0.022039133504379586
69,0.41928438264889395,0.002568912441338221,0.021338989386967197
70,0.41694679137596113,0.0022537568570790384,0.01885628271845103
71,0.4180519968198476,0.0025597181077135775,0.02156856815270618
72,0.4189092924610648,0.002641630438960663,0.022414977561334568
73,0.41632329224222236,0.002572721329163638,0.021981340672032418
74,0.41685838747265347,0.00233867451912265,0.020118038907237536
75,0.41609236210590783,0.0023938022575670428,0.020730935666895992
76,0.41526653916761863,0.0022629847062802825,0.01972824329090765
77,0.412804242676854,0.002528271776550197,0.02218549480087659
78,0.4147408714764368,0.0024551594896511045,0.021683381501294077
79,0.4135961857595759,0.0024555428197788123,0.021825341982237418
80,0.4141578647252337,0.002449921192094388,0.02191276130016149
81,0.41310974311928517,0.002175526538636319,0.01957973884772687
82,0.41324717396873273,0.002140347929294494,0.01938167482937656
83,0.4117294489960484,0.0019323957767291748,0.017604963372510104
84,0.4142457971486747,0.002016692477936682,0.01848329186718581
85,0.4126710493771376,0.0020027709172177163,0.018464635509061987
86,0.4124565892123309,0.0022060481750407162,0.02045804915801213
87,0.4128925641018724,0.001966685540005135,0.018344021509856562
88,0.4129655878591604,0.0023111672353994237,0.02168067044901001
89,0.4131704834602251,0.002485554076513065,0.02344867026053063
