sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.43558291825375894,0.04876062580078875,0.04876062580078875
2,0.4381701819061098,0.03612590417280389,0.05108974363417005
3,0.41527339985595796,0.026520180981586424,0.045934300886029546
4,0.4021469225201987,0.024252014889605867,0.048504029779211734
5,0.4035953083287901,0.020664960334983263,0.0462082560613594
6,0.3923526285517758,0.017065018833162582,0.0418005885922335
7,0.39135762703259286,0.01724912997930112,0.04563690825745948
8,0.3858774777513129,0.01657144358350856,0.046871120527796815
9,0.38585835188959355,0.014981689142086403,0.04494506742625921
10,0.38024959170724343,0.014872271784341475,0.04703025281957557
11,0.3737125155512025,0.01111783097759492,0.03687367383527252
12,0.37261322720102985,0.009727862143238251,0.033698302962229046
13,0.3631076716173267,0.009938440942424095,0.03583355841608073
14,0.3626992270399518,0.009592269107302376,0.03589098456126141
15,0.3630019151963154,0.010869062997496199,0.04209569997818205
16,0.359404977338943,0.01095918801497165,0.0438367520598866
17,0.36002269417294824,0.010517854220795058,0.04336622390718656
18,0.35275323273681947,0.011263542982831932,0.047787165740079664
19,0.3534722625158081,0.0108957916926218,0.047493654898008414
20,0.35115450632764644,0.010374877345064433,0.04639786200357323
21,0.34502070174027444,0.008909955297919468,0.040830544591388775
22,0.3473395853387551,0.008902613794552662,0.04175696004559127
23,0.3496232414154644,0.008564257859508944,0.04107273781641171
24,0.34994804052013817,0.0068899046142016475,0.03375350136248285
25,0.3474632897782179,0.0069408978434452855,0.03470448921722643
26,0.3460914605492514,0.006922596925917644,0.03529845680999149
27,0.3448870768888658,0.0071936561275509825,0.037379333715292444
28,0.3453627843923517,0.0065700392767845395,0.0347653800605971
29,0.34483818888780415,0.006273702035861914,0.033784919413971666
30,0.34229663706647545,0.0059270803484560005,0.03246395606994932
31,0.3413012598454257,0.006253526168642817,0.03481816014379444
32,0.33729716457250614,0.005108770516595764,0.028899570206486133
33,0.338566140132167,0.00511679311250947,0.029393738584184956
34,0.33726057040735136,0.005001553152467836,0.029163815831551813
35,0.3386035781436611,0.005289255164432029,0.03129165554595156
36,0.33592065225585155,0.004778622991065456,0.028671737946392734
37,0.33416185026011364,0.0051799324716210945,0.03150829914785184
38,0.33253314535924783,0.0047389418338798376,0.029212799400024348
39,0.33470809508286725,0.00437441266295017,0.027318198324292418
40,0.33296710882948377,0.004552408342829637,0.02879195840498863
41,0.3344027707367978,0.004527613248250186,0.02899087012759283
42,0.3324814397192477,0.0049164742319270744,0.031862394647523315
43,0.3308064996445884,0.004349685904470625,0.028522797918589065
44,0.32969635111440415,0.0038057576461044728,0.025244540310309413
45,0.32803656675808995,0.00446675141164128,0.029963879385069146
46,0.3280136225960545,0.004424463300863396,0.030008170104683204
47,0.3269900488088027,0.0038267312593850598,0.026234747762901665
48,0.3228804861581215,0.003978516917331035,0.02756397375835863
49,0.3246833381909536,0.003967607335370997,0.02777325134759698
50,0.32850131556727485,0.003946014456743123,0.027902535810232127
51,0.3245042540964702,0.003974656659215591,0.028384726059819374
52,0.3272631497930071,0.0038947555971280564,0.028085482021691147
53,0.32634994361191555,0.0032011303624352215,0.023304580808440785
54,0.32386400991394815,0.0032722479538213846,0.024046013396186172
55,0.3230191576699754,0.00296483600269602,0.021987812277680974
56,0.32247062872933047,0.002753907732987476,0.020608358423252936
57,0.32255797222027166,0.0031825796766100094,0.024027949635463095
58,0.31802918503362226,0.002829630917804576,0.0215498270433371
59,0.32130281080449913,0.0025933219865858837,0.01991968415011833
60,0.3213372538740994,0.002617938030497956,0.020278460787043255
61,0.3202054998314471,0.002290412838838493,0.017888696132230777
62,0.318341280362647,0.0020091484633753733,0.01582005082067642
63,0.3190349262218201,0.0024134186234879168,0.01915591646172257
64,0.3188566639708655,0.002174812189594455,0.01739849751675564
65,0.32398729310073754,0.0022653409615887767,0.018263762720107202
66,0.3225205661162903,0.0027052045744233736,0.021977185855012366
67,0.324622116247547,0.0026327690718646003,0.021550143620086965
68,0.3238437255617246,0.0023160171982421216,0.01909836707819869
69,0.32423036454011395,0.0023989623156233475,0.019927277617198102
70,0.3240558876550483,0.0020051343938240866,0.01677615795141248
71,0.3249175031391187,0.002454430867191739,0.020681402094864725
72,0.32507505624210475,0.0021913951934000465,0.01859460481815334
73,0.3246666028386399,0.002034332583184902,0.01738134520995329
74,0.3242423299322098,0.0014284277389023533,0.012287800030504281
75,0.3241337545639341,0.002004890533641852,0.01736286133940784
76,0.3240008696895999,0.0015098100347569153,0.013162218730898054
77,0.32204941910161267,0.0015536304030874793,0.0136330514582623
78,0.3229632680010939,0.0016513966326639636,0.014584740155147177
79,0.32200695053431494,0.0015672370075067632,0.013929907220732002
80,0.3205629299229116,0.001177220097952573,0.010529376654003657
81,0.31957112119599823,0.001185639161243146,0.010670752451188315
82,0.3197414416310897,0.0013709047595418385,0.012414070585357014
83,0.3173638106504263,0.0015466983496867743,0.01409109258179346
84,0.3176364088574705,0.001678759979793072,0.015386089362128576
85,0.3209678667864557,0.0015116678904585922,0.013936889320745145
86,0.3181189517169041,0.001760229035838975,0.01632369254306489
87,0.3174740303737301,0.001471533168065766,0.01372554764774205
88,0.317769282435388,0.0016092670810710225,0.015096263357641145
89,0.3146781135643546,0.0013983183260272893,0.013191708704350422
90,0.31674202440918864,0.0014395759088342774,0.013657016209869682
91,0.3172303090313281,0.001578845031844661,0.015061221688390079
92,0.31555690187515595,0.001293636410701247,0.012408124556292319
93,0.31887930875596365,0.001367411353427338,0.013186837539069955
