sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.9616777278559905,0.30086065923826216,0.30086065923826216
2,0.9109533390964286,0.1902370228514469,0.2690357777819966
3,0.8762594910173147,0.12187931689251119,0.2111011692496171
4,0.8482252418254721,0.10481122988459701,0.20962245976919403
5,0.8185659119530163,0.09922186328182543,0.22186683115235206
6,0.7884445560112476,0.07035437009172577,0.17233230789965384
7,0.761283687921969,0.05410780169547942,0.14315578727463757
8,0.7507375131908771,0.035867140968357615,0.10144759440199802
9,0.7258531976690528,0.03249485346996888,0.09748456040990663
10,0.6836307057134168,0.02312210239566494,0.07311850786193701
11,0.6822967215309881,0.019592821551513893,0.06498203767076052
12,0.6840876642607236,0.020298783167617948,0.0703170475562764
13,0.6604728582987158,0.016336060025344233,0.058900502060436184
14,0.646886143606092,0.015891565656604597,0.05946079402643767
15,0.6535981344709296,0.01761150251975612,0.06820905596070542
16,0.6526865469705545,0.011040764812981708,0.04416305925192683
17,0.6348153112477168,0.011145823750405116,0.04595540860743826
18,0.6377056727165555,0.00955213180321778,0.04052626303705786
19,0.6269271689995982,0.008397851027588036,0.03660538397216545
20,0.6155867927298813,0.00800184372490676,0.035785333028443285
21,0.6096379621301867,0.0080207657651584,0.03675576625034876
22,0.6086464882603798,0.008508733619271753,0.03990949826397168
23,0.6078181709530062,0.008269574110283342,0.03965948420246758
24,0.600660545056354,0.004423711522111405,0.02167167199688729
25,0.6006358095159591,0.005819530459714388,0.02909765229857194
26,0.6000457748461764,0.006111404009421862,0.031162168299491255
27,0.5965884314164982,0.006575097943589399,0.03416521110911545
28,0.597956683778755,0.00640079009737642,0.03386979758396583
29,0.5911906301573683,0.005247835997346103,0.028260461726521833
30,0.5879779778090819,0.004367378521369384,0.0239211173331757
31,0.5893384737658991,0.003427361610261114,0.01908274183214355
32,0.5873942316848082,0.003785586911149307,0.02141451340515769
33,0.5812039349090794,0.004015075908883379,0.023064855089186185
34,0.5836662309720639,0.004585857485955288,0.026739914397221492
35,0.5800992753298093,0.003967882819121287,0.023474311327911758
36,0.5799127862203954,0.003931449023156607,0.02358869413893964
37,0.5765522541863733,0.004112779852733381,0.025017063183572035
38,0.5761709897335325,0.004142323900468047,0.025534999456878295
39,0.5722691044604318,0.0035736113284933874,0.022317195593495046
40,0.5749841773073161,0.004118082587646032,0.026045041139282882
41,0.5717611447107639,0.0035500863704097624,0.02273164408335076
42,0.5686862439818414,0.0033824528989079864,0.021920800162400635
43,0.5697183036670849,0.004781889512941757,0.031356946511120004
44,0.5627271349439519,0.0033764424752970967,0.0223967856335586
45,0.5638221279945805,0.0037525668402466667,0.025172983634709423
46,0.5654201517454068,0.0041415110989035595,0.02808909490153969
47,0.5664674635477832,0.0038818216547914564,0.02661242848560744
48,0.5674403822729408,0.004166738689328684,0.02886801244712093
49,0.5640032418207842,0.003749299588681042,0.026245097120767294
50,0.5698800888785885,0.0046058800940850615,0.03256849047859681
51,0.5683187855884647,0.004242650893502508,0.030298587703241533
52,0.5696364645494905,0.0045245398291787415,0.03262692070396606
53,0.5692865210490374,0.004320282779031649,0.03145213338411663
54,0.5677900978765705,0.004210615998433473,0.030941582096884628
55,0.5671969073855003,0.004179548668838961,0.030996362514586193
56,0.5656243417024658,0.003813577235626276,0.02853819886742801
57,0.5660338036764077,0.0037676386222498283,0.028445047809917797
58,0.563722294164374,0.003768950533671309,0.028703472111665383
59,0.5611626742895195,0.0037700303389461183,0.028958152507331622
60,0.5641870643165727,0.0038204560183750036,0.029593125068168573
61,0.5632043177802746,0.003393165715895049,0.026501471432866876
62,0.5628888994745609,0.0037626190815723184,0.029626892275207525
63,0.5585341137806294,0.00329331075496284,0.026139843743058153
64,0.5573007298454282,0.003121339299237381,0.024970714393899047
65,0.5585426040684163,0.003355434009807068,0.027052373844471504
66,0.5572178937308139,0.002993281134351209,0.024317530891341515
67,0.5588159078950882,0.0031910307221991855,0.02611971216708325
68,0.5555081741270854,0.0029530893238241987,0.024351798408022013
69,0.5521176340866647,0.0026895062974603436,0.02234071718995253
