sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.7962799995075763,0.10321406868196498,0.10321406868196498
2,0.7504247560221741,0.07698522320935941,0.10887354676499605
3,0.7134285089528171,0.03808537269651337,0.06596580053555764
4,0.6823907817087969,0.03288126182947142,0.06576252365894283
5,0.6371217960697027,0.031816088542926474,0.07114293676013583
6,0.6081312384801223,0.017463092757119974,0.042775666585836584
7,0.5879806451678755,0.017932347704912668,0.0474445324507388
8,0.5904429958423909,0.0156331655828296,0.04421726958012383
9,0.5850159480776814,0.013540169708824776,0.04062050912647433
10,0.5632463676896243,0.016208512561040375,0.051255817176336545
11,0.5437235788794699,0.014746998835918427,0.04891026192254928
12,0.549716626290573,0.018688148005287016,0.06473764368904815
13,0.5541914787253296,0.015738616572002248,0.05674638905522138
14,0.5549717465021125,0.01591747226231532,0.059557727669061436
15,0.544954048460134,0.013196751454501296,0.051110798607322025
16,0.5418575196213868,0.012270918687894379,0.049083674751577516
17,0.535208218664466,0.010915112649817982,0.04500416237071501
18,0.5265249397454459,0.008020440034156357,0.03402784521751215
19,0.5199259206686939,0.00762492182025143,0.03323626366687419
20,0.5201650464334736,0.006626288114921955,0.02963366132692886
21,0.5230087476437856,0.004316423788211789,0.019780338740988557
22,0.5212613079313495,0.004810744516350325,0.022564391895973708
23,0.5143982991242056,0.004535616948045146,0.021752054737106338
24,0.5105689135223772,0.004140311603053971,0.02028330160721376
25,0.5058362019718603,0.00366182479013743,0.01830912395068715
26,0.5088666324904426,0.004264815567251644,0.021746377799290412
27,0.5073744923292602,0.004236712327734388,0.022014603026068096
28,0.5117970763223925,0.0030543306594180528,0.01616199869316018
29,0.5091601691165296,0.004415564618057332,0.02377854318479065
30,0.5017284038955234,0.004523251525661888,0.02477486893874674
31,0.4960466972332159,0.004305030114075115,0.02396939325005749
32,0.49665459685724916,0.004985332240782193,0.028201297871400122
33,0.49303538377490363,0.004759556280403541,0.027341569222501663
34,0.49068703716050965,0.004927417346921334,0.028731533515724553
35,0.48609522957684625,0.0056164711390319115,0.033227491357989164
36,0.4848328553327354,0.005652878339408143,0.03391727003644886
37,0.4846860921202475,0.005944111123529189,0.0361566164181322
38,0.4824487761327105,0.005572950172337123,0.03435397208020333
39,0.47912745453876393,0.0052931767011509985,0.03305587790385702
40,0.4786613119863601,0.005094020054987823,0.03221741164067538
41,0.47710350227859843,0.005062924657087961,0.03241853558409632
42,0.4750510734215191,0.005287349803228883,0.03426594305650421
43,0.47542818389376407,0.005379511472176274,0.03527581576957327
44,0.4742023580398233,0.0051667884832661826,0.034272597540246794
45,0.47657344529698653,0.005137297195970275,0.03446203725242578
46,0.4760039416672897,0.0055285750980316834,0.037496620651340004
47,0.4712959189584933,0.004459676905754226,0.030574004495236253
48,0.4706061013362118,0.004625669286305278,0.03204757689156643
49,0.4691633689312571,0.0048336606575652835,0.033835624602956985
50,0.466671271043706,0.004731313588936483,0.03345543922657049
51,0.46824436032217137,0.004562364300247016,0.03258179811515305
