sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,1.1189812818181109,0.18659181567616068,0.18659181567616068
2,1.036664327296416,0.14155094210917624,0.20018326209748588
3,1.0355638561945317,0.09511038899558846,0.16473602606799906
4,1.031090411669418,0.06191766005740118,0.12383532011480236
5,0.9968408025986909,0.0560740045852524,0.12538528602325927
6,0.9933993283402647,0.05108862027282207,0.12514105133122239
7,0.953322485953688,0.04024062854465335,0.10646669573007979
8,0.9168082084097758,0.02919036235193033,0.08256281265736974
9,0.9212729060319399,0.030569499590775703,0.0917084987723271
10,0.9128310311625514,0.03220887771394075,0.10185341445389001
11,0.8968569592759922,0.033818055327654355,0.11216180066130894
12,0.8850268883047615,0.03330481738989522,0.11537127171220402
13,0.8650619551860521,0.03281165877528059,0.11830411814730213
14,0.8112903449073728,0.01934559418403951,0.07238458538024244
15,0.7981547608970319,0.015166151426318103,0.05873825190018988
16,0.7982680458300049,0.014725612819431778,0.058902451277727114
17,0.8083189538251638,0.01586969215335523,0.06543241699431938
18,0.8067429050447377,0.014106529123029139,0.05984893441139655
19,0.7955758960845485,0.013563029248693832,0.0591198738633428
20,0.8001663446644862,0.012447574350533475,0.0556672448055513
21,0.7963503743543129,0.011781098343911866,0.053987774930695016
22,0.793852102482145,0.01186029764172451,0.05562972697494129
23,0.7916061419452436,0.011295682734851572,0.054172191337140393
24,0.7833383194099527,0.01160702776101985,0.05686259088963544
25,0.7871502987287853,0.010881078691376823,0.05440539345688412
26,0.7708482749882797,0.011497626811000252,0.05862662346929786
27,0.7631962678522923,0.011063300460403989,0.057486595490459584
28,0.7595120313139445,0.01040882646260067,0.055078332520139064
29,0.765816154670042,0.010948375041462143,0.0589588039685917
30,0.7673522649748125,0.010766498961559899,0.058970543466023026
31,0.7696373873200404,0.01237923898717405,0.06892468567174369
32,0.7683082219006836,0.012235715530484565,0.06921565939420153
33,0.7668015392965817,0.011738520806491704,0.0674326681505817
34,0.769725118887418,0.011803129298200586,0.06882347914644679
35,0.7647353644528907,0.012214759415909469,0.07226349123588768
36,0.7631475253194671,0.01219761304992007,0.07318567829952041
37,0.7623785688033611,0.01303041735445081,0.07926093443780104
38,0.7406211172325498,0.008309042458792841,0.051220377684246365
39,0.7448107046475555,0.008352362333299395,0.0521604860533529
40,0.7400231698309823,0.00829053500755536,0.05243394729047241
41,0.7417127581986638,0.007457097750585485,0.04774872334767989
42,0.7467335190792745,0.009490968398876674,0.06150850516990295
43,0.7450683452668528,0.008849344780216855,0.05802903437662482
44,0.7454453778203687,0.008471116391155142,0.056191029249782226
45,0.7416981853942374,0.009091405500574756,0.060987002130901975
46,0.7362241388397222,0.007720523798426664,0.05236314004350135
47,0.7304071401514902,0.006543799652985382,0.04486203019509199
48,0.7317007537392902,0.008206302430783121,0.05685493100956938
49,0.7298285642887646,0.007020138398469156,0.04914096878928409
50,0.7261603270069148,0.006734788576690753,0.04762214672435728
51,0.7257242564941957,0.006179066831030448,0.044127363528987024
52,0.7350130385692929,0.006615064444756518,0.0477019080921367
53,0.7259343257548997,0.006882277034208988,0.05010373309751305
54,0.7232118836436735,0.00669140785110286,0.04917160468816585
55,0.7203777395465985,0.005009987254459291,0.037155059896889546
56,0.7187382258548597,0.005951132821774768,0.044534200164532814
57,0.7179781463969475,0.006427256119437494,0.04852471957483384
58,0.7173733065378207,0.006345116988224128,0.048322971312477515
59,0.7160442705684977,0.006416088376181852,0.04928290994865843
60,0.7113252325729645,0.006883789947824669,0.053321607653429935
61,0.712867930653486,0.006798001610445298,0.053094089874793304
62,0.7165834641092221,0.005360748914724744,0.042210579165142904
63,0.716942949248033,0.005351074059122285,0.042472833622579524
64,0.7227066201238226,0.005409958412749553,0.04327966730199642
65,0.7199213337469721,0.005752848223633255,0.046380945165772756
66,0.7209402982574914,0.0058434109764514425,0.04747209518676284
67,0.7198952970382979,0.005520119315526814,0.045184123940414066
68,0.7137685610733558,0.004622841501180559,0.03812092759971271
69,0.7119313229063359,0.003832668943012266,0.031836539300690685
70,0.706548921882576,0.0053222503605619,0.04452914127888713
71,0.7097878341026929,0.004908129612038334,0.04135663521719698
72,0.7115055766075675,0.004755240504296378,0.04034955368113088
73,0.7083414147939621,0.0049885495370345385,0.042622185928125125
74,0.7104668548532992,0.004969409542697328,0.04274847727142797
75,0.7044068435363942,0.00500124248421492,0.04331203041816116
76,0.7043493130072975,0.0049771423556042756,0.043389721111390035
77,0.6992708984580125,0.004942472692544169,0.043370021862733144
78,0.7087714023422751,0.006006043088606447,0.053043936311433254
79,0.7093413810925066,0.006292079470369725,0.055925225621846215
80,0.7057734879618682,0.004816455419069801,0.04307968691054925
81,0.7079487003928094,0.004977766365678661,0.04479989729110795
82,0.7040674898325572,0.005561283912406793,0.05035956768937118
83,0.7046283095134341,0.004780578942209845,0.0435531469228587
84,0.7018245920480674,0.005763426991301645,0.052822680899982766
85,0.6990211034500662,0.005299722965603923,0.048861031492721474
86,0.6940779303883191,0.005005549961755951,0.046419560705467794
87,0.6929249116780722,0.004402812353580175,0.0410666997214644
88,0.6938894124696233,0.004520366060476019,0.04240479242045534
89,0.692532893370802,0.004913578607146194,0.046354607870694155
90,0.6907499080008499,0.004585243193937465,0.04349943635588266
91,0.686190839600851,0.00441708271564282,0.042136283583529055
92,0.6875550174867695,0.004170040094033316,0.03999761947288582
93,0.6910437527671205,0.004599193400527729,0.044353014936953004
94,0.6910429117353404,0.005680185933062452,0.05507144586817286
95,0.692654718886266,0.005036854464035059,0.049093184605682696
96,0.6866745645006649,0.004644630819770885,0.04550790220817363
97,0.6815078279870446,0.004530034320703042,0.04461566386186027
98,0.6904348422690667,0.004933884156046072,0.048842961220606614
99,0.6887676424219539,0.004842258649197744,0.048179865231726265
100,0.6884379341377935,0.005367997124254517,0.053679971242545164
101,0.6844577815178761,0.005224153971841718,0.05250209764259395
102,0.678492471056009,0.0051213054562070474,0.05172264974582373
103,0.675086939746223,0.004526691553166492,0.045940901721705604
104,0.6820072744505159,0.0041352810357344885,0.042171757390800674
