sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.6304334708300499,0.12268008735118309,0.12268008735118309
2,0.5947467580171277,0.07943642590770837,0.11234007086512669
3,0.5965785103675482,0.06740084741105319,0.11674169218914134
4,0.5579840475087837,0.041984895510890206,0.08396979102178041
5,0.5398470722268222,0.031171250086156593,0.06970103413629232
6,0.5117447196213163,0.024807095708886378,0.06076472648715777
7,0.5115617868825219,0.02244752776766922,0.059390576021469646
8,0.5029697863397992,0.015779746875914318,0.04463186408546501
9,0.5140903184548319,0.01603147343034819,0.04809442029104457
10,0.5078961641150306,0.014254225280822872,0.045075818168553515
11,0.4999108397734414,0.011966453726061883,0.03968823708049758
12,0.4874314761591072,0.012178264369401217,0.042186745271617324
13,0.49232701362566955,0.013575540935783451,0.04894730893612762
14,0.4960768801693586,0.012539890422572824,0.046919973628955405
15,0.49903999287295153,0.01316626191043249,0.05099271311091008
16,0.4967162850194855,0.012607453884784096,0.050429815539136384
17,0.4844624654458782,0.009707438221530622,0.040024793141528806
18,0.48531813123290524,0.009731193921449627,0.041285959265390054
19,0.47912498146850896,0.010556960344567311,0.04601672329293524
20,0.48298202999076834,0.012509647944063673,0.055944846355033724
21,0.47923457995848373,0.013065448018427848,0.0598734045329564
22,0.47713625218958555,0.011668105356640276,0.054728265252065735
23,0.4810043838732727,0.011456115958867622,0.05494160205026326
24,0.47386662599839735,0.008947770267163304,0.043834942980393615
25,0.4667047450835649,0.005862641780779784,0.029313208903898918
26,0.4578410259795637,0.004692499309074246,0.02392714554449024
27,0.45903834249570463,0.004475852617422634,0.02325721242169844
28,0.45860473097291277,0.005189431502253847,0.027459890401536007
29,0.45860609346717196,0.00498247944055675,0.02683147293555742
30,0.45358006009512825,0.0051630498936351445,0.02827918892268617
31,0.4492482888438377,0.0057880976369758955,0.03222676375173505
32,0.45634734668087307,0.005045471513377301,0.02854149697114114
33,0.4530224278786008,0.005328483166647696,0.030609805361831024
34,0.4550024899238746,0.005542514118740985,0.03231813320287958
35,0.4540888051078479,0.005134645410557151,0.030376971906782388
36,0.45371628996107943,0.004609374366784423,0.02765624620070654
37,0.45401802776975586,0.004471593749352824,0.027199642909279086
38,0.44967892679336574,0.004041445650790767,0.02491314416197267
39,0.45356040627104804,0.004035238575750147,0.025200056828619675
40,0.4525515702276933,0.004239705467148478,0.026814251768914752
41,0.45003959151531747,0.0038093210459543237,0.02439155591751318
42,0.4485296164253915,0.0044108544579034865,0.028585604000088864
43,0.44889885459309664,0.0041608769054852605,0.027284694514907542
44,0.44704512209757563,0.003725713853686608,0.024713589857815108
45,0.44890823339231245,0.004078830301144593,0.027361625466135745
46,0.4477065546352753,0.003768683894802867,0.025560457776642797
47,0.4484702052335347,0.003220562869480709,0.022079066652036208
48,0.45630055982050716,0.0032794689824985576,0.022720827598134843
49,0.45140175495196627,0.0031376862910925296,0.021963804037647708
50,0.4475645788427366,0.0034637489881297304,0.024492403978345748
51,0.4449734841218998,0.0028800514245163,0.02056768111870604
52,0.45027087016239226,0.0031088433069496537,0.02241818790118002
53,0.4440573221365307,0.003082462355024218,0.022440664674146727
54,0.4438056674415233,0.0030736980669686565,0.02258697566235662
55,0.4458046194848039,0.0025480436530831737,0.01889679748504914
56,0.44912808658580594,0.003063179370313197,0.022922735435891847
57,0.4480770622209193,0.0025682496133854122,0.019389859369507975
58,0.44658515455679926,0.0026098404490702753,0.01987595270262519
59,0.4450612711623541,0.0027884823442280325,0.021418739301373838
60,0.4437500991894563,0.0029947713359118867,0.02319739901937215
61,0.44672953766993356,0.0023479812471807054,0.018338319774828006
62,0.4446333327077179,0.0030119089088603587,0.023715794464172785
63,0.44508261359392876,0.0030851226036163514,0.024487401519938896
64,0.44345194217177164,0.0027940219568569425,0.02235217565485554
65,0.4420839335050729,0.002925191893927683,0.023583651012078568
66,0.44459289059851803,0.0029938028886541787,0.024321769643336624
67,0.44399330701592776,0.0026170646657952294,0.02142159751633643
68,0.4417598862527772,0.0023947814773828194,0.01974787396304415
69,0.44119067302323794,0.0022574043484385985,0.018751408828995092
70,0.4419946544220667,0.0024000015482760167,0.020079853590624346
71,0.44606454376895666,0.0023282531794758437,0.019618210000137516
72,0.44637276836588197,0.0025711212342366357,0.021816687119777408
73,0.4432203630712195,0.002540211078605765,0.021703572969504738
74,0.4436425715803353,0.002338923600965541,0.0201201815902682
75,0.4432229344329559,0.0023905167791602572,0.020702482589257377
76,0.44418674555146664,0.0021878377249666754,0.019073127095991346
77,0.4432021613114615,0.0021185473872919183,0.01859017787648921
78,0.44168290871371596,0.0020687774743322856,0.018270947938948442
79,0.44358137298726036,0.0022429395381928434,0.019935682681742034
80,0.44253756440525527,0.002177756171070877,0.01947844334773657
81,0.44387054704459317,0.002025652089073529,0.018230868801661762
82,0.43885364306016994,0.0019777606648794114,0.017909384531541797
83,0.44180306583662626,0.00175189428681074,0.01596051653767162
84,0.43886725960189654,0.0015659325310348772,0.01435200871332222
85,0.4370756956366112,0.0015673044982607131,0.014449833499829767
86,0.43792152322976285,0.001529149434217926,0.01418074847554015
87,0.43866892477650354,0.0017777368141613527,0.016581625122313447
88,0.43992210571242457,0.0016024035039783854,0.01503187729731301
89,0.4404093886175815,0.001586500434772095,0.014967015167639543
90,0.4386943419637411,0.0016245036607588025,0.015411394905837938
91,0.4395711345568917,0.0017433893120547671,0.016630874081003628
92,0.4367945396781394,0.0012703126702460895,0.012184411096859502
93,0.4382572248922476,0.0013073265596347402,0.012607400771687864
94,0.43879344918103114,0.0011445377704544935,0.011096705391768885
95,0.43935598562153483,0.0013076985190751719,0.012745868530436941
96,0.4369203452066765,0.0012302700888699551,0.012054135854159615
97,0.4380456534917666,0.0012401188896431156,0.012213754601416322
98,0.4367401293024189,0.0011557287594902458,0.01144113100267017
99,0.4356851143429128,0.0012637179861615152,0.01257383520276385
100,0.4358925965714244,0.0010522349480264854,0.010522349480264854
101,0.435071663595396,0.001365591735288414,0.013724027088879202
102,0.4292790548615029,0.0012328675146152975,0.012451351552203378
103,0.43146625030689806,0.0014781279329575704,0.015001360110920283
104,0.4310219036512807,0.0013101650064777158,0.01336111386811258
105,0.4276121816678852,0.0014310005942848886,0.01466339263569618
106,0.426885478692166,0.0015179729775583873,0.015628488340953917
107,0.4292295232013485,0.0016704787450128745,0.017279566499676935
108,0.42752444984744165,0.0017611992980134006,0.018302919998483103
109,0.42857037387757047,0.0015787662303986033,0.01648280335127871
110,0.4273910559371047,0.0013960773564625942,0.014642182841879636
111,0.4257023162410877,0.0016933477012207217,0.017840525063250654
112,0.426784901053577,0.0016911498649716992,0.017897447889822313
113,0.4248119110611116,0.0015944266679561805,0.016948987968086852
114,0.42118877095645446,0.0016213431456110951,0.01731120763908426
115,0.4243604906276663,0.001339012059376195,0.014359304612090762
116,0.42478874462815075,0.0015483858571867634,0.0166766260519739
117,0.42109696173107275,0.0014581748089190743,0.015772572126442883
118,0.4207937292449144,0.0014787220362478027,0.01606303288726049
119,0.42312705934691974,0.0014749230320180906,0.016089510747530983
120,0.4247647018172945,0.0013576531847377684,0.014872345490992084
121,0.42273598318945044,0.0014616616734998416,0.016078278408498257
122,0.4244437298626056,0.0014012144183198343,0.015476919112830622
123,0.42059262411432885,0.0015933554454444522,0.017671166735387937
124,0.42296138557401275,0.0018257263155909609,0.02033042783245662
125,0.4211501332866073,0.0016117925093737842,0.018020388082923743
126,0.42157994720811376,0.0015131115577152715,0.016984635110815112
127,0.4236273855999415,0.0014671890190238587,0.016534380527498223
128,0.4204501477084667,0.0015330740157008175,0.017344752521007038
129,0.4237016449794494,0.001495421121438532,0.01698471897404657
130,0.42096817855484875,0.0016164214636807492,0.01843004029491569
131,0.4194033757652905,0.0015838871550003777,0.018128417087284538
132,0.4215829415562804,0.0015116926135418493,0.01736802584159991
133,0.42355897401513937,0.0013406638060493642,0.015461289261673882
134,0.4252550983753271,0.0013398238368545437,0.015509582213898818
135,0.4236794591021943,0.0012301199712748405,0.014292702487753809
136,0.42213498864170906,0.0012626494844057952,0.014724896807242828
137,0.4210344246663656,0.001277394042989379,0.014951513940931567
138,0.4209098987226928,0.0013151421915738007,0.015449422636459282
139,0.4216959956985634,0.0013639027688689641,0.016080176493031763
140,0.4229293975597505,0.0012945715435289575,0.01531757707289546
141,0.4232852918031494,0.0015580378978213424,0.018500674983300047
142,0.4215732543118061,0.001455415349304932,0.017343275501960995
143,0.4224448538671295,0.0015181614650471905,0.018154570649163124
144,0.42068662323633293,0.0015645922153466124,0.01877510658415935
145,0.4227020172810071,0.0013310279560012294,0.016027699019205394
