sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.49450126966564917,0.0986094299169193,0.0986094299169193
2,0.4612151012733336,0.056307030183383705,0.07963016574229247
3,0.4041298122324883,0.01995413684928233,0.03456157884413935
4,0.4261442621642001,0.02350909208062885,0.0470181841612577
5,0.41812752810846937,0.02409669466605953,0.0538818473063657
6,0.42571811565924894,0.0204469376945324,0.05008456415408383
7,0.42321782977695116,0.022318663769631628,0.059049633929712665
8,0.42156378973299635,0.01830371240368537,0.051770716646136986
9,0.4184823273148409,0.017313768321778417,0.05194130496533525
10,0.4099923835088646,0.015467727194532457,0.04891324816084891
11,0.40949253807808156,0.016281589698781417,0.05399992402137355
12,0.4006920532476491,0.01594995643635134,0.0552522698525415
13,0.4005087569651592,0.01528531000818841,0.0551119689958862
14,0.39704736438193433,0.015502382780820676,0.058004605044454836
15,0.39788003616900103,0.012826544713101833,0.04967699406322819
16,0.3876859223281171,0.011830094451919423,0.04732037780767769
17,0.4043575860330405,0.011412840760338014,0.0470563479432282
18,0.3936053451017056,0.01201295223122113,0.050966639908599155
19,0.39212764295678115,0.011375107578861015,0.049582944408158795
20,0.38664018729326066,0.011729250100708027,0.05245480110055881
21,0.37620209955443507,0.012688644977157609,0.05814667607424596
22,0.3832560294474726,0.012715683218059626,0.05964184096290918
23,0.382199425133953,0.011787410659013054,0.05653043561672716
24,0.38425168461408576,0.011155116559878553,0.05464868718594657
25,0.37735417131873833,0.009731982597877635,0.048659912989388175
26,0.37330017002022853,0.009571444320104377,0.04880498136147904
27,0.37248644732291225,0.009150721305402931,0.04754854268058263
28,0.3754088361687847,0.009448678267887601,0.04999770583018225
29,0.3800286020706064,0.009527405850123124,0.051306650687370434
30,0.3742271210250664,0.009439672347331651,0.05170321480091287
31,0.3731124912211775,0.00943913266237346,0.052554866453587805
32,0.3698282634672472,0.008798247802248737,0.049770405468237765
33,0.3707762454873878,0.009013037518222532,0.051775958659026976
34,0.3775572674283212,0.00826138067245193,0.04817171328607192
35,0.3688617815143545,0.00875008921872697,0.051766225927228536
36,0.3714433142931363,0.008572121406341315,0.051432728438047894
37,0.3668576366848978,0.008450441736660482,0.05140203036022659
38,0.3616591326430632,0.009456018095596826,0.058290810360825104
39,0.36063667401936395,0.008996208972637075,0.056181307027292245
40,0.3633456374696352,0.008190939712740196,0.05180405133876865
41,0.3616582632871958,0.009104845645842798,0.058299457832980954
42,0.3581706045057184,0.00832685963555927,0.053964218130098614
43,0.36253889930344496,0.008382951034994526,0.054970686064210426
44,0.3566122450848352,0.008682589260828258,0.05759378157387313
45,0.3573061095440634,0.009147034292842287,0.06136017141395122
46,0.3564228293684282,0.008925566702727164,0.06053613866429099
47,0.3563399036365935,0.008964979806668215,0.06146080505408741
48,0.35275653496012765,0.009587014997121987,0.0664207882717603
49,0.3578155385112297,0.009803895069979997,0.06862726548985998
50,0.3557052112800513,0.00997083018726169,0.07050441639472275
51,0.3542466101501892,0.009933775089954942,0.07094134383015503
52,0.35373450946551077,0.010329412733984283,0.074486454515622
53,0.35282879965954267,0.00877868687969525,0.06390980516776652
54,0.3516481484702676,0.008153550829406477,0.05991611737167732
55,0.3508490411777068,0.0085302696147489,0.0632621726114189
56,0.35164196261272557,0.008315001354892975,0.062223772481141255
57,0.35185889274879506,0.008137765463019074,0.06143878191885843
58,0.3588077420697765,0.008068424366832291,0.0614472892996184
59,0.35081167094721566,0.007530581811566378,0.057843496460889765
60,0.3532613057167037,0.00748264096508208,0.05796028768682458
61,0.34988672077146604,0.00778328130017668,0.06078937025219523
62,0.3516783478297771,0.007732721482679466,0.060887509842158405
63,0.3508968205577502,0.008284957379703205,0.06575981054839204
64,0.35079894433807496,0.008082699871804159,0.06466159897443327
65,0.34879155010243473,0.007865175097852787,0.06341106887438844
66,0.3474407577399542,0.008093827899180575,0.06575456869345699
67,0.35341239456524287,0.007227305359723336,0.05915804395938003
68,0.35468631047474414,0.006977356546650693,0.057536756058871374
69,0.35462453432025426,0.007044783883394849,0.058518369914908316
70,0.35139672434191976,0.006633590645741805,0.055500601256825335
71,0.35274951736539367,0.006667648496944747,0.05618260487015067
72,0.3548010504743943,0.0069331712565551705,0.05882990892765381
73,0.3535790066188511,0.00700053626108295,0.05981260803392391
74,0.34435238678516683,0.005631259442553718,0.04844192538795222
75,0.3433691694837599,0.0054805886202499935,0.04746328972828401
76,0.34424876466147336,0.005273915981518916,0.04597693360033016
77,0.3405323655544407,0.005382791515255699,0.04723380385112524
78,0.34268916686609874,0.004945958606641852,0.04368152366861691
79,0.3409053002109093,0.0047860291957609,0.04253915797887145
80,0.3426384135106156,0.00431525279163268,0.03859679432874563
81,0.33875110669440167,0.004071078410458601,0.03663970569412741
82,0.3321846783447694,0.0041881681151958025,0.03792547530636507
83,0.32905117487402386,0.003685822168266373,0.033579438048528414
84,0.3305133323257695,0.003597218115748078,0.03296904861336397
85,0.3301079087720163,0.0034023177537735845,0.03136781978875244
86,0.3271209655369443,0.003201583012832537,0.029690259442668676
87,0.32477973753051226,0.0031908021463170097,0.02976182110210811
88,0.3239160078937553,0.003406245605768106,0.03195341614224806
89,0.3211714982849069,0.002606459308416724,0.024589287937076675
90,0.3254975485085976,0.002599592248761589,0.02466189748141696
91,0.3241600911656305,0.002883517156839351,0.027507000538673918
92,0.3226806344744812,0.0029446320591272625,0.028243918507439538
93,0.32428527628131976,0.0031416980543464462,0.03029743883260819
94,0.3247451731833087,0.003168753476477624,0.030722204802077095
95,0.3258376898413845,0.0029083048308107245,0.028346649077926556
96,0.3270624246969641,0.0029628736270451775,0.029030114234439814
97,0.3215190405536775,0.003259446810432552,0.03210182814846806
98,0.32288003914827795,0.0030346097136820663,0.030041103495188192
99,0.32227939614631235,0.003088676750425704,0.030731945639568745
100,0.32208893132000704,0.0026300524016705353,0.026300524016705355
101,0.3223756435280244,0.0025020839040121247,0.025145632028930432
102,0.32062025291295404,0.002323883188462438,0.023470069738053004
103,0.31739061900774285,0.0020656121765674934,0.02096367399551761
104,0.315366614091317,0.0018251053971727901,0.01861249606909513
105,0.3138954544128543,0.002288654979697728,0.023451734897230885
106,0.3116975930664769,0.0021247957189704653,0.021876110847672468
107,0.3146111964997596,0.002039707982773318,0.021098903433208187
108,0.3164254864321914,0.0018430273743668406,0.019153302312861803
109,0.3154343577221633,0.002086797824453321,0.021786808909420387
110,0.31440151642800174,0.0021181401324890776,0.022215241126188418
111,0.31378122759812277,0.0023049280264881545,0.02428392361232538
112,0.31296206609128147,0.0021726147052568224,0.022992792819485786
113,0.31315297892917365,0.0021538807997539414,0.022896066964633918
114,0.31048356645840675,0.002114517168063022,0.02257686526867253
115,0.31279405930457854,0.0018703419555362174,0.02005718296579781
116,0.31523635474826345,0.0019578273615312902,0.02108644601152661
117,0.31129863263100016,0.0023411977303937257,0.025323925388803487
118,0.31297644898877813,0.0022635810104520517,0.024588783640589817
119,0.31752757629364364,0.0020820262654700026,0.02271222514512237
120,0.3151976797856852,0.002383068136187561,0.026105203485234412
121,0.31742203273894537,0.0022199583241944085,0.024419541566138493
122,0.3154046562100154,0.002338999740295507,0.025835096550671125
123,0.31267824278280615,0.0023203055835579966,0.02573343378047557
124,0.3093392999392866,0.002327475169935271,0.0259176666130747
125,0.31183427843490014,0.0021077143285572328,0.023564962579021492
126,0.3130723035178178,0.002585452245757896,0.02902162948047392
127,0.30845518463797267,0.0022628589580271645,0.025501125353958806
128,0.308011137848097,0.0021523052918264642,0.024350554672546945
129,0.3060013727677487,0.0020467220867843175,0.023246294280346427
130,0.30400180512408953,0.0019368144669404412,0.022083082581819777
131,0.30445759152361707,0.0020060523884591077,0.022960319036693856
132,0.30497897508984095,0.002154652757044547,0.024755075488756564
133,0.3078193813237366,0.002567161819747072,0.029605954376882095
134,0.3071529174020083,0.00223533196707788,0.025875838274486793
135,0.3083155752786744,0.0023282264560359448,0.027051546871280186
136,0.3066209390901896,0.0024381980662019497,0.028434031268256815
137,0.30818020568556476,0.002341404119749412,0.027405432591389504
138,0.3074776451310136,0.002330379368268369,0.027375759058097762
139,0.30878832712457643,0.002105721340131244,0.024826088462693695
140,0.3082839723822876,0.0018976637439347484,0.022453460221226983
141,0.30270689604044626,0.002096899811335841,0.024899305682047047
142,0.3086378513354077,0.001983218707997864,0.02363277840231414
143,0.3036207738343385,0.0018906339238426312,0.022608693431063094
144,0.3049374173012742,0.0016539342824696656,0.019847211389635987
145,0.3044182683355345,0.0018066409466492431,0.021754837828995708
