sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.9089504658344891,0.11777165394313052,0.11777165394313052
2,0.9094750554035447,0.08271678733976257,0.11697920249182335
3,0.9424551769340288,0.11379766008498028,0.19710332904963868
4,0.8710447050668559,0.045088132624540055,0.09017626524908011
5,0.882471950619492,0.05161534285470875,0.11541541530508682
6,0.8153715932680845,0.017974612043179166,0.04402862783027435
7,0.8003469708156284,0.011366278937404493,0.030072347400563783
8,0.7679190220739349,0.021957523854589923,0.062105256062583665
9,0.7788197696203107,0.021474521167819977,0.06442356350345993
10,0.7649949765170974,0.021363551461617905,0.06755748152893183
11,0.7629951045270921,0.022566374946867807,0.07484419857723679
12,0.7539552421679686,0.02195772818829415,0.07606380168182557
13,0.7548711609318065,0.025286980510740124,0.0911735048331321
14,0.7382416828141831,0.024066880439606503,0.09005002097345895
15,0.7391514173817665,0.025768021545328777,0.09979911830977227
16,0.7251586419302087,0.020246981293825232,0.08098792517530093
17,0.7179934625500628,0.019512667737662002,0.08045279011996243
18,0.7172851106015156,0.02117757130421794,0.08984882566964486
19,0.7175736367512483,0.017705610646793952,0.07717696754305267
20,0.7076291114011795,0.02008622687085392,0.08982833738942451
21,0.7079338526219671,0.02170873565558667,0.09948192438351271
22,0.6966294091594754,0.02312643612300631,0.10847260045989865
23,0.7002498253958485,0.022053544254927445,0.10576508273855316
24,0.701494481848908,0.02102949523582991,0.10302306575214615
25,0.6951751355744348,0.018485591452662254,0.09242795726331127
26,0.6804106961667458,0.011855102664013364,0.06044939981944995
27,0.6611129910847299,0.011910825217895233,0.06189046331240156
28,0.6642471805135894,0.014064150427948039,0.0744204888675063
29,0.6535743863826851,0.01259629258142558,0.06783311150986246
30,0.6517524166467326,0.011545283513763608,0.06323612213280834
31,0.6551885198088836,0.012671178230762364,0.07055013458830625
32,0.6518641793971847,0.013370683454061054,0.07563600751572273
33,0.667271464635894,0.012365947853662528,0.07103696212918686
34,0.6586325629338068,0.010094783779574313,0.05886219860756244
35,0.654768479290303,0.011161099119220102,0.06602995285638898
36,0.6694986130863305,0.013467804640392352,0.08080682784235411
37,0.6513320349639716,0.010345455555341415,0.06292894941089631
38,0.6499889109716946,0.012127352248826826,0.07475802002160539
39,0.6480482461963637,0.011961330633595767,0.07469848586498701
40,0.6464233951265919,0.01002677528399668,0.06341489496822232
41,0.6488995071824075,0.011802185881139297,0.07557086247021079
