sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.6812007993496386,0.09841286791145999,0.09841286791145999
2,0.6742511567816301,0.061811871685450055,0.08741518725322897
3,0.6658734146017273,0.03999724679809856,0.0692772636171783
4,0.6532002234836607,0.03194497955990448,0.06388995911980896
5,0.6791249377462677,0.04630486650957523,0.10354082920446364
6,0.6427248349426951,0.03193545699643222,0.078225574343854
7,0.6339837948188944,0.03116176863542101,0.08244629022225658
8,0.6264288586001099,0.02443801733656038,0.06912115110974502
9,0.6271154128148624,0.025561556921092937,0.07668467076327881
10,0.6252689537395246,0.027092512427562443,0.0856740468075149
11,0.6159704408053752,0.024153879794136565,0.08010935650849771
12,0.6119531352216058,0.022961734264689917,0.07954178075267626
13,0.6019460853549543,0.019132040384938924,0.06898155261214509
14,0.5904521005359138,0.015509961317466538,0.05803296133207676
15,0.5957004344182184,0.014108086962178372,0.05464038585136283
16,0.580690243515944,0.012996211172494576,0.051984844689978306
17,0.5788043116583965,0.013185598297725061,0.05436561451848485
18,0.56583710732415,0.010487153692064901,0.044493224946027775
19,0.5621693457890281,0.010223485041276925,0.04456313814572588
20,0.5676328049659791,0.009181368690422454,0.04106032903654566
21,0.5625944173382967,0.008649102472351974,0.03963516677298262
22,0.5600824050196039,0.009254040931724652,0.043405299428212404
23,0.5621588546243063,0.008950880778443011,0.04292691619867088
24,0.5550721327859731,0.007830019131597702,0.03835910309728923
25,0.5480148427127165,0.007344150369274204,0.03672075184637102
26,0.5439549427270668,0.006792899013795968,0.03463712462521082
27,0.5452406437684338,0.007320193746966703,0.038036842472982973
28,0.5477792668924114,0.007600309140466294,0.04021705574576978
29,0.5540502925745574,0.007102012127617289,0.03824550576948706
30,0.5485275748834445,0.006767719590325427,0.03706832682490858
31,0.5525984224770177,0.006794077442250724,0.037827822261270926
32,0.549516330602352,0.007778957971455513,0.04400443145745075
33,0.5399389556569485,0.0073601893184233455,0.042281068630062944
34,0.5405553575822608,0.00826609495371996,0.04819920203336458
35,0.5345987497051065,0.008883738232281042,0.052556904154346995
36,0.5368728275753674,0.008209336578083986,0.04925601946850392
37,0.5417163845597815,0.009713999380758898,0.05908795145262032
38,0.5419432638898956,0.009085183388876537,0.05600483170193166
39,0.5420155884585964,0.009571797322203706,0.05977585511823729
40,0.5409184943334823,0.009280436103336781,0.058694631532403986
41,0.5430255456337536,0.00888537088995097,0.05689413370402534
42,0.5410889220406362,0.009008880486509456,0.05838421841601424
43,0.5368360991869222,0.00864325421637138,0.05667760817376939
44,0.5366482782237254,0.007955910805636533,0.052773542015661055
45,0.535667047903073,0.006947267237718604,0.046603685404187974
46,0.5345535953015312,0.0072925295307396535,0.049460341689161996
47,0.5333410175496637,0.0069014634726314765,0.04731404980564575
48,0.5341199516325628,0.006972033049497934,0.04830366189511919
49,0.5307713756888823,0.0068359270171035715,0.047851489119725
50,0.532336574374851,0.0065697328162726415,0.0464550262497018
51,0.529875653118548,0.006401732156287811,0.0457175120128307
52,0.528194448873396,0.006244722732261183,0.045031336024446554
53,0.534553703223341,0.007011911641568997,0.051047487284547645
54,0.5304426181180233,0.007051819794703151,0.05182008076524224
55,0.5327379951740824,0.007337324168020491,0.05441505239420401
56,0.5378142906517913,0.00750467772020977,0.056159865654361416
57,0.5394339015141993,0.007655549172508197,0.057798128763510884
58,0.5437123486594393,0.008016393506862065,0.061051034075582176
59,0.5391571975668144,0.0071908106830928355,0.05523366490216669
60,0.5358419504210679,0.00707956626183342,0.05483808446090547
61,0.5361368319770052,0.0069884123164440605,0.054581245029609295
62,0.538270983486643,0.007040244655106132,0.05543494184927525
63,0.5388077951623406,0.007384219271717851,0.058610423458007765
64,0.5331357171328841,0.0069231682175463155,0.055385345740370524
65,0.531340928483642,0.006280122027784201,0.05063196247876357
66,0.5292780236580233,0.00688362177635998,0.05592280767413689
67,0.524069053087912,0.006217900298530242,0.05089570744380106
68,0.5251571373011612,0.006094131868791538,0.05025349878294051
69,0.5198584686274421,0.006207795649389169,0.05156582347733508
70,0.5191821796843122,0.005867143822625528,0.04908804706317112
71,0.517555823275899,0.005674011193877786,0.04781006813429343
72,0.5196692332206169,0.005584881758245397,0.04738929316056442
73,0.5208605897981965,0.006166170414300537,0.052683783114049934
74,0.518780896697128,0.00584502959579199,0.05028084577849339
75,0.5191346768782663,0.005749209720887481,0.049789616699730005
76,0.520202974375143,0.005793809082634562,0.050509256578744305
77,0.5158869405979071,0.0051141607702750785,0.04487657863056168
78,0.5146611149228583,0.004885028515099254,0.043143403670549224
79,0.5176034459945791,0.0051323140556260175,0.045617005137125494
80,0.513830535355233,0.004820318972792022,0.043114243585579685
81,0.5174884802163853,0.005587695398668961,0.05028925858802065
82,0.5113561853735134,0.005078344521913853,0.04598636551008027
83,0.5170109730923879,0.005041326820550126,0.04592867314938063
84,0.5135160710491624,0.004852302512706789,0.04447208711860656
85,0.5131459172769746,0.005220551494470228,0.04813110659485509
86,0.5132572058909002,0.005439133364074917,0.05044044776455292
87,0.5119146025585476,0.00505885386504976,0.04718584757350253
88,0.5079236786516166,0.004616438285663045,0.0433060297786524
89,0.5088125600168064,0.004465308018487888,0.04212563159523579
90,0.5108175072567274,0.004874724564901685,0.04624569777318786
91,0.5065533680023389,0.004634377482249599,0.04420914354481858
92,0.5096340724593974,0.004791758217168213,0.045960930219976145
93,0.5041404913116222,0.004612668452146513,0.04448296362875092
94,0.5040226900491172,0.004696476981734027,0.04553403373034296
95,0.49862143866399994,0.004144684794248953,0.0403973903136014
96,0.4982362975245772,0.004156270453939253,0.040722967380627924
97,0.5052030627982427,0.004410807667838586,0.04344141751161413
98,0.4992361699408431,0.004030456306707931,0.03989948180048972
99,0.49811098426933487,0.004020883518130666,0.040007285866090814
100,0.4985275282383402,0.0037750611400895013,0.037750611400895015
101,0.4961928005685247,0.0041350049682502025,0.04155628562363147
102,0.4999018559010905,0.004083556289199217,0.04124189690884701
103,0.49726152433441656,0.003841263561420339,0.03898456735779498
104,0.493599102061374,0.004387794424948283,0.04474689878888985
105,0.4974940786328908,0.004501299248908721,0.04612459178641858
106,0.4920978197217417,0.0038047617516393894,0.039172419769452994
107,0.4940914757427336,0.0037743964203593296,0.03904266015742628
108,0.49260393610003606,0.003720171203179307,0.03866115322056721
109,0.4929168322556173,0.0035077159641419085,0.036621629811840216
110,0.4929539690355721,0.003345874673664722,0.03509182962607979
111,0.4914924948373237,0.0034153134120806137,0.03598255956715541
112,0.49090326629703096,0.0035398984273247976,0.03746276362052026
113,0.4893044492940315,0.003514587653497467,0.037360579228315
114,0.4866598838062469,0.003118960050389245,0.03330138052296549
115,0.4879935059146704,0.003212459166542051,0.03444978661937553
116,0.49054526095312834,0.0033759874623901687,0.03636049774358171
117,0.49156195253912705,0.0035185518183982758,0.03805895698983613
118,0.4913568628781243,0.0035701081408523066,0.03878130106392551
119,0.49147286611715835,0.0034554520852234163,0.03769453202361992
120,0.49556553090151895,0.0033479261186980685,0.03667469312143301
121,0.49262259621540216,0.0035165490037340416,0.03868203904107446
122,0.49094983571131035,0.003148968642239961,0.034781495485342366
123,0.4907147807314244,0.0035742252504631197,0.03964007562239157
124,0.48953679696339136,0.0034287556001223922,0.03818100647843064
125,0.49071513732626854,0.003586636206689731,0.040099811843601126
126,0.4917270198425706,0.0035522923714597053,0.03987438297495879
127,0.4900472415383435,0.0033125853457792753,0.03733094095358558
128,0.48974009066127405,0.003449153868159932,0.039022721432507186
129,0.49040245403838467,0.0023119413766795366,0.02625860635805279
130,0.4878212627911506,0.0023505969352556996,0.026800928598918982
