sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.9469698430273661,0.10495838225793447,0.10495838225793447
2,0.947091702512515,0.14017685732897023,0.1982400127654681
3,0.9104132636179681,0.10648699913631833,0.1844408928496465
4,0.944886733430541,0.08899369237833944,0.17798738475667888
5,0.8965095682570958,0.07146417023294921,0.1597987425964914
6,0.869908560824012,0.05519301884998095,0.13519473354626693
7,0.8257631286807324,0.03868365767578318,0.10234733801247718
8,0.8082801006842741,0.028568363344571905,0.08080353379339197
9,0.8221950875917339,0.03116848247719338,0.09350544743158014
10,0.811020103511183,0.026879895664269977,0.08500169356677784
11,0.8005804699247386,0.023619034173442743,0.07833547426389156
12,0.8005254477386229,0.0242613166767152,0.08404366628517766
13,0.80618523030372,0.025681732478680393,0.09259680329463105
14,0.7966473275831814,0.02244323038207295,0.0839748787421526
15,0.7821110944769087,0.01938738681031929,0.07508702624284795
16,0.7779496500307802,0.01848367460099055,0.0739346984039622
17,0.7855980783070958,0.019078009848968517,0.07866064973387123
18,0.7736342992055286,0.018314764549601053,0.07770296525314734
19,0.7756577269270133,0.012923735218401258,0.056333255790088646
20,0.7727626661975701,0.013592684975848814,0.06078833520547607
21,0.7663715765678863,0.011057320960783011,0.05067101028620998
22,0.7719615320033502,0.010208293046101517,0.047881138584330483
23,0.7601075475009165,0.00942046049886585,0.045178941424583105
24,0.7693699437325972,0.011627762755933347,0.05696417120434998
25,0.7486952644570436,0.009681536676045608,0.048407683380228037
26,0.747526513139291,0.009895488471268041,0.050457288811528174
27,0.7403245843666504,0.007376267081490268,0.03832820806601683
28,0.7300766532713073,0.00531630802092226,0.028131257832756537
29,0.7109010893185429,0.007808474295415689,0.042049920973086956
30,0.7111162257635038,0.006603733588817022,0.036170138503496284
31,0.703091425905549,0.007340149793390687,0.040868224437474815
32,0.698234494539452,0.007108299115837569,0.040210612060088684
33,0.7055516023959078,0.006300682913087581,0.03619466771020333
34,0.695470655824666,0.006420679679052724,0.0374386743407672
35,0.6914452387324793,0.007510368322271523,0.044431938195022336
36,0.6883425194871423,0.007174650871645022,0.043047905229870134
37,0.6957536334064315,0.00735191994777879,0.044719983184100864
38,0.6928892606853728,0.006959424796781301,0.042900775669888175
39,0.6947838934706367,0.006623849557925775,0.041365927230938584
40,0.6895944295268247,0.0063830265104337465,0.04036980427641433
41,0.6913007097542836,0.007186592438410642,0.04601664422693882
42,0.6807928254772974,0.006377346321279227,0.04132992785215594
43,0.669553967547016,0.005989046035104763,0.03927280119441413
44,0.6684318687098996,0.006230980607240729,0.04133164950039669
45,0.666828395520249,0.006242887069613173,0.04187855959052855
46,0.6650748720544984,0.005594381323620789,0.0379429401882293
47,0.6685021367375857,0.005943900769373397,0.04074933065388203
48,0.6637969646596872,0.005311195460691232,0.03679704154738561
49,0.6612512171014273,0.0063890758815028795,0.04472353117052016
50,0.654400091787599,0.005783708913969158,0.04089699793476674
51,0.6544848550030842,0.005312554375577477,0.0379392268459287
52,0.6517413166642879,0.003178647276768955,0.022921551486008884
53,0.6461378245819254,0.0023645701484810303,0.01721433052185425
54,0.6403025222135375,0.0023009735041628464,0.016908632990588278
55,0.6427287200316706,0.003140681690858104,0.02329191880419092
56,0.6431573109324559,0.0023736602681362004,0.017762846951927258
57,0.6423853211781163,0.00253571845994463,0.01914425454704168
58,0.6437951767523128,0.002185888200507979,0.01664722856985392
59,0.6374207627524469,0.0030837417641508833,0.023686669939232397
60,0.6383617449784815,0.0032621707582995902,0.02526866603875827
61,0.6306470788248972,0.0027933467364568624,0.02181673544310712
62,0.6300392513804274,0.0024588949913543034,0.019361358523291988
63,0.6291754094728749,0.0025160208998415323,0.019970296783264938
64,0.6266861280080691,0.0024185117776324536,0.01934809422105963
65,0.6252556701917382,0.0026998222467178212,0.02176666282762955
66,0.6199666488448348,0.0025046149257675907,0.020347587845760354
67,0.6237956592714853,0.002853945178765698,0.023360548079781822
68,0.6232098511978157,0.0026672306866335803,0.02199454769775794
69,0.622840837458322,0.0030255666555112025,0.025132244179518586
70,0.6214266293753866,0.003231398233640431,0.02703581731899768
71,0.6194768710216385,0.0027966399944129774,0.023564907454578843
72,0.6184365275506256,0.0027187762114233,0.02306958114751303
73,0.6172512430827176,0.002419489005738265,0.02067212312678232
74,0.6154049260666941,0.0024976188616792957,0.021485329841266047
75,0.619679755724978,0.0027430960113729677,0.023755908308687578
76,0.6183040293578077,0.0029570384855136063,0.025778863861028747
77,0.6232952700328338,0.0031337140669187276,0.02749822933748157
78,0.6218693494767591,0.0023832408114346747,0.021048212933464185
79,0.6234293718422772,0.002178738982215257,0.019365055658513496
80,0.6205246840416427,0.002571328205221767,0.022998658637353606
81,0.6240550651877427,0.0020331695472081937,0.018298525924873743
82,0.623821306113191,0.002080960700556053,0.01884390060086331
83,0.6243511150389096,0.002510397916715946,0.022870813477462847
84,0.6265708512640987,0.0023940688195587196,0.021942003169122815
85,0.6276068896757121,0.0019561012836572913,0.018034362747646082
86,0.6275186397677432,0.002180880357028826,0.020224652415405792
87,0.6270648522219645,0.002324778836596022,0.021684093423529924
88,0.6234057358264399,0.00208787468183435,0.019586000624424327
89,0.6207580155736157,0.0023882447737364086,0.02253065613416207
90,0.6194419852868434,0.0025242878523008103,0.02394749724949581
91,0.617476443962355,0.002527185180400785,0.024107810128242643
92,0.6150904368249543,0.0025745052515056565,0.024693786884209937
93,0.615201187554194,0.0025643474785006118,0.02472967151249279
94,0.6157223338361006,0.0019795378803811946,0.019192331819433063
95,0.615411450002332,0.0020328775669264947,0.019814039573008164
96,0.6196732714365694,0.0018318462243417915,0.01794835414752524
97,0.6161795899780234,0.0017297837146392102,0.01703639383334423
98,0.6127450722152217,0.0015789296136640828,0.0156306057157338
99,0.6116351454752098,0.0015462680938459494,0.015385173277755198
100,0.612314362976101,0.001930860570823606,0.01930860570823606
101,0.6149838410123234,0.001665064224769008,0.016733688360106608
102,0.6109487109993927,0.0020025735690172982,0.020225001649723573
103,0.6140061888678756,0.0020892404413753647,0.021203474692923982
104,0.6143596871018296,0.0019505162466443363,0.019891440806438454
105,0.6131528140483464,0.0017406145867680312,0.017835991973123126
106,0.6131954568496886,0.0016316338243869296,0.016798698381411962
107,0.6164665748506152,0.0016402042544912193,0.016966404734659237
108,0.611502656031432,0.0014371237895865166,0.014935028521978628
109,0.6131410356184219,0.0016067269050191204,0.016774721364512826
110,0.6059824950225797,0.0016309122252662948,0.017105151724481613
111,0.6052703425734648,0.0017023693532234496,0.017935574065030126
112,0.6044822970533323,0.0018328744824767393,0.019397320260118665
113,0.6084951365205431,0.0015676551659334667,0.016664402997959484
114,0.6063003408644845,0.0014846433434410834,0.015851653154277844
115,0.6073679722004083,0.0015309935756544677,0.016418077012852448
116,0.6029869027311732,0.0014016084736853804,0.015095785251744034
117,0.6047539451192157,0.0014249557448951934,0.015413253010459812
118,0.5993002477151959,0.001733071379552778,0.01882597397166336
119,0.5973375446898078,0.001487810336522349,0.016230094642301587
120,0.5994605696033399,0.0015898146435665591,0.017415546850668796
121,0.6003486440987127,0.0015868632644492982,0.01745549590894228
122,0.59797475111965,0.0016307480729975557,0.01801220119434045
123,0.596846486975219,0.0012508438643625316,0.013872529541530886
124,0.5988712877919926,0.0012919170407205678,0.014386179318113599
125,0.5974936879698165,0.0015912558683053727,0.017790781455631333
126,0.5982736787344162,0.0016361246966091223,0.01836545417025239
127,0.5968323426495534,0.0015378761918761249,0.017330984509124264
128,0.6001657743275486,0.0016045460904299549,0.01815336674031015
129,0.5968920312453398,0.0017443609299049687,0.019812131685850505
130,0.5954380185044958,0.0010726785110123102,0.012230416772881711
131,0.5942257881471098,0.001277655395632336,0.014623434398542745
132,0.5917886052249368,0.0013988931756892479,0.016072058967122826
133,0.5910411359958431,0.0010670399574792893,0.012305705100644769
134,0.5930816235326588,0.0011238425918082304,0.013009418547181125
135,0.59367463991416,0.0014390692094848,0.01672047324712351
136,0.5945525894468076,0.0015414899829201102,0.017976707873586132
137,0.5860904056716805,0.001604035918794242,0.018774759075502037
138,0.5878046762994811,0.0014607647380137482,0.01716010021928088
139,0.5880499308075537,0.0016407886354474393,0.019344612715784006
140,0.5870205153454234,0.0016012096482212789,0.018945768056691913
141,0.5850786406382115,0.001509481095916585,0.017924094906830425
142,0.5812657790516115,0.0016288541288320946,0.01941003708826692
143,0.5831111696102196,0.0019072354855896381,0.022807219235176503
144,0.5814684011354505,0.0020201164675474736,0.024241397610569683
145,0.5827656830463555,0.0015181882904833043,0.0182814078882697
