sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.5662562994737832,0.06994116386123078,0.06994116386123078
2,0.5587731168741206,0.053327024644175554,0.07541580149279735
3,0.5347518948716958,0.03373826052762499,0.05843638139284204
4,0.5274771926260167,0.027838338068745156,0.05567667613749031
5,0.5041294962577465,0.017228822493498833,0.038524818267740825
6,0.5040504680067415,0.013185882618655966,0.03229868422394078
7,0.5001394016297868,0.010093786999194535,0.026705650186725664
8,0.5022433092014849,0.017024306813676456,0.04815201117180387
9,0.5024881481116364,0.016307101025720985,0.048921303077162956
10,0.5000524328269527,0.014899244043188164,0.04711554659117073
11,0.48852991632401066,0.012069632646889936,0.040030442847158024
12,0.4926482842643597,0.011668929598083381,0.04042235786764939
13,0.48291779924260164,0.012440336031358402,0.044854269445064904
14,0.48874121074375054,0.011388172710716377,0.04261064054490935
15,0.493796428494529,0.01226276985145026,0.04749350341304126
16,0.49070730894551995,0.009374720752483256,0.03749888300993302
17,0.48540996970515415,0.008957296029478931,0.036931877649467315
18,0.48877769601846166,0.009727024507237926,0.041268269939014036
19,0.4923989887241276,0.008443454290370463,0.03680416398612978
20,0.48391028669383473,0.007892538075187602,0.03529650330224965
21,0.48187445303771304,0.008081403275127248,0.037033642229734653
22,0.4726086584842519,0.007259361021684135,0.03404942134235518
23,0.4728381857785367,0.007067563575695431,0.03389484418933691
24,0.4692758923675191,0.008648785203551468,0.04237022128726848
25,0.4663781827748269,0.007637118205125819,0.038185591025629094
26,0.4683663858275297,0.007809198022050367,0.039819253099944996
27,0.46755868999342437,0.008562553568001213,0.04449233346692482
28,0.4625671254289635,0.007963281601769165,0.042137725476514606
29,0.45948115864300404,0.00781008888647603,0.042058615812043024
30,0.46265357032407406,0.006851026123139675,0.03752461549700766
31,0.4572580942738923,0.00730696717211466,0.040683471421268866
32,0.46396754997681705,0.007611161318591651,0.043055230248647214
33,0.46494223212001734,0.007232908553691846,0.04154989630336358
34,0.4574596526913076,0.007490646065959822,0.04367759687192392
35,0.4565007602056112,0.007614505124391799,0.04504801982472275
36,0.45491530193764973,0.007133552894526089,0.04280131736715653
37,0.4534273365428418,0.006360477496508283,0.03868927419056561
38,0.45021182532466364,0.006149246837636006,0.03790650331363609
