sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.4697380275197457,0.04757146807513729,0.04757146807513729
2,0.4523272838962605,0.031454263410222234,0.04448304590919208
3,0.449992769238155,0.019493879783319224,0.033764390221348674
4,0.42709180284013115,0.009306945079554802,0.018613890159109605
5,0.41611801295519263,0.018108913828211046,0.04049276231856585
6,0.411483321660593,0.018134573427574508,0.04442045160059213
7,0.4071637324584197,0.01608603435705696,0.0425596464900135
8,0.4016610814474368,0.013488041239212612,0.03814994170068417
9,0.3979337183443412,0.012245051704595396,0.03673515511378619
10,0.3805401581569262,0.010892734306315273,0.0344458503550105
11,0.37852876412108877,0.010422079546475744,0.034566127390897414
12,0.3776211705986868,0.010064470976572813,0.03486435016545293
13,0.3729353299109523,0.00801368914180034,0.028893767106390134
14,0.37062954840520435,0.007599100215528259,0.02843322945426676
15,0.3650240407162544,0.008285518294123684,0.03208967436783792
16,0.353780303500568,0.006524696756738202,0.026098787026952806
17,0.35298817618184647,0.006620258931172243,0.027296026842161834
18,0.3441273478404193,0.008877879087326807,0.037665651031218134
19,0.3504148028259564,0.008846440512454357,0.03856074020383272
20,0.34682125377570605,0.008130198248196966,0.03635935190703625
21,0.3507419534546287,0.007498283687082783,0.03436145257830942
22,0.35566196028171576,0.00950257742374738,0.04457103890728704
23,0.3542495008948426,0.008277728661058423,0.03969859205413317
24,0.34911041924057823,0.007662500246034976,0.037538431513472505
25,0.35182923384351644,0.007720820874647391,0.038604104373236955
26,0.3491895523023257,0.00859335996794258,0.043817710163866284
27,0.34856928962869793,0.008490535775534483,0.044118118040120835
28,0.3459932507924194,0.008103552577864446,0.042879969714331403
29,0.3453634555140724,0.007954803095889066,0.04283792567966639
30,0.3476440462855556,0.007626030107989446,0.04176948714359378
31,0.3420153983504242,0.006693332651077242,0.03726689900323446
32,0.34800458208831986,0.006776194325335014,0.03833194366465753
33,0.34667016677847473,0.007298395595401666,0.04192609071700209
34,0.3472441571288091,0.00704775677662105,0.04109513073104732
35,0.3474651307114561,0.006982430873038471,0.0413086181248735
36,0.34307834442207563,0.006726231973994994,0.04035739184396996
37,0.3478836039494607,0.007886085619529233,0.047969186117196035
38,0.34353431169769,0.007870019830660813,0.04851406044776905
39,0.3436005140171433,0.00765072188227455,0.04777874284110739
40,0.3400632405858261,0.006308223774410285,0.0398967102343214
41,0.34106694212820077,0.005901745342763442,0.03778960864740503
42,0.3389355706561068,0.0057283801846133965,0.03712414659837717
43,0.3370468358332808,0.005197495657125031,0.03408225825192402
44,0.338946818610007,0.00570208732447391,0.03782336835424293
45,0.3379516176376753,0.005179324498338851,0.03474396496744701
46,0.3356382931392408,0.004960395004832238,0.033643035769418496
47,0.3342847230764888,0.00471285192113303,0.032309684954124555
48,0.3332063556629162,0.004222694467745566,0.02925568545190135
49,0.3351180503391815,0.005415411563895076,0.03790788094726553
50,0.33715426926509723,0.005432142712703095,0.038411049485254464
51,0.33669159796559567,0.005142467740460908,0.03672456531459205
52,0.3333356409704033,0.005475255390700504,0.03948262811486257
53,0.33234744857874904,0.005960883697552662,0.04339588835540415
54,0.3352668375680611,0.005035562713215176,0.03700367764548601
55,0.33604879368696594,0.004946148788140156,0.03668162115955507
56,0.33154590997776257,0.004466832358620616,0.03342671258022739
57,0.33000005862006676,0.004743633736344118,0.03581364933096287
