sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.80084864888685,0.12263489003351921,0.12263489003351921
2,0.7599999644618862,0.06425317357927465,0.09086770950132284
3,0.7338165065636767,0.0280712410582414,0.04862081574438764
4,0.7239425994905988,0.02163073798463517,0.04326147596927034
5,0.7163528354801217,0.028551115731668963,0.06384223560947545
6,0.7141944275446971,0.026413889069405474,0.06470055034252141
7,0.712543533064746,0.02700356438427392,0.07144471587310981
8,0.7076134443181044,0.027569021062765535,0.07797696697662508
9,0.7317812708614279,0.036106319560035925,0.10831895868010778
10,0.7184965061750666,0.030690852576811995,0.09705299747517372
11,0.7129966954647825,0.02450798651557032,0.08128379563923638
12,0.7149594185802269,0.02251328719329593,0.07798831452835656
13,0.705075244391669,0.01578496132214021,0.05691348742819237
14,0.6968230453817672,0.012505613370900247,0.04679172064536788
15,0.6900952307765688,0.011932790955763776,0.04621550064544759
16,0.6963548242373497,0.012584410121261467,0.05033764048504587
17,0.6978690697300861,0.01133339651719486,0.04672879093740173
18,0.6896331579782353,0.009831728799188822,0.04171249262816092
19,0.6904889758457047,0.011998691671047711,0.052301084448800154
20,0.6733446787941296,0.010771419386019635,0.048171251922597906
21,0.6639448013733894,0.0075657172412479734,0.03467047194465131
22,0.6700004948262409,0.008147170523006618,0.03821361701907913
23,0.6708468292871123,0.0073687527333696125,0.03533929664619075
24,0.6719166184545547,0.007905937686423293,0.038731026539953646
25,0.6684154262962363,0.006486895907004675,0.032434479535023375
26,0.6594508467317745,0.006279534360779454,0.03201946824189083
27,0.6589575543094595,0.0044509297253581505,0.023127709275716717
28,0.6533001266075009,0.005729394341492025,0.030317105181217146
29,0.6561800051303843,0.005660804992402666,0.03048436782513814
30,0.6523518134009902,0.004688682525968574,0.0256809718445329
31,0.6405045581187989,0.005023583689136218,0.0279701302380668
32,0.6401903893663713,0.005209579798335199,0.02946983362028213
33,0.6416577990300423,0.006117444752967935,0.03514204462015966
34,0.6349463635288797,0.005643014149438109,0.03290414404730498
35,0.6377354788859639,0.004883822125651821,0.02889308134182333
36,0.6382537049048708,0.005241607552955424,0.03144964531773255
37,0.6417105416026894,0.0064032140759049,0.038949230654392465
38,0.6403723214287215,0.006611359422909376,0.040755156605243446
39,0.6370074828567717,0.006643718589093671,0.04149000929081221
40,0.6362945198617247,0.005860529509468058,0.03706524308909678
41,0.630195142743734,0.0060408721007955855,0.038680454563836106
42,0.6292574273222913,0.005740809979684786,0.03720470087716919
43,0.6348604070952018,0.006039797986542445,0.039605603995955085
44,0.6294860339636723,0.005117991826347305,0.03394891713619956
45,0.6289920911203875,0.005228130138338648,0.03507136315362179
46,0.6225502600433941,0.0034475625919311533,0.023382507135955726
47,0.6226234530494054,0.003611791758813372,0.024761196786999472
48,0.6236324299717068,0.003688753119295535,0.025556431276792187
49,0.6220998088069105,0.00279104673698748,0.01953732715891236
50,0.6201445318623187,0.00306332896456405,0.02166100683848405
51,0.6193364604671974,0.003906360842426779,0.027896996372253194
52,0.614012196729298,0.003788529270803924,0.02731947308895949
53,0.6181984070493723,0.003991407185937426,0.029057882926488376
