sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.7183062937138784,0.177468924228307,0.177468924228307
2,0.687617332801443,0.07574456605815448,0.10711899259550688
3,0.66054822749638,0.05811230434950615,0.1006534636782505
4,0.6517478820363727,0.04819272823868901,0.09638545647737802
5,0.6190740935903973,0.039681545292174346,0.08873063272553859
6,0.6018834745168451,0.018827504090424184,0.046117778151702364
7,0.5968939797676234,0.017883073405126227,0.04731416490747703
8,0.600984078882839,0.01834418424179804,0.0518851882908432
9,0.5822871589110672,0.014236806825601274,0.042710420476803825
10,0.5857021402797857,0.016818985374864894,0.05318630171763395
11,0.5855447609173836,0.013847340325227777,0.04592643220313845
12,0.583209397378673,0.01401032509450708,0.04853318978848699
13,0.577268956711771,0.011929834546975566,0.04301363016692211
14,0.5826188668394299,0.01243136690491802,0.04651391580748362
15,0.580667804942013,0.011962067668056728,0.0463288888645899
16,0.5730060866597894,0.011697097604238744,0.04678839041695498
17,0.554420480608059,0.009699706437648134,0.03999291417990686
18,0.5530696577140753,0.010605083900060359,0.04499356044470974
19,0.5510875009652217,0.010147734488283615,0.044232949140310715
20,0.5420447105779058,0.007149401659828605,0.03197309621965318
21,0.5448723694972131,0.005730624197260812,0.026261019163293216
22,0.5384080626441856,0.006992886838259255,0.03279954663283304
23,0.5350239305173796,0.0073740826373069725,0.03536485796750977
24,0.5301886022525005,0.007208545420664702,0.03531451613660967
25,0.5291863429341287,0.0066683478496893656,0.03334173924844683
26,0.5350553677188653,0.007379496902848298,0.03762819870812099
27,0.5364267614945659,0.006577786543463957,0.034179181483867324
28,0.5329439486946927,0.007031143148223546,0.037205312405390524
29,0.5389295551181894,0.008726189493589019,0.04699196856126244
30,0.5326415315152587,0.008544426243695466,0.046799749946111406
31,0.5258996486805371,0.006389992800780215,0.03557797419492448
32,0.5248521833427297,0.0061849411649203935,0.03498731071164028
33,0.5235697892656976,0.005885677709048865,0.03381064431696363
34,0.5217864591815676,0.005647846378886282,0.03293232054476214
35,0.5156589227275153,0.005534171899927812,0.03274060249336092
36,0.5152791891817124,0.0057033865388397866,0.03422031923303872
37,0.5097351180877163,0.0047990589209990124,0.029191535785346195
38,0.5125493914159771,0.005170825634958264,0.03187510995104767
39,0.5113388266865051,0.005194166077154319,0.03243755675517758
40,0.5107077272621566,0.004881518215214436,0.03087343199935526
41,0.5070717866506637,0.004155241669374216,0.026606528645560974
42,0.5044326808058044,0.004164886718872746,0.02699155086325698
43,0.4999103840696388,0.0035582613898695057,0.023333080317466677
44,0.4996876247889788,0.0029679106382517724,0.019686891996770692
45,0.5007001873251409,0.003241698726528373,0.02174597614527583
46,0.49925659322931376,0.0024123819016844015,0.01636157010254287
47,0.49364790359028554,0.003025935443792771,0.020744768245754486
48,0.4941185667966492,0.0029626819662460983,0.020526062768825213
49,0.49384736472838925,0.00320951815450431,0.02246662708153017
50,0.4901536365646474,0.0034071223830412505,0.024091993413809378
51,0.48983600453142506,0.0029847747516410926,0.021315555264166626
52,0.4887572441008416,0.002815405174475587,0.020302175435556735
53,0.48999539491077765,0.002922254673544179,0.02127433514786519
54,0.48643011565519406,0.0029109609304429455,0.021391106822287714
55,0.4861817587955673,0.0036525545008321936,0.027088069163106167
56,0.48354158998249863,0.003613278076863155,0.027039297213526728
57,0.4842621363667628,0.0036976407176462895,0.027916575219345204
58,0.4858623532024128,0.004280569618162388,0.03259984697577926
59,0.4850294024319105,0.00402602780822,0.030924506379909827
60,0.4863676313110751,0.003959637463866538,0.03067121990914815
61,0.48712799616199,0.003878395327319761,0.030291235848237043
62,0.48534109813638027,0.0034817822980740803,0.027415581230630245
63,0.47721836922787625,0.00306509267591977,0.024328418897547617
64,0.4773113776048491,0.0027826321579015093,0.022261057263212074
65,0.47864914435263434,0.003018225696169866,0.024333713505059282
66,0.4766860785321928,0.002965965914557988,0.024095620996710317
67,0.474934908865452,0.0028375817586127013,0.02322660771327518
68,0.47667436799016916,0.002918523796206142,0.02406676376527311
69,0.47762334225193837,0.0026788589088643164,0.022252273337763008
70,0.4780975910472599,0.0024856971483354644,0.020796834420820257
71,0.47657339644784374,0.002872489664087859,0.02420402813150535
72,0.47797717146772467,0.002751155271973611,0.023344326586915928
73,0.480688507045089,0.002789825054707711,0.023836275716203368
74,0.48103909763807684,0.002705739015405596,0.0232756470982466
75,0.4801660090690363,0.002377046847493473,0.020585829559150618
76,0.48313104704066206,0.002595570693524769,0.0226276607077805
77,0.48461852000694794,0.002584177147058077,0.022676062436147202
78,0.4836908040708233,0.0026344680869770055,0.023266992154153107
79,0.4832709809121279,0.0025683516967078966,0.022828009212382146
80,0.4826507514341548,0.0025784104245891518,0.023062003933101757
81,0.4825426333646461,0.002449078289388186,0.022041704604493676
82,0.4814451991920241,0.0025258700330835,0.022872725958450992
83,0.47802386891965093,0.002427438264341396,0.02211501507475561
84,0.4771735084901286,0.002010474835080299,0.018426306229118658
85,0.4778579655035166,0.0017779564872892062,0.016391948877695132
86,0.4779979083099601,0.0020134213161165475,0.018671701156363716
87,0.47640641958279095,0.002102754854036889,0.01961319157932451
88,0.47546381835211776,0.0020781343555162225,0.019494628264287592
89,0.47473451923231885,0.002097590945469779,0.01978863340233467
90,0.47488108356326464,0.0023063919491334147,0.021880355209010407
91,0.4776003906276423,0.0019562527073443427,0.018661461454138002
92,0.47322133823194124,0.0018230073314395052,0.017485672054695554
93,0.4729998152224911,0.002050612808046961,0.019775393766823978
94,0.47252040926861677,0.002227752140135338,0.021598858354100397
95,0.4697320689297665,0.0022844400929646546,0.022265967779162756
96,0.4684211964403101,0.002277909646379155,0.022318865255170385
97,0.4679740649062956,0.0022744411908588104,0.022400647867316218
98,0.4660124637346879,0.00207812202066411,0.02057235842122556
