sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,1.2317169122446665,0.21112788901532722,0.21112788901532722
2,1.266892789466406,0.13806091253453948,0.19524761493995138
3,1.2420717768345142,0.10730017123058655,0.18584934823221624
4,1.1634633393272966,0.09967076067051069,0.19934152134102137
5,1.196900921483048,0.08404247389124976,0.18792468461808573
6,1.1717553494374109,0.06576414837811359,0.16108860689506022
7,1.1317028975417256,0.051194410548318005,0.13544767882739128
8,1.1127906424261726,0.055456013937788824,0.1568532940519447
9,1.0486839031275068,0.054076582562425916,0.16222974768727774
10,1.0225094932800785,0.056593960758763905,0.178965817807885
11,0.9579684635983329,0.048213139354818565,0.1599048932050508
12,0.9196057729963586,0.039201113865185225,0.13579664185558715
13,0.9151642857374362,0.036528959577091714,0.13170703679455553
14,0.8940271231101462,0.036820937506697696,0.1377713328098771
15,0.8527449973535998,0.03228795423719978,0.12505070904378196
16,0.8855142323955313,0.03957832588474167,0.1583133035389667
17,0.8824623349621268,0.03470642751159458,0.14309826651814714
18,0.8577633819880965,0.030247765261804224,0.1283303995941639
19,0.8346820763520938,0.024820711255042857,0.10819097206753442
20,0.8283151577372502,0.024959532920552387,0.111622424593998
21,0.8300377856194736,0.023426546520510922,0.10735392270164565
22,0.8341606762640303,0.021098783493652545,0.09896206661173035
23,0.8071422416687758,0.020225135071659708,0.09699634033992328
24,0.7953651617921663,0.018804664673982188,0.09212366647079309
25,0.7862716464002844,0.01990555638005413,0.09952778190027065
26,0.7895320033034736,0.02075138203933146,0.10581170195256995
27,0.7682032115536815,0.016454427166365887,0.08549971158476193
28,0.760055882397045,0.014354652534272315,0.07595768152485526
29,0.7555132086549163,0.014962657927689115,0.08057637889338351
30,0.749817710853068,0.01482235275964009,0.08118536961753828
31,0.7492119143985582,0.014579418469100339,0.08117476658304269
32,0.743181386670751,0.013207836872404384,0.0747148081382629
33,0.7395733499404084,0.013738304927176698,0.07892055331140861
34,0.7384975681189099,0.014199207378286742,0.08279489516772245
35,0.7327424779921469,0.013488945501792258,0.07980167777848568
36,0.7304995287818021,0.012932143124686652,0.07759285874811991
37,0.7318013602119324,0.01352827534914763,0.08228928639335227
38,0.730057522206386,0.013332620445822813,0.08218779217250062
39,0.7293491533597061,0.012633186702317287,0.07889422566936471
40,0.7242952651213643,0.011982187746789812,0.07578200926323343
41,0.7305611164904003,0.012559839713403485,0.0804222140871655
42,0.7205078909884325,0.011183107701634649,0.07247482121666206
43,0.7236301286777094,0.011662108513760717,0.07647355964272487
44,0.70871690102115,0.01074839437755908,0.07129678249825808
45,0.7101295602044722,0.010891245908270057,0.07306069863167486
46,0.7065051972556011,0.010011046856867226,0.06789822325980256
47,0.708428381936052,0.01179072939418848,0.08083316821335207
48,0.7041710829654834,0.011407793177964372,0.07903550954588767
49,0.7079328513487712,0.011841110965326588,0.08288777675728612
50,0.6971911831341568,0.010395744144925976,0.07350901180357505
51,0.6964621063567316,0.009597729167797409,0.06854149592836332
52,0.6919862257042884,0.009539896736894857,0.06879317369501199
53,0.6921115884963657,0.009414833000473955,0.06854101883267501
54,0.6916108847387679,0.009563532073387712,0.07027732115562342
55,0.6902086660456452,0.009436892976498329,0.0699858714151906
56,0.679060861573768,0.009542901048168935,0.07141253239626817
57,0.6832281007495047,0.009749476627795428,0.07360693437039727
58,0.6862989195722686,0.009450630701094536,0.07197385912684755
59,0.6828557864518345,0.009576847963235513,0.0735611650107906
60,0.6816930074975146,0.009358008066781474,0.07248681879263863
61,0.678405377020123,0.009172648595204598,0.07164067571790234
62,0.6739530426085085,0.008604936342892453,0.06775533651930557
63,0.6691816037312818,0.007448803314118222,0.059123043402571664
64,0.6663087282754676,0.007439763826514884,0.05951811061211907
65,0.659829379399739,0.00753510269343402,0.0607499400743637
66,0.6580116119271937,0.007493827085288952,0.06088013903858861
67,0.6525608254335521,0.007810933580342207,0.06393524683276569
68,0.6506070726920611,0.007733894321595802,0.06377532637060826
69,0.6537156052035523,0.007121282243766834,0.05915381302064835
70,0.6482334981409308,0.0072374581650129855,0.06055291940379026
71,0.6452873182231285,0.007116995087878847,0.05996886654542761
72,0.6436280319397518,0.006877063878627098,0.058353822038763374
73,0.6395540559382616,0.00685532415834745,0.05857191528428636
74,0.6391182350860114,0.00651750945293375,0.05606573624516116
75,0.6387087043228569,0.006078719729776011,0.052643257084717045
76,0.6292890117566359,0.007046518998863037,0.06143012843956676
77,0.632318774527065,0.006765620104857686,0.05936807547875035
78,0.632432151133858,0.0065762831059106045,0.05808015978067423
79,0.628083767698595,0.005689481728283008,0.050569219734744084
80,0.6283544007500479,0.005732164851941153,0.05127004106870174
81,0.6282287317454153,0.005501403954732852,0.049512635592595666
82,0.6285220692998251,0.0053504167456828264,0.04845008428169783
83,0.6302741286736417,0.005612617075025057,0.05113337506718694
84,0.6309726555004108,0.005582232437837744,0.05116200538645866
85,0.6252490957629495,0.005449151738413758,0.05023869670684047
86,0.6220563276934403,0.0050551327201334645,0.0468793722906152
87,0.6254265821188356,0.005160693741681419,0.04813574670556581
88,0.6259324160151261,0.005154863710109779,0.04835690797128157
89,0.6277513408945259,0.004866859140948547,0.0459138573080858
