sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.5975837683264256,0.09062324717911788,0.09062324717911788
2,0.6070974196719139,0.06854800456721663,0.09694151773257062
3,0.5714099857670372,0.04581100234109864,0.07934698360043962
4,0.5609058191032471,0.03689854202288978,0.07379708404577956
5,0.552870386979645,0.0325890677169053,0.07287137073834413
6,0.562814651052944,0.0316969391951304,0.07764132743609399
7,0.5602944163660588,0.03757693463761951,0.09941922408327025
8,0.5496638117156871,0.036734098747996456,0.10389972130193825
9,0.5428078232071127,0.032762189056983144,0.09828656717094943
10,0.5468664506934503,0.031538798918241684,0.09973443924769833
11,0.5271279928330167,0.02845280866103065,0.09436729056041308
12,0.5168142107373375,0.022880368618333636,0.07925992188571673
13,0.5141428444359218,0.019617571213654643,0.07073215891089814
14,0.516978301415224,0.014893165389213847,0.05572512229099799
15,0.5116061204491779,0.011096186200048916,0.04297534435920601
16,0.5010569385074546,0.009142958022369594,0.036571832089478375
17,0.4926352269426557,0.006709092119843051,0.027662295462112
18,0.49349744619814395,0.0075498255515149375,0.03203119706551007
19,0.4892477330419391,0.00884283897125256,0.038545041449693083
20,0.4828352648692237,0.008159556984661066,0.03649064816797071
21,0.46642729310735775,0.004744939505194695,0.021744044450540997
22,0.4684209950854398,0.005103838724425314,0.023939125588641606
23,0.46659211463566785,0.0036505370463667704,0.017507360643986662
24,0.46355636017076884,0.0034123222461586874,0.01671689668207312
25,0.46414494120028066,0.002780976405305835,0.013904882026529175
26,0.46892937278888935,0.0033388965405001347,0.017025098613877628
27,0.46953306771989467,0.0035189030587710374,0.018284756654102903
28,0.47417397463364636,0.00421965333119658,0.022328306666502838
29,0.47111229520175985,0.003913617715011362,0.02107547638745734
30,0.46482805378066266,0.003491519392515243,0.01912383931247333
31,0.4651698862070794,0.003813444418780031,0.0212323599345165
32,0.46581062626891,0.004284144614934198,0.02423478167043042
33,0.4640078741422318,0.004228567065173818,0.02429126841097845
34,0.4641227924372676,0.004249826255861709,0.024780532459380146
35,0.46299760215416014,0.0046560598567451225,0.027545621587391513
36,0.4627546430754981,0.004515251212909442,0.027091507277456652
37,0.46066071298238914,0.004628418145238011,0.028153568468406154
38,0.45745815882150814,0.004107606498362164,0.025320987017190086
39,0.4579410546823732,0.003590062830629788,0.022419935191407513
40,0.4579018088438124,0.004653700508293737,0.029432586308983034
41,0.4588531695673754,0.004269568350919747,0.02733857659115043
42,0.4547113299511484,0.004846996928925943,0.03141213026234827
43,0.45410110015982097,0.004752761756974867,0.031165943042016253
44,0.45486291940416956,0.004849698568500675,0.03216926099608087
45,0.4536725343820212,0.004585229537248915,0.03075865481318544
46,0.45277146853885786,0.004651828633693091,0.031550236818657304
47,0.4523431311839293,0.004455832592178735,0.03054764920918705
48,0.4501863570319948,0.004129528988710274,0.028610216079098874
49,0.4480516648602067,0.004084589127501377,0.02859212389250964
50,0.4505640714353481,0.0035060972617437817,0.02479185149278614
51,0.444527794457786,0.004103449481509727,0.029304490782342985
52,0.4462822199852326,0.004079745693282211,0.02941946457596479
53,0.4474763270550694,0.004122332079269818,0.030011030537190526
54,0.44497277765257304,0.003915825093190023,0.02877532020090583
55,0.44158565210971173,0.003698298200453435,0.02742731351903138
56,0.44177531073950904,0.0033047099459980757,0.024730184761178026
57,0.437269450161057,0.003449274176271134,0.026041448952701957
58,0.439734285170418,0.0032146258140573203,0.024481860820113614
59,0.4370527329967161,0.0032621302631155647,0.02505689799952362
60,0.44041861666699356,0.003746924377776762,0.029023551429255976
61,0.43889740634478625,0.003596193046412451,0.028087165575240606
62,0.4345442063086512,0.0032608841286114283,0.02567622730492653
63,0.4353415520061235,0.002796880735405668,0.02219955261777253
64,0.4358243350099878,0.0035082199129136647,0.028065759303309318
65,0.43956123708006567,0.0034430040147661145,0.02775838579547112
66,0.43543047491886905,0.0034889352270846587,0.028344243776123053
67,0.4356285409472983,0.003534913450035596,0.02893451360657807
68,0.4357302919265075,0.0034959495610727676,0.02882833860426944
69,0.4347977897597861,0.0035528883978671023,0.02951250754800764
70,0.43123028026831295,0.0035518805939616384,0.029717165119898126
71,0.4335598436102888,0.003206549427845334,0.027018865734117745
72,0.4301669027137932,0.0035067637475482533,0.02975587711092624
73,0.42955354356000647,0.002690158544721917,0.022984724681602016
74,0.42975701273708633,0.002629406207868714,0.022619007459267773
75,0.430908799883706,0.0023091702479241605,0.019998000963655334
76,0.4336783069807435,0.00265772157022863,0.02316947948938967
77,0.43146250356619564,0.0027224798130202534,0.02388966340464669
78,0.43266367802468164,0.0025490761362566123,0.02251283086548134
79,0.4334791734084426,0.0026330505272020898,0.02340306499638748
80,0.4320261413377115,0.0027992490404566747,0.025037244561648735
81,0.43142296559662896,0.002636927722421518,0.023732349501793662
82,0.42982549011597443,0.0026958641894781073,0.024412088515836927
83,0.4274292084225209,0.0024671601324436345,0.022476898515740584
84,0.42757509598463683,0.0025325658761392806,0.023211349659740817
85,0.425430194829048,0.0025344403747041395,0.023366385708942856
86,0.42786435999483474,0.0024295991337854126,0.022531175463712742
87,0.42637822022208016,0.002427914912276272,0.02264608269544767
88,0.4299400923868474,0.0023905335429428697,0.02242519240841155
89,0.4287606830789321,0.00248073075630884,0.023403167148730104
90,0.4271136952079873,0.002298315258717547,0.021803732995999824
91,0.42924489880764344,0.0024533768485586168,0.023403723516888297
92,0.42814248518608977,0.002293616481714077,0.021999596450787962
93,0.42871026870099077,0.0024359049075575703,0.023491016215474038
94,0.42491975798812065,0.0021717599801495376,0.0210559942218276
95,0.42612687911642294,0.0020452956908117146,0.019935076472665764
96,0.426201238770596,0.0017601835239396926,0.0172462059492249
97,0.4256844089492856,0.0016826679666483077,0.016572357531156573
