sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.49454580047905694,0.11710995381287433,0.11710995381287433
2,0.4715327224370728,0.045722578074370426,0.06466149001943737
3,0.44877754069257747,0.04162376115408205,0.07209446912098187
4,0.42325149625356995,0.030648747845488142,0.061297495690976284
5,0.430625530891791,0.02864882941971546,0.06406073005827963
6,0.4159423389552674,0.020105432653395695,0.049248051058710725
7,0.3897958294648574,0.016670551492611416,0.044106133467746424
8,0.3851589337671787,0.013031667143392486,0.03685912082903501
9,0.3914465467966527,0.010243672048725934,0.0307310161461778
10,0.38225560668460534,0.011003943369862625,0.034797524292274534
11,0.38039735424839216,0.009319833229037884,0.03091038992940506
12,0.39252961301050143,0.012570409778284527,0.043545176815898846
13,0.3928586759574816,0.01229131134763871,0.044316953306603755
14,0.3929094572030879,0.011089103666999141,0.04149162664832934
15,0.3878909984973185,0.009010873607231702,0.03489896341558833
16,0.38594274023306346,0.010930885102517735,0.04372354041007094
17,0.37845932864811827,0.010203360100078029,0.042069531428834496
18,0.3824210212296392,0.010714230756878752,0.045456631340318646
19,0.38343924789639605,0.009517694886885005,0.04148667018738552
20,0.38407291313146935,0.010067087360435344,0.04502138334672471
21,0.37800992246431137,0.009190829650556707,0.04211767257312064
22,0.3825592145419827,0.009164506361411648,0.04298534506856727
23,0.38623783854922566,0.00983539372187799,0.04716889125557447
24,0.38561552906088037,0.00947240983709942,0.046405141470827006
25,0.38064101731236066,0.00751151154032334,0.0375575577016167
26,0.3792362346689916,0.007851945604896389,0.04003722385903579
27,0.37975583167694454,0.007810029640205104,0.04058210443636236
28,0.37312309682147143,0.0073522265585032965,0.038904326112808
29,0.3763155039959281,0.007201643914095381,0.03878203935970082
30,0.379927222223314,0.0073383838011474144,0.04019398343518944
31,0.3766167111280304,0.006930077228799303,0.03858503702616859
32,0.37303780375586826,0.007296059740108953,0.041272746545385604
33,0.37005306321079584,0.007217891173487812,0.041463628021994624
34,0.36922116001634875,0.007135790529973269,0.04160845131196678
35,0.36672359615375105,0.006388715017950412,0.03779614775768133
36,0.3650165884782738,0.006039984250683945,0.03623990550410367
37,0.3653623467146253,0.006011030453109522,0.03656367080865613
38,0.3637187342408845,0.006037820543894098,0.03721962550819454
39,0.36579372966854984,0.006318874078472035,0.03946135597218938
40,0.3611293962018864,0.006600964721291512,0.04174816654739948
41,0.3563860174892698,0.006869505829539099,0.043986299276308045
42,0.35400534039747417,0.007055252492960113,0.045723261968670124
43,0.3514598038573092,0.006865088194145944,0.045017393797023464
44,0.34739079426386243,0.0067734549188732725,0.044930017000579636
45,0.3481785298726672,0.006898591360404647,0.04627715769257263
46,0.3457038374643988,0.00748210279910865,0.05074609015122009
47,0.34554579528522017,0.007224729049651138,0.049530246945891886
48,0.342455324814375,0.007425829602621858,0.05144765664036025
49,0.33756057831572656,0.006845317384041742,0.0479172216882922
