sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,1.0024125681677165,0.117095068544649,0.117095068544649
2,0.9831408433360206,0.0894074685003772,0.12644125453067873
3,0.919536806943442,0.08224280184270667,0.14244871134838724
4,0.8889599665588948,0.07484524391492155,0.1496904878298431
5,0.8845845375216236,0.05750234884222565,0.1285791608771229
6,0.8675963060851067,0.03969124016625782,0.09722328566559221
7,0.8300135550647212,0.0176936712914995,0.04681305401703071
8,0.8434376087904385,0.026591756193462313,0.0752128445122263
9,0.8083531550235603,0.026971511257646862,0.08091453377294058
10,0.7817190142324663,0.023331797802425835,0.07378162296217691
11,0.7757883312582431,0.022535041441182648,0.07474027709551265
12,0.7817849955704739,0.023310095481132692,0.08074853940520703
13,0.7663196306387318,0.026453114513513436,0.09537806077419334
14,0.7563796162181127,0.02349956178238545,0.08792730892901313
15,0.7462008880845852,0.02263541119472323,0.08766657059172
16,0.7479821431255576,0.020330123091950376,0.0813204923678015
17,0.745156472569489,0.018416186750664518,0.07593188319409029
18,0.7293909004711829,0.017445439377687735,0.07401473090845093
19,0.7247581056504111,0.01830682324893996,0.07979759251939024
20,0.694992399661985,0.00853500265539355,0.03816969225120238
21,0.6970050701517982,0.00858009846250293,0.03931895067459389
22,0.6874574236012732,0.008348789295630182,0.03915929288766896
23,0.6795193467059202,0.0077344805897147425,0.03709326582860431
24,0.6691730080958539,0.006367804789565054,0.031195745032170385
25,0.6754891527056983,0.0076407643115920815,0.038203821557960406
26,0.6719303749793275,0.0069344958464839564,0.03535912963814981
27,0.6607573793146401,0.005288810966515294,0.027481467916895846
28,0.6587586807437986,0.005972392733806205,0.0316029318113208
29,0.6525446343547235,0.006473323521669833,0.03485991401409237
30,0.6433365676108964,0.005367204966644219,0.029397392309848017
31,0.6436536261766277,0.004748395425494987,0.02643794683069609
32,0.6410658154881127,0.005175692978435354,0.02927814081912991
33,0.6377229303008056,0.005043746403836052,0.028974117190087096
34,0.633826295747856,0.0056283869203199045,0.03281885337796185
35,0.640293042718032,0.00555880354168672,0.03288632525119535
36,0.633998360834283,0.005538422581728369,0.033230535490370215
37,0.6362523232609101,0.004217276421909424,0.02565269099910079
38,0.6359812561767275,0.003814637979086499,0.02351500777453809
39,0.6369327531978745,0.004548226904208177,0.02840366791304181
40,0.6347600243573648,0.004603574963382038,0.02911556452722697
41,0.6321374154661263,0.004932202132619824,0.03158150301929598
42,0.6288305046136199,0.004949880110513577,0.032078889484444935
43,0.6244614242761888,0.004918507982395734,0.03225281372584869
44,0.622364715639938,0.00471161989316795,0.03125335068082497
45,0.6208910726131032,0.004613497886295324,0.03094828466342382
46,0.6237883600861684,0.005228817636237495,0.035463566630547755
47,0.6194211479063151,0.004874353127719951,0.033416881444032494
48,0.6186654023230267,0.0052176567132518545,0.036148986095220194
49,0.6217360811483406,0.004460561015366317,0.031223927107564216
50,0.6230524010593174,0.004370120858391807,0.030901420935736227
51,0.6241939856665234,0.004037993523145758,0.028837041740465016
52,0.6117278301819612,0.004787728110969584,0.03452479839416236
53,0.6128060597069716,0.004517939579386972,0.032891096611066956
54,0.6120324072228802,0.004276685670167612,0.03142709304655011
55,0.6134767482326288,0.0042902101954713015,0.03181705036097666
56,0.6135910852173212,0.004193067674520912,0.03137804527522841
57,0.60977410712873,0.0046902996511967165,0.03541098581834336
58,0.6047367262501989,0.004486671325746569,0.03416947081747149
59,0.6094456648605358,0.004230840409838376,0.032497701823940725
60,0.6030156809964318,0.004291122773516385,0.03323889407672068
61,0.6059735263940494,0.0041610054438050974,0.03249849141892459
62,0.6035334920682522,0.004541893356890747,0.03576290405507968
63,0.6063081666019471,0.004516853145371702,0.035851410393760205
64,0.6034200377506113,0.0049661077161654455,0.039728861729323564
65,0.6067180140215942,0.004554371960903221,0.036718520630425654
66,0.6048941050647797,0.004423343860620623,0.03593541540059264
67,0.6007648936260055,0.004223691935663542,0.03457240849311889
68,0.6004680998522882,0.004284233152279747,0.03532869162324462
69,0.5992633539885026,0.0038586755718992435,0.032052566584797305
70,0.5944758452496604,0.0037587212352753353,0.03144771808439655
71,0.5959565498976804,0.003797601437765576,0.03199915849344262
72,0.5975131147845085,0.0038718970878618745,0.03285413624260292
73,0.5915388508464116,0.0038904776132425273,0.03324025529861816
74,0.5951242447962835,0.0039802994629549475,0.034239830640573544
75,0.594675533584137,0.00415617246820285,0.03599350939973141
76,0.5986791754052447,0.0040586714665051295,0.03538267753505577
77,0.5949239893734319,0.004366121198300112,0.0383125580261213
78,0.595571802574549,0.004013805375687238,0.03544896924205089
79,0.5964094835087268,0.003941948418333479,0.03503680392517764
80,0.595546651855216,0.003814324128926266,0.03411635216198721
81,0.5948336959651173,0.004299090710874435,0.038691816397869915
82,0.5923947382881748,0.0040355099833420185,0.03654309712796049
83,0.5901869057714734,0.004154277142581756,0.03784726597684846
84,0.5934620973475939,0.004250911392514905,0.03896024645749937
85,0.5873240140774616,0.004050654884391651,0.03734519278779941
86,0.5873292165261944,0.003547476609732035,0.032897944700349395
87,0.5878663357570928,0.00363534679937939,0.03390825758724479
88,0.5819227666575036,0.003412823921221789,0.03201512621120215
89,0.5814977717292372,0.0035562735482849574,0.033549817554952274
90,0.5780569489838723,0.0032157171665966743,0.030506971672045864
91,0.5774022354075721,0.003297892173720774,0.0314598862655839
92,0.577347903353906,0.0031085753525904912,0.029816407337092857
93,0.5785173844547575,0.0030495679553888978,0.029408968333685875
94,0.5746216880040006,0.0027847494223115234,0.026999147364982663
95,0.5730733998673158,0.0027865245809109364,0.02715968202689388
96,0.5763928168040463,0.002584887858912445,0.02532662518660322
97,0.5731991084659364,0.0030000549032996983,0.029547114140179888
98,0.575482816033403,0.003187842803673234,0.031558033693677115
99,0.5711823724367171,0.0032321614393173203,0.032159600268211845
100,0.5688776394043672,0.003143995452913643,0.03143995452913643
101,0.568163349403275,0.002833769598300713,0.028479032001835873
102,0.5677813046276718,0.0028112905451890056,0.02839264274430698
103,0.5681099868564244,0.002771105566376861,0.02812364990858222
104,0.5664347890921332,0.0026670092033945474,0.02719826394208069
105,0.5672124757265442,0.0028039415997834598,0.028731851523607105
106,0.5650595269116551,0.00261691485881194,0.026942787496780952
107,0.564063860682406,0.002614663317645172,0.02704628766238355
108,0.5603589899487428,0.0025555260024288638,0.02655780525762107
109,0.5613588717466506,0.00230467145245786,0.02406147636599613
110,0.5615184905724518,0.0022496111301047207,0.02359412058195885
111,0.5613619272713091,0.0024843203062656642,0.026173938557996112
112,0.561937414046873,0.002412750440646668,0.025534150566450364
113,0.5626104502424101,0.002710278357415137,0.028810654132421863
114,0.5633069672528831,0.002371522076846494,0.025320926790909828
115,0.5617140401472163,0.002535832793112834,0.027193777133418598
116,0.5622490496097015,0.0023117028093685645,0.02489780122713111
117,0.5588240810786316,0.0022636512030629456,0.024485131447227595
118,0.5609667760274799,0.002357996350195258,0.02561439675122236
119,0.5588888508201636,0.002503714630443774,0.02731230212071268
120,0.5598321219234107,0.002645521417908364,0.02898023513902925
121,0.5591793650549249,0.0026155551001469197,0.028771106101616116
122,0.5577573234852179,0.002665893568374481,0.029445756896093734
123,0.5600773498239001,0.0027347508262495074,0.030329853874453482
124,0.5593918513596821,0.0027226207309875407,0.030317821358989305
125,0.5565352153712531,0.002509533199116772,0.02805743412508809
126,0.5544988002375432,0.002305304793484744,0.0258769821279227
127,0.554983436868586,0.002451594571107595,0.027628067694243426
128,0.5581799000405745,0.0025246436121313374,0.0285630818914779
129,0.55261633331586,0.0024418462160656312,0.02773404171115186
130,0.5559114218106199,0.0023825703106415443,0.027165481167643078
131,0.5534934202242613,0.002561915865499642,0.02932246732709818
132,0.5518858665275275,0.00256378607842862,0.029455659479710537
133,0.5501896434023168,0.002503154771196488,0.02886778908297235
134,0.551731938940297,0.002426412264338533,0.02808775263091278
135,0.5499497416908852,0.0023811395116849947,0.027666341021257337
136,0.5483245183524632,0.0023237763215349346,0.02709965589050154
137,0.5491499955315103,0.0021674334422090353,0.025369158017514826
138,0.5482533725951304,0.002090451002308115,0.024557238937654175
139,0.5491910565485456,0.002405433978771737,0.028359648358996247
140,0.5482872485554152,0.0024017904994444272,0.028418368434007812
141,0.5456345588358118,0.0019239404017568787,0.022845526485534343
142,0.5431900554106954,0.0019279041613162618,0.02297362950518092
143,0.5443194438484467,0.001908065696469063,0.022817147113344424
144,0.5460182869360789,0.00222934131515371,0.026752095781844523
145,0.5464518393083301,0.002162695354138672,0.026042300651975516
