sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.8562355091223702,0.16012592552896449,0.16012592552896449
2,0.8428250267650756,0.10970197708015166,0.1551420238058929
3,0.7991054734036437,0.06938087638521775,0.12017120297285286
4,0.7406246828781075,0.0633181111662429,0.1266362223324858
5,0.705085033549208,0.03995993151754946,0.08935312324947693
6,0.716840013922799,0.04863978220647985,0.1191426476059801
7,0.7063848949566096,0.040709259405530114,0.10770657644464983
8,0.6748492050781468,0.03193370766522544,0.09032216495403897
9,0.6541104632986039,0.02659115488979527,0.07977346466938581
10,0.6416213222657889,0.025551356034087425,0.08080048237360318
11,0.6146232719796927,0.01984536441240363,0.0658196275838147
12,0.5950868952713083,0.020892528272291502,0.07237384093235619
13,0.581771466379118,0.018305396823424226,0.06600104686457167
14,0.5838576237758526,0.014607938152179117,0.054657899692637874
15,0.5771957840764665,0.014873867866524865,0.05760624254074045
16,0.5779849635999919,0.015017305600691392,0.06006922240276557
17,0.5744805420355188,0.012990284705950858,0.05356031594948104
18,0.5700923172742896,0.011485656230310485,0.048729512440980366
19,0.5677319922954034,0.013126355680079683,0.05721645790643846
20,0.5635517535243736,0.011477259404280392,0.051327864446739396
21,0.5599550646216225,0.010550122847943277,0.04834673654178315
22,0.5654653473110571,0.009071438374973833,0.042548817518244304
23,0.5671769905397335,0.00954415671353,0.045772167630183894
24,0.5671507532762269,0.008836833726520572,0.04329146714358517
25,0.5671796779453462,0.008915914321548998,0.04457957160774499
26,0.5616181608148467,0.009000599481595584,0.04589423239068899
27,0.56181818003149,0.008603739936439581,0.04470634411506833
28,0.5618177699183626,0.008604492038525447,0.045530692183947064
29,0.5582227741061749,0.00784647163448445,0.042254542906204805
30,0.5566028319516757,0.00730674220635087,0.04002067528293439
31,0.5492000429846667,0.005963790379212533,0.03320497954076808
32,0.5508670258699138,0.006479927171809904,0.036656003558254
33,0.5452631781542063,0.006991966584194347,0.04016579006540494
34,0.5340124579777006,0.0073692273897233256,0.04296961041165311
35,0.5375198990489584,0.007865066819208318,0.046530362801845936
36,0.5357459365681593,0.006877286754446348,0.04126372052667809
37,0.5347476951578958,0.006635699739310192,0.0403633857365857
38,0.5279759112607607,0.006661409820379351,0.041063687976261525
39,0.5242739491890072,0.006789644963725958,0.042401319208304374
40,0.5270931016083474,0.007383446265394454,0.04669701436022107
41,0.5292160474429661,0.007412211237660283,0.04746130942883469
42,0.528763355386247,0.006951878860191651,0.04505332425964528
43,0.5248328678393976,0.005998531127794715,0.03933499910662579
44,0.5250425362462882,0.005620097037822142,0.03727950631968773
45,0.521667970983583,0.006069869359528362,0.040717921507345586
46,0.5186690632317685,0.006099471248913402,0.04136862673271589
47,0.5164595438550748,0.005878880828944036,0.040303576400159684
48,0.512347753430842,0.0053028230999270015,0.03673903613049384
49,0.5159350012434774,0.005213051882815521,0.03649136317970865
50,0.5093053274094732,0.004607878756413659,0.03258262315545534
51,0.5072051984477834,0.004304080008108768,0.0307372793286309
52,0.5097726074997972,0.004333540823947204,0.031249607290116214
53,0.5100472795905211,0.0053431620739419795,0.03889880705453361
54,0.5093126402109703,0.005174353924091963,0.03802358058777945
55,0.5092356553664603,0.0051871532867880385,0.038468958357810744
56,0.5093097538094583,0.005371785060275864,0.04019875850188617
57,0.5103848940503908,0.0054376585850961015,0.04105342203300417
58,0.5040435456540305,0.00523381155053444,0.03985952124772007
59,0.5043899651761692,0.005213430101861804,0.040045116458726
60,0.5022941479765229,0.004958525252145665,0.03840857144661818
61,0.5015839730417742,0.0049382236148393975,0.03856875938735399
62,0.5020021820188021,0.005176858131512498,0.04076262169017148
63,0.5003043112659336,0.004890812265320173,0.03881961888942489
64,0.498779939523372,0.004888343461680158,0.03910674769344127
65,0.4989644329059921,0.0046954984225764974,0.03785631853954098
66,0.4988667899468277,0.0045535742373855196,0.03699341198288087
67,0.49792283929321046,0.004795225846379762,0.039250615173419
68,0.49827020757156815,0.00479409461177623,0.03953311692711578
69,0.4970120779768002,0.0047683730184004975,0.03960908110194026
70,0.495258775162433,0.004682923212157278,0.03918014658940547
71,0.4949827594789392,0.004719650209627845,0.03976847954332742
72,0.4928069865687337,0.004813165192190547,0.04084106095642785
73,0.4899537376188968,0.004634139353712743,0.03959410399444503
74,0.4888037797099981,0.00429215168037328,0.03692248485005454
75,0.4889515913712734,0.00426996340156277,0.03697896778983173
76,0.4894696233174253,0.004171302471514604,0.03636457187254722
77,0.4863821389299803,0.0038113873462845673,0.033444788230204046
78,0.48426601967957933,0.0032968680055403513,0.029117149832779615
79,0.48582146381632063,0.0033040430418255187,0.029366976918923992
80,0.4836609909640856,0.003443802470871864,0.03080230570380491
81,0.4822849996356693,0.003214538166551023,0.028930843498959205
82,0.4801158728996497,0.0033865559411789567,0.030666568339222898
83,0.48175463787569595,0.0033654289808395165,0.030660517195265708
84,0.48031162959808,0.0032060363849113747,0.029383808829277904
85,0.47708512944642534,0.0034036926307530017,0.03138049552818748
86,0.4746895336969891,0.0033516439602495392,0.031081867420086593
87,0.47396299826514976,0.0032100108720140696,0.029940988167811395
88,0.47540040840702885,0.003087445627008848,0.02896280725304046
89,0.47471840959234113,0.0030851373000762663,0.029105127078723547
90,0.47434354955376756,0.002968041112207921,0.028157310310789257
