sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.9638420700821865,0.18475115932305758,0.18475115932305758
2,0.9208272776105705,0.11410528809042288,0.16136924595596525
3,0.9122253266050206,0.06115699460928225,0.1059270219014928
4,0.8835462145338553,0.047058243778064085,0.09411648755612817
5,0.8926887665782971,0.05076397489084204,0.11351169866401528
6,0.8394418738460676,0.027142974828428413,0.06648643843085739
7,0.8242592450339968,0.038285174929397044,0.10129305176378943
8,0.8101364844489674,0.035998294198508626,0.10181855175565521
9,0.8058934064336822,0.03440959561710927,0.1032287868513278
10,0.830484939575773,0.049247768388483444,0.15573511778804772
11,0.8216197345974411,0.03896542305197146,0.1292336880608543
12,0.8068330198335254,0.03228349040909033,0.111833291268414
13,0.7876936199347078,0.02954772306738111,0.10653583059265269
14,0.7525233822353286,0.02761124055425883,0.10331180217783476
15,0.7456090272732909,0.024581312396715224,0.09520301354039999
16,0.7536318016761089,0.02450747220853346,0.09802988883413384
17,0.7590994343806291,0.02736732745279759,0.11283838177875039
18,0.7499039970318307,0.023697903149402864,0.10054168810106884
19,0.7524415960797477,0.022232039129331537,0.09690721187359816
20,0.7272387081472957,0.017282166729803778,0.07728819921265298
21,0.7255231635322607,0.015402043710415939,0.07058103115999954
22,0.7194857267533235,0.017558823945096634,0.08235818455604627
23,0.7199302736444991,0.016540303707717356,0.07932450992663714
24,0.7193048177627988,0.017197476553443787,0.08425008483882951
25,0.7084548412069196,0.015817957461516048,0.07908978730758023
26,0.7074005500734531,0.015642264866010114,0.0797602137885724
27,0.6956212698105267,0.013551898639053896,0.07041773094559461
28,0.6959735593004976,0.013807422689977117,0.07306201336885987
29,0.6917614716493613,0.01388152115599384,0.0747542791987511
30,0.7014279873002545,0.013730533744485681,0.07520523058440683
31,0.6928100063782257,0.012419813999799164,0.06915059778105917
32,0.7022370212445352,0.011177924946348537,0.0632318922332586
33,0.7093558379941818,0.014358894273918585,0.08248556769154149
