sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.6091812822481156,0.1801520048185547,0.1801520048185547
2,0.5941548424708236,0.11094817522579593,0.15690441412486725
3,0.5893905593978189,0.09124120190180408,0.15803439743757475
4,0.5648889575609566,0.04553073146696818,0.09106146293393635
5,0.5417776973739441,0.041757694225052315,0.09337304287086738
6,0.5422939425984132,0.04016407724918709,0.09838149525023496
7,0.5235408802088417,0.025699537776154316,0.06799458576501426
8,0.5191100858687492,0.024051620623535216,0.06802825616571188
9,0.5100571299609044,0.02361787777443983,0.0708536333233195
10,0.5075387405975149,0.019403226998384527,0.061358391272167356
11,0.512491366738703,0.014981999732203946,0.04968967172092557
12,0.49572881113859946,0.013744846434964217,0.04761354473517995
13,0.4898331702281465,0.014235591152202524,0.05132715383580769
14,0.483482615880896,0.014505061340772264,0.05427296991130967
15,0.4913412939645422,0.014110544978685526,0.05464990570835973
16,0.49067875670107686,0.011745729921878155,0.04698291968751262
17,0.4869706574397064,0.011399870796553396,0.04700287141258379
18,0.4819577959950008,0.009288990360461501,0.03940984844555279
19,0.46732547139208014,0.007517318571227052,0.03276723197838029
20,0.4715399306089879,0.007458518911396482,0.03335551059470053
21,0.47599575788184467,0.006860777650916408,0.03144003291158575
22,0.4720718456505904,0.007009857980724466,0.03287914834691408
23,0.4662970931480433,0.005785927116891163,0.027748331658776517
24,0.46054836200646443,0.006291143553947698,0.03082018321154279
25,0.45494553616027816,0.005432837011676446,0.02716418505838223
26,0.45810913043047485,0.006165576876940026,0.03143839680807365
27,0.4606544469072162,0.008438244630814629,0.043846405281798666
28,0.4573075581983287,0.005964322983205111,0.03156023070485519
29,0.456958832422135,0.006089534761050394,0.0327931482870308
30,0.4556486240767508,0.005840077180676077,0.03198742009427461
31,0.4593095562607476,0.005678802964135284,0.03161823676724593
32,0.45837105282611745,0.005713772198716961,0.03232197654294346
33,0.45696038472837835,0.005594759142994062,0.032139444389220805
34,0.45609421766021685,0.005045019185151997,0.02941726417719293
35,0.45549132321268326,0.005531504717030451,0.03272482322654401
36,0.4521251540581874,0.005000083316175572,0.030000499897053428
37,0.4471673399137237,0.005610974742443564,0.03413022692178541
38,0.44329672532399983,0.005266217723261317,0.032463146275955465
39,0.4419149348016463,0.005469656527200511,0.03415799406429393
40,0.442630523837933,0.004998085522109009,0.03161066838035266
41,0.4404788987606009,0.0051670804227352835,0.033085457891581065
42,0.438170521188962,0.0058501041790982415,0.03791300824340788
43,0.43901745848321205,0.005809005553871844,0.03809219680684351
44,0.43976726852403203,0.005389101128919832,0.03574725280381557
45,0.4333195323052378,0.0052070410356151375,0.034929893151799056
46,0.4304747074095415,0.004332829587705285,0.02938668002446585
47,0.4303934954356271,0.0041988690056375035,0.02878599561498011
48,0.4333331228322977,0.004458198737916979,0.03088730689724661
49,0.43496067817153844,0.0044673260278312865,0.031271282194819006
50,0.4350957503694771,0.004659800131326912,0.032949762718352246
51,0.43292528360116045,0.00508735424207819,0.03633097621044525
52,0.43100734068299074,0.005102298859458632,0.036793200321039055
53,0.43274343418706396,0.005434961912347039,0.03956711996594064
54,0.43454542677076546,0.005119714214800007,0.03762206236540155
55,0.4322083948429036,0.005704853948024411,0.042308329218440355
56,0.4298905018395387,0.005422047615611003,0.040574889024781895
57,0.43073373091397665,0.0054452118002626055,0.04111044755696525
58,0.42844204476833336,0.005192818869587832,0.03954733029062964
59,0.424109301029464,0.005025057773513415,0.038598201149816665
60,0.42374255881934025,0.00442612721319078,0.03428463396976668
61,0.42419836581287296,0.004278202971055168,0.03341383336814651
62,0.4217557878430738,0.004579692389780518,0.03606053393768377
63,0.4234451830276072,0.004537539324152101,0.036015601847647676
64,0.4241163160331395,0.004707707682224066,0.037661661457792525
65,0.423939790790663,0.004611390603657199,0.037178219624766376
66,0.4237765985230103,0.004165593252639856,0.033841439562538614
67,0.42336297261936995,0.004094655136952181,0.033516196775113305
68,0.42269260681148263,0.0036103150044518037,0.029771420210214162
69,0.4219110401851074,0.004117013354480859,0.03419848137428309
70,0.4232932790771568,0.004003942586794622,0.03349938710908504
71,0.42251373465863795,0.0038003429386341634,0.03202225879036463
72,0.4241560904947524,0.00371354100531984,0.03151044032491161
73,0.42212009853614874,0.003949316522164807,0.03374297515682051
74,0.4229699139959866,0.003696589337972496,0.03179926386392118
75,0.422600885264998,0.0035874167174065933,0.031067940112350905
76,0.4216934117432479,0.0034911183963930318,0.030434864579625995
77,0.42206325522028293,0.003420487787304051,0.03001465852110273
78,0.42141363707629675,0.003428616065466507,0.030280717192650054
79,0.421031944379208,0.0033229266056838303,0.02953481770578846
80,0.41945190877494076,0.0030204290731265953,0.027015538914911003
81,0.4194047168006637,0.003097921407245,0.027881292665205
82,0.4200787835506926,0.0029144763852735956,0.02639170614465898
83,0.41734065949562726,0.003043418650655543,0.027726863470326293
