sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.42912918350831786,0.04999869895923679,0.04999869895923679
2,0.4227585284845876,0.03244043598809667,0.04587770454366255
3,0.4247703111251215,0.02816295661845231,0.04877967175451758
4,0.42213710842917457,0.021656615877481578,0.043313231754963155
5,0.4144606138488923,0.026103754339371742,0.058369769170790335
6,0.4052719558843707,0.025225636219313247,0.061789937174387626
7,0.3931448837235371,0.01763826193116146,0.04666645462927109
8,0.3975171864487435,0.017796911863898746,0.05033726825256849
9,0.3955160916409381,0.017463271081999462,0.05238981324599839
10,0.3885005520781402,0.01581928151822528,0.05002496054499833
11,0.3891679320271291,0.019067593804985135,0.06324005430604074
12,0.38021832117867815,0.013553403410625218,0.04695036664536037
13,0.3767813265075447,0.013263247051518021,0.04782131732339479
14,0.3660186667023818,0.011080140577011162,0.041458089836467496
15,0.35427860055649923,0.010334877561299173,0.04002680868000442
16,0.3549037740204441,0.011165010705582708,0.04466004282233083
17,0.3552255664833888,0.011059971508939894,0.045601430747681124
18,0.35298341914241116,0.010980546071860298,0.04658651153126234
19,0.35274146629652264,0.009506308182209221,0.04143703669240384
20,0.35039958076818783,0.009089161769164517,0.04064796714868822
21,0.3482967211109903,0.008308667033753006,0.038075095606357356
22,0.35141360452183246,0.007931210619260248,0.03720067528305721
23,0.3485851610202158,0.00726882346575037,0.034860052714440835
24,0.34275303244356764,0.007749510709073209,0.03796469398692644
25,0.34475157224702446,0.0066969469844449766,0.03348473492222488
26,0.34405885728598457,0.005868563281985048,0.029923918691595875
27,0.33657550365813704,0.006370622005330053,0.033102722967143935
28,0.33376338924964305,0.007092414414600359,0.037529529472084606
29,0.33243165035427047,0.007008815003133266,0.03774362389458957
30,0.33319080982403754,0.006002421509623608,0.03287661660475063
31,0.3340404778487031,0.0065550924705052764,0.03649721025233468
32,0.3334843929239884,0.00623267402772575,0.0352573285594412
33,0.32948138540011446,0.0058130478982914985,0.03339341781906174
34,0.32977264462244715,0.005313877441383691,0.03098496373581193
35,0.3282470479518519,0.005251801053784066,0.031070074039153173
36,0.32902472308749103,0.0047324026225602014,0.02839441573536121
37,0.3329656263943563,0.0053524531093556895,0.032557701218766985
38,0.33076637478863247,0.0050760656209258405,0.031290969993624664
39,0.3277934784736889,0.005078022653046478,0.03171224130409698
40,0.3281017229995066,0.005068591403144882,0.03205658672537312
41,0.3270054990497452,0.004446500049381798,0.02847149223794295
42,0.3292083704340455,0.004580206503322128,0.02968313069319207
43,0.32624570782726353,0.005024771016720802,0.03294962704084112
44,0.3187309021749729,0.00490913573118547,0.03256352253053842
45,0.318429343969708,0.004894395681249628,0.03283260435616669
46,0.319432312040605,0.004696691231123361,0.0318545097583295
47,0.319579519705189,0.005167398251108218,0.03542589759231436
48,0.31982194944209313,0.004704347301190649,0.032592674168446925
49,0.32290681086594775,0.00521433937886639,0.03650037565206473
50,0.32342101186087335,0.005093713015539658,0.0360179901470627
51,0.3217406266438032,0.004982940277243983,0.035585311353641375
52,0.31896038388888215,0.0048167206192302236,0.03473386634443846
53,0.3199425571056357,0.004784118181120971,0.03482890608186551
54,0.32013751861248263,0.004880746351107311,0.035866014372491345
55,0.3196197276049061,0.004753574053334667,0.03525344870263776
56,0.31810299436449047,0.0045396902953305585,0.03397193145437912
57,0.3173882026226279,0.004779827728272193,0.036086907977571366
58,0.32203056737264896,0.004601003057636833,0.0350401953463482
59,0.32375481042584936,0.0047705580354741265,0.03664335156914251
60,0.31919569861819774,0.004186289071204865,0.03242685571037312
61,0.3178999255071967,0.004004591101956019,0.031276856356190666
62,0.31678661356621174,0.004149332859242704,0.032671879605572995
63,0.3185754183398529,0.004631173399059997,0.036758799276991334
64,0.3178332126564652,0.004234654470291423,0.033877235762331384
65,0.31699693511461546,0.0037256077026257524,0.03003680956761523
66,0.3192838796926017,0.0039344235484119645,0.03196340800740289
67,0.3182672435675376,0.0035691617969027126,0.029214848407538876
68,0.31656866432301284,0.0032797465636311466,0.02704548301421554
69,0.3181310905057987,0.0033692006447364397,0.027986682474526674
70,0.3165399483891757,0.0035868298130460915,0.030009571265563563
71,0.3171576451667081,0.0034366337217138702,0.028957590454709553
72,0.3165680402053825,0.0033007438562247648,0.02800774036435639
73,0.31576781373007334,0.003318495700393449,0.028353239692981747
74,0.3166719086703725,0.003374204246461205,0.029026002445495754
75,0.31963757976784113,0.003712096284680081,0.03214769683826782
76,0.3216998452965563,0.0035665888752354014,0.031092800960615022
77,0.31745420131325236,0.003620066829000991,0.031765957504463226
78,0.3153262807138033,0.003534114195068273,0.031212451445137714
79,0.312098642352827,0.003286694905517668,0.029212783310641723
80,0.31008506753459864,0.0036587438062238146,0.03272479945189107
81,0.3121611226801181,0.0037352402331505157,0.03361716209835464
82,0.3078373213396387,0.0032413543331726784,0.02935171185604919
83,0.30994231843605247,0.003069487388326694,0.027964360973371447
84,0.3113846008055958,0.003308251298417929,0.0303206239858722
85,0.3115849927581783,0.0037421052852157476,0.03450050604091726
86,0.31193432384501896,0.003796342969004728,0.03520583637260732
87,0.31134970008608026,0.0032431144795502715,0.030249758063326238
88,0.3104554921315662,0.0035997812281022734,0.033768941208414886
89,0.3087264871135759,0.003344512357942316,0.03155206648075795
90,0.30866665713739805,0.0028897877612150207,0.027414933839754765
91,0.3070785254536999,0.003004855140909173,0.028664491134925002
92,0.3067060726220711,0.0031687966218412605,0.030394029459986344
93,0.3021611938356904,0.003110322121743308,0.029994860296283076
94,0.3030350342807124,0.003282879517129866,0.031828697819030194
95,0.3043511851361912,0.003231600578426558,0.03149774624248935
96,0.3033721096000031,0.0029757595860335564,0.02915637033191165
97,0.30267710555655764,0.0030510043841091494,0.030048908331747514
98,0.3046294776887583,0.002836149067339658,0.028076443331604844
99,0.3026984311319236,0.002909902940030233,0.028953168685297
100,0.30199293530501514,0.002804077091099651,0.02804077091099651
101,0.30070316467068786,0.0028884624738725125,0.0290286885986939
102,0.3024914296847297,0.002901154290182182,0.029300222080645276
103,0.297370381187439,0.00284498472244902,0.02887344145247909
104,0.30005211929197023,0.0026942167075209612,0.027475727130994172
105,0.30414161741982787,0.0025176792319604436,0.02579853513437764
106,0.30092119485118557,0.0027245642156405367,0.028051105459603317
107,0.30289902019347564,0.0025596996463894657,0.026477739026033176
108,0.3049674390775954,0.0025514781578104564,0.026515738822379713
109,0.3061252141791428,0.002801913568696223,0.029252836468663966
110,0.30405544056937006,0.0026268757274086427,0.027550905059495874
111,0.3057901255367832,0.0026431408675240426,0.02784721700024812
112,0.3049180787479581,0.0027782701875617055,0.029402447964932195
113,0.30452860271931687,0.002832211089082494,0.030106816849390917
114,0.3050525472060769,0.002857877110630464,0.03051377754489061
115,0.3060550593669575,0.0025449042542917354,0.027291057716840143
116,0.30450822385215826,0.0025837755002403938,0.027828113786861834
117,0.30299682505009734,0.002385176605896868,0.025799629660794965
118,0.3038664383347663,0.002534293735015201,0.027529476543694052
119,0.30223421299049474,0.0023772259778802227,0.025932473824128718
120,0.3028858700176945,0.0026532593535492934,0.029064999977010456
121,0.3025944318185475,0.002412446230975482,0.026536908540730306
122,0.30139465847366004,0.002455241661702346,0.027119030537941166
123,0.3022555207278372,0.002620719585972042,0.029065186241285106
124,0.3051301931909366,0.002449853941049452,0.027280418934227637
125,0.3043091583421901,0.0027272081487092247,0.03049111404652591
126,0.30231530913753,0.002636793019896652,0.02959792824087083
127,0.30733840376398563,0.0025399763474351963,0.02862407972987674
128,0.30491947940231123,0.0028480393741164367,0.03222188727238437
129,0.30456018606927915,0.0029937565261457157,0.03400253784324588
130,0.3040556706093763,0.0027476839110923005,0.031328416713677254
131,0.30622622148298456,0.0026473280369229985,0.03030005431175485
132,0.30520063624394056,0.0029517921317630163,0.033913509640941364
133,0.30314903717047076,0.0026192814795454964,0.030207027615920375
134,0.3042801058956246,0.0027165852026233388,0.031446747238101105
135,0.30521946633858477,0.0027405517854116454,0.031842334272954916
136,0.3041765932295196,0.0026801499788353636,0.03125565119511931
137,0.30412667092432755,0.002418371350504076,0.02830631093033196
138,0.3036213873676698,0.0027538548974380176,0.03235047013364385
139,0.30549456373044154,0.0023241475119816137,0.027401295049424127
140,0.30332744197172956,0.002653487193882329,0.031396483884881955
141,0.3058595670343419,0.0029007647596044203,0.034444673069567194
142,0.30596308327899113,0.002599130739559233,0.03097221731467873
143,0.3053070396048047,0.002935538175251539,0.035103930920985994
144,0.3062647997686823,0.0028041532966862574,0.03364983956023509
145,0.3051542297458419,0.002794910100291183,0.033655174311878144
