sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.8299571471729663,0.13790852627650788,0.13790852627650788
2,0.8070299382178518,0.10003870650754974,0.14147609550523846
3,0.7489166582800078,0.05340169500226169,0.09249444895421423
4,0.75504181748092,0.060265266605165096,0.12053053321033019
5,0.7564143159328698,0.04596839638826079,0.10278845914080695
6,0.7423219465225093,0.034010394414934676,0.08330811226739276
7,0.735118290634149,0.031008432243419492,0.08204060026208465
8,0.7324790540908939,0.03359057308853334,0.0950084880593771
9,0.7443194002491091,0.031652661379711074,0.09495798413913321
10,0.7236980993414213,0.028549192029755095,0.09028047217155169
11,0.7411115394433547,0.02945961030336783,0.09770647384635911
12,0.7254862105004644,0.020275624590630474,0.0702368238923298
13,0.7271044360451315,0.020843514372107613,0.07515235982950459
14,0.7114319798486533,0.016261327108989587,0.060844314696098224
15,0.7037781479408244,0.017581814692718745,0.06809407550100458
16,0.6988309361681051,0.017324511462686827,0.06929804585074731
17,0.6907605396057577,0.01664796963204914,0.06864133724501378
18,0.6885089215872269,0.01273612871441814,0.05403481788017863
19,0.6811125237209983,0.011561517438664888,0.05039548614912346
20,0.6886877730916697,0.013319551801044166,0.059566846513929024
21,0.6842153853916311,0.014040416804441399,0.0643412727950827
22,0.6787884061825337,0.014030464029389856,0.06580870960108592
23,0.6791965688211966,0.0125132642327763,0.060011507067090124
24,0.6752896379524348,0.01222718266460615,0.059900717040178096
25,0.6573238950074296,0.009338464966256343,0.04669232483128172
26,0.6570254312596473,0.01013772315048552,0.05169244816772698
27,0.6628818740252408,0.010314089584116257,0.05359358158051893
28,0.6509621367195731,0.009876444785232755,0.052261233478373206
29,0.656184333844696,0.009494012747470632,0.0511268233261652
30,0.6591419975646303,0.008923956392391874,0.04887852218305453
31,0.6540308692896958,0.0065426034485907255,0.03642767432119224
32,0.6523352205092495,0.007136424878710586,0.040369715401317126
33,0.6514514305077014,0.007305892467525507,0.04196915696857057
34,0.6502505457471383,0.007402792037471861,0.04316532425804225
35,0.6512800023456803,0.006853112700958309,0.04054356150144266
36,0.6546944745409841,0.007586793861645086,0.04552076316987051
37,0.6514856461484603,0.006275657749266816,0.03817333581021584
38,0.6482970721593151,0.006117120057903792,0.03770846054278453
39,0.6436995377539991,0.0051691631471038,0.032281413507057995
40,0.6400955808334429,0.005748847694443342,0.03635890527169735
41,0.6431118085262676,0.006277302499164402,0.040194347778097377
42,0.6343119207240615,0.004801956539952572,0.031120235180456424
43,0.6281925076969566,0.004266188799971223,0.027975270788877016
44,0.6264570650285834,0.004467706637264009,0.029635413178370342
45,0.6238311025077444,0.004410276217249898,0.029585032263964212
46,0.6206748066285663,0.0032852617198721418,0.022281729065102514
47,0.625341453567047,0.003252388796868671,0.022297254217545522
48,0.61675290570381,0.004598055764075316,0.03185626479765353
49,0.6247079997379726,0.005144834965293985,0.0360138447570579
50,0.6206746211159011,0.004983614565607794,0.03523947654161322
