sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.688678832808751,0.08761914766944638,0.08761914766944638
2,0.699347517380285,0.0952110729179121,0.134648790608605
3,0.6710688845607409,0.030965792601646645,0.05363432608269243
4,0.6457877537607906,0.028780225197046046,0.05756045039409209
5,0.6492287240596188,0.02575432202278256,0.0575884147573617
6,0.6459061631040252,0.02740251974326987,0.06712219103755307
7,0.610980344024141,0.02364263678222516,0.06255253726359614
8,0.6069845691537412,0.021715609022168247,0.06142101758868376
9,0.6007899260008782,0.022762404408014154,0.06828721322404246
10,0.6165099546854398,0.03568434276420774,0.11284379994104529
11,0.6206700983888183,0.032055007241859196,0.10631443167337207
12,0.5862371510446505,0.02444806565626124,0.08469058372684843
13,0.5682553245012175,0.023341411239442552,0.08415865506550159
14,0.5512632747033207,0.01754372197402457,0.06564259691561734
15,0.5777465492941891,0.01774627625788866,0.06873103240399886
16,0.5798628881607719,0.017551929734500985,0.07020771893800394
17,0.5667716489708448,0.011368911648674101,0.04687522357579834
18,0.5692418474912934,0.011345342182129264,0.04813421035119231
19,0.5590297587633304,0.01150672592519101,0.05015665547892718
20,0.5581679221266179,0.010928628000294125,0.04887431021893052
21,0.5519594722748267,0.010194071098744461,0.04671510244975814
22,0.5610403940679685,0.008906930472809283,0.04177720706131621
23,0.5492912917295006,0.0059326441277164875,0.02845196172429882
24,0.5536278245436461,0.007655611954938236,0.03750468591669896
25,0.5451849185339982,0.007737212531991948,0.03868606265995974
26,0.5484400588798499,0.00707121062693499,0.03605624097146618
27,0.5478204581462485,0.007035835954800743,0.03655927604230431
28,0.5437673522072841,0.006599537562249422,0.034921470315482844
29,0.5390027930589284,0.00755855558319617,0.04070406751939803
30,0.5365064723860257,0.006627698639919549,0.036301400494302465
31,0.5328300871576649,0.006025982493292737,0.0335512505771929
32,0.5180179549093189,0.004957885562094745,0.02804603601043258
33,0.5206785535735869,0.006161039157610336,0.03539247540866646
34,0.5206359223594988,0.007953006282638416,0.04637359705346706
35,0.5305853831056633,0.009278002116655042,0.054889400749898336
36,0.5281092917697373,0.007931502912061081,0.047589017472366484
37,0.5282483155547745,0.007997551662623862,0.04864720758753266
38,0.5258752744393226,0.009379348019830556,0.05781818427216282
39,0.5250401141211563,0.0099363284371628,0.06205235120151077
40,0.5249247158459776,0.00992267276408807,0.06275649282207385
41,0.5200273875185513,0.007642862755742783,0.048938199754669426
42,0.526921631177456,0.009581610967206562,0.06209593615148667
43,0.527056866926794,0.009527800788675921,0.062477967943538465
44,0.5285176219985905,0.009626938477726046,0.06385788562090496
45,0.5265795377778008,0.008875838247087462,0.05954093303334042
46,0.5251233475099941,0.008941876806948851,0.06064675917318163
47,0.5280374990073586,0.009581922145090823,0.06569034863467654
48,0.5187924282858942,0.007778864522945187,0.0538935543157444
49,0.5123958698483831,0.007392132763622378,0.05174492934535665
