sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.05321247408802632,0.006102288273024915,0.006102288273024915
2,0.050197221449502206,0.0028825581626149743,0.004076552847899367
3,0.0473427461463404,0.0018345122151659417,0.003177468363773139
4,0.04590684190061166,0.0016895513650914888,0.0033791027301829776
5,0.04489083985293783,0.0016161870120487483,0.003613904023293273
6,0.042998003822099624,0.0014136453446222947,0.0034627097715855017
7,0.04090042715704327,0.0013517487562084206,0.0035763910439683584
8,0.039506030532711435,0.0014829192299797445,0.004194328973882443
9,0.03887824389331649,0.0014306006130714386,0.004291801839214316
10,0.03723140919639291,0.0011172485270728315,0.0035330500580184423
11,0.0355749302228827,0.0010402631123635037,0.003450162426957061
12,0.0341412627174252,0.0006986465481153168,0.002420182635736686
13,0.033604753905943315,0.0007036400732249371,0.0025370103634837467
14,0.032649401915216265,0.00053527026877698,0.0020027979550898602
15,0.03167685800385109,0.000572201270523079,0.00221612599141461
16,0.030771059357209002,0.0006775197017659477,0.0027100788070637907
17,0.03030978142738646,0.0006267620650032281,0.0025842061961385515
18,0.02911761918850006,0.0005751419383987623,0.0024401205887192422
19,0.02882084641897878,0.000568464284502154,0.002477878369157044
20,0.02802113665846927,0.0005784017792618147,0.0025866913934724915
21,0.027648630750921544,0.0005632607112378037,0.002581184845241899
22,0.026959445068388377,0.0005397201823779034,0.002531512049320094
23,0.026342016017418424,0.000536389507810835,0.0025724337103333965
24,0.025838729041744092,0.0005545450941672109,0.002716705040146629
25,0.02521947298522052,0.000488641046813674,0.0024432052340683697
26,0.02478515383144713,0.0004854796453308747,0.0024754701849942344
27,0.024055089321296345,0.0005247527955166395,0.0027266955097458643
28,0.023587616239289406,0.00045590873242657765,0.002412442253086827
29,0.022783807453548733,0.0003675783210935977,0.0019794698386188287
30,0.02246330892317277,0.0003481867072946533,0.0019070971380873018
31,0.02192745722661984,0.00030599954603423605,0.0017037333674515842
