sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.057857385279126615,0.007831692481854204,0.007831692481854204
2,0.052644633865846745,0.004561263241074523,0.00645060033708145
3,0.051470529077994674,0.0033181558802513264,0.005747214572028729
4,0.045603111741014245,0.0016232975538367355,0.003246595107673471
5,0.039665019770037405,0.0016915071754034859,0.0037823250286308546
6,0.03744777593150313,0.0017561920889994926,0.004301774508361219
7,0.03557352558815103,0.0012842194247576473,0.00339772522674716
8,0.035133842730620445,0.0011895925574432423,0.003364675856868657
9,0.03353340577170921,0.0009334321548217973,0.002800296464465392
10,0.032305026930810325,0.0009236784854223025,0.0029209278396291117
11,0.03105514273638183,0.0009935867068381144,0.003295354303266873
12,0.03029208776158874,0.0008673069437723462,0.0030044393847419738
13,0.02958899171550944,0.0007955204660301613,0.002868289830952755
14,0.02880099871128302,0.0007391252955954675,0.0027655536220162536
15,0.02849731493242976,0.0006233915472226106,0.0024143850805596456
16,0.02787386330056275,0.0005758716313039547,0.0023034865252158187
17,0.027124380658441923,0.00043736411579491265,0.0018032984462772982
18,0.026859846535167813,0.0005051178840184474,0.002143033686528265
19,0.026504568418139002,0.00035344504182986333,0.0015406312194318806
20,0.026253365543688106,0.00037366774439115044,0.0016710929549152564
21,0.025594926274005038,0.0003738535849839444,0.0017132123520195311
22,0.02542345317540192,0.00039192373300561917,0.0018382852539383862
23,0.025302291399679232,0.00038304693430166214,0.0018370285624322075
24,0.02454053020440612,0.0004216159729420695,0.0020654880022302983
25,0.024349291564657274,0.00040486402442339213,0.0020243201221169607
26,0.02424841548326343,0.00038965258082209234,0.0019868461131336383
27,0.024243757505213667,0.00041023412199636005,0.0021316390268883143
28,0.02357150945536162,0.00038909634378893673,0.0020589043234200363
29,0.02275832827110084,0.00035040620313074627,0.001886995153301319
30,0.022527480966051873,0.0003694365576406117,0.0020234873618682056
31,0.02226482189188079,0.0003822199074448362,0.002128110379435548
32,0.021906735761265776,0.00039211034051347455,0.002218111046003553
33,0.021713219423019885,0.0003471805895389029,0.001994400646268233
34,0.021445104016510903,0.0003768979725141046,0.0021976739469944705
35,0.020989089016331498,0.0003976964512771303,0.0023528039352110923
36,0.02059495496103996,0.00036499304621158543,0.0021899582772695126
37,0.02028600213234646,0.00034253419518551746,0.0020835541678203224
38,0.019812412631122857,0.00030969385461329164,0.0019090811340116132
39,0.01967101819402868,0.00031028230933642767,0.0019377124007444234
40,0.01925383361588618,0.00029242215749319326,0.0018494401119579292
41,0.019263025377776185,0.0002882630479349942,0.0018457841089888286
42,0.018662917220302243,0.00025402659682528393,0.0016462805045236624
43,0.018480420184545147,0.0002539534583263111,0.0016652841910086752
44,0.018194664477611828,0.0002440180367412194,0.001618632539899566
45,0.018012809154193683,0.00024573534400915544,0.001648442801036302
46,0.017736779322843364,0.0002817224443526232,0.0019107345812521364
47,0.017283825655703557,0.0002715102340037706,0.001861380384803914
48,0.01715940098382183,0.00027139717833697295,0.0018802948076418744
49,0.01697426915719758,0.00028529588724171036,0.0019970712106919726
50,0.01647658505504139,0.00021084005140959306,0.0014908643009744356
51,0.016288709725808637,0.00020273697421175713,0.0014478315911526012
52,0.016298220895931154,0.00020181417958492698,0.001455302745218304
53,0.015924198921401626,0.00020408236876876071,0.0014857420711012483
54,0.015683656393247404,0.00020994924969814415,0.0015428056009218851
55,0.015514993788724396,0.0002202566073231027,0.0016334667180024178
56,0.01543539302989331,0.00023548066720918966,0.0017621759558114414
57,0.015394293797284308,0.0002291006466233784,0.0017296719510199775
58,0.015265387252960597,0.00022784007496775123,0.0017351783153774167
59,0.014812075626749655,0.0001687174503741156,0.001295943326532371
60,0.014545839075224831,0.0001697497081532545,0.0013148755854022482
61,0.014345866007498759,0.00017686982505781356,0.0013813974938354549
62,0.014201654410416962,0.00015745301243059429,0.001239786259665379
63,0.01410452054712596,0.00015831125059445397,0.0012565565964496547
64,0.014020378019345614,0.00014667176505131488,0.001173374120410519
65,0.014021838789634195,0.00014582401227108372,0.0011756707728205274
66,0.013858297607672584,0.0001290797451744701,0.0010486488070580184
67,0.013738076628461307,0.00012387892021944788,0.0010139926629948238
68,0.013658199364425028,0.00012171294062069807,0.001003670620367337
69,0.013489233758814754,0.00012202089085430263,0.001013581643744872
70,0.01337201981604722,0.00011009170169100679,0.0009210932605797927
71,0.01333082260894201,9.486553162744674e-05,0.0007993511778048651
72,0.013244750171644809,9.337696996208593e-05,0.0007923298640021222
73,0.013161245171145253,9.615527978683658e-05,0.0008215510706307867
74,0.013069823659789601,9.364187851091405e-05,0.0008055378975677719
75,0.013034326060001924,9.763714252757167e-05,0.0008455624578179904
76,0.013102847696830316,9.602710310754265e-05,0.000837144876573478
77,0.013051916907938823,8.882086014438786e-05,0.0007793998846245398
78,0.012946244300231021,9.020307587341315e-05,0.0007966519955212119
79,0.012773834491048797,8.23462516190874e-05,0.0007319094939276374
80,0.01267602777216878,8.723717897697241e-05,0.0007802730494313035
81,0.012566429888510214,8.117813749218458e-05,0.0007306032374296612
82,0.012370980117570384,5.516002364322875e-05,0.0004994952583182022
83,0.012298567548130149,5.767556865655647e-05,0.0005254494373849345
84,0.012275331462910249,5.7505316324651435e-05,0.0005270449298401899
85,0.012330674540188897,5.9166354045915045e-05,0.0005454868315022446
86,0.012322417922575091,5.606209508515552e-05,0.000519898481877937
87,0.012267936857406452,5.0382397747317815e-05,0.0004699357213927213
88,0.012172960095289698,4.584849281296404e-05,0.0004300969865081556
89,0.012128757884977293,4.572179947536217e-05,0.00043133859357424224
90,0.012091504333666205,4.813387944878398e-05,0.00045663807503438234
91,0.01199416989061074,4.788078596630586e-05,0.0004567535872791351
92,0.011992965600810182,5.215572919778316e-05,0.0005002601804161801
93,0.011896720103624412,6.5263746291744e-05,0.0006293807765916282
94,0.01190645346589818,6.684528519613361e-05,0.0006480890852170937
95,0.011883059536769897,7.320977773798718e-05,0.0007135606476413346
96,0.011738018724781587,8.279684560847217e-05,0.00081124009621102
97,0.011615914394878829,7.976435117416224e-05,0.000785587752366852
98,0.011604153748131346,8.216077023379158e-05,0.0008133501289175342
99,0.011555794492581348,8.102301418414519e-05,0.0008061688122973594
100,0.011501522925837216,7.943263177155695e-05,0.0007943263177155695
101,0.011411073911725255,7.487288257521701e-05,0.0007524631572757204
102,0.01139554474065703,6.849655323602923e-05,0.0006917812776680582
103,0.011353986740687457,6.749051616771966e-05,0.0006849539302582901
104,0.0113588346423064,6.171126451637344e-05,0.0006293338839549483
105,0.011297768515562651,6.254113810672687e-05,0.0006408559630267099
106,0.011291534830048139,6.128075451473903e-05,0.0006309239832443723
107,0.011251375999263399,6.718657415438234e-05,0.0006949833270564467
108,0.01124586742536087,6.034752583894304e-05,0.0006271498851847498
109,0.011215698030838345,7.346225979823393e-05,0.0007669685091307797
110,0.011099161049998954,7.62207189791903e-05,0.0007994096447926538
111,0.01098797356579128,7.890532866344557e-05,0.000831319222053109
112,0.010926550207024103,8.154713894082029e-05,0.0008630137990649665
113,0.010873298915347482,8.546936917089912e-05,0.0009085518568091053
114,0.010815566601229752,8.55794180001385e-05,0.0009137381427507758
115,0.010761609160700913,8.099999525263272e-05,0.0008686281779660099
116,0.010689367767485403,8.093967154156302e-05,0.0008717469413733025
117,0.010626794987057061,8.411997375842768e-05,0.0009098966360300887
118,0.010593224541791428,8.502493539131827e-05,0.0009236072094343709
119,0.010571739611369323,8.387232078146335e-05,0.0009149390017913619
120,0.01052050509939795,8.105486194618405e-05,0.0008879115256678418
121,0.010448739915919773,8.122124870728857e-05,0.0008934337357801742
122,0.01038121376784686,7.96725000497369e-05,0.0008800115261912141
123,0.010326165953325892,7.984307878694805e-05,0.0008855025800707707
124,0.010322478003625317,7.69258789136408e-05,0.0008566103343894934
125,0.010343663102158255,7.779865329971774e-05,0.000869815386680536
126,0.010243819863542235,7.703626080157508e-05,0.0008647298828329716
127,0.010219361180022219,8.021995005731269e-05,0.0009040329248285778
128,0.010114066796020869,8.492559647659128e-05,0.0009608234426385611
129,0.0100436884193406,8.232611102729249e-05,0.0009350448779803425
130,0.00998408327160437,7.048053571728545e-05,0.000803601747726709
131,0.009990830803490832,6.999946913951979e-05,0.0008011805439822602
132,0.009920998136869415,6.658527014694168e-05,0.0007650065113915297
133,0.009843705451779716,7.025171738226567e-05,0.0008101823280941013
134,0.009818743899269556,7.073020653507274e-05,0.0008187613349506694
135,0.009818142432982707,6.433820972321202e-05,0.0007475424443484007
136,0.00978387333037153,6.445948632204909e-05,0.0007517203278206139
137,0.009719872132999552,6.67710265581152e-05,0.0007815348285934287
138,0.00968308862528432,6.775796820613625e-05,0.0007959758986605563
139,0.009606337180179747,6.458016212499679e-05,0.0007613888824199043
140,0.009551984360933139,5.798073187700975e-05,0.0006860372713337937
141,0.009537138095461575,5.921939672402652e-05,0.0007031913748891034
142,0.009403335020763796,5.857652117866371e-05,0.0006980198094194822
143,0.009366235887587891,5.570605374986356e-05,0.0006661475157100898
144,0.009361090508779429,5.777448143862732e-05,0.0006932937772635278
145,0.00928555965428059,6.236860295695896e-05,0.0007510174312533661
