sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,2.565622203964952,0.31124663238114636,0.31124663238114636
2,2.786271810121849,0.1871794175981359,0.264711670964381
3,3.417993284468629,0.21616094860048019,0.37440174558831624
4,2.397909655400756,0.07085135075285431,0.14170270150570863
5,2.187894293662459,0.07224939938195585,0.16155456835158458
6,1.8183400941775703,0.0785254603084225,0.1923473095728085
7,1.3999879179854744,0.06091254780924195,0.16115945322658645
8,1.33756768587293,0.05455425418628776,0.1543027323107947
9,1.206324671542101,0.04899910866524443,0.14699732599573329
10,1.1559197630867368,0.045620234813771615,0.14426384940322576
11,1.1293793348543395,0.044267120879616345,0.1468174305069947
12,1.0647896196813493,0.04724327082284401,0.1636554907618043
13,1.0284071028382031,0.041258696963636945,0.1487603474612234
14,1.0033556070699485,0.04209707420933026,0.15751282867691135
15,0.9848714233756789,0.03978507376037557,0.1540869281015683
16,0.9456555256024005,0.0397847315657327,0.1591389262629308
17,0.9080032792326718,0.03981124581248136,0.16414597157228944
18,0.8683045925577193,0.040863315859321334,0.17336836647536344
19,0.8359496950924912,0.0346142898451136,0.15088019143727635
20,0.784848201531901,0.03549115425474407,0.15872126702707726
21,0.7708491451381493,0.035392714880781426,0.16218979499117084
22,0.7360223134836325,0.031181151077748215,0.14625256242450554
23,0.6744456706527847,0.025114637625252734,0.12044557081976275
24,0.6601735163649729,0.021622434184184653,0.10592786149632932
25,0.6471524197987575,0.020318709821598436,0.10159354910799218
26,0.6262990029167849,0.021576367231254525,0.11001831754461075
27,0.6090366215981838,0.021271073028889222,0.11052773765263244
28,0.5716722701009378,0.013787786450929219,0.07295810815844916
29,0.5654943473198091,0.013485462066957292,0.07262143573092573
30,0.5602545590005156,0.013546457254821112,0.07419700212745031
31,0.55402359722033,0.012436323537922725,0.06924251899907032
32,0.5334586748886508,0.014903542118970825,0.08430716556818879
33,0.5209684424356198,0.015709413728338957,0.09024371130282768
34,0.5061222611282099,0.013140173607285924,0.07661972019400007
35,0.4839553648568839,0.011069846620679257,0.06549009579461416
36,0.46742585190683955,0.010315980624609986,0.06189588374765991
37,0.4536047019395865,0.010479720320453781,0.06374565009326111
38,0.44642276094709504,0.00896832242264953,0.05528445232532141
39,0.4365519027793999,0.008580176431139347,0.05358318463837033
40,0.4262192792218995,0.007715465246727217,0.048796886775061984
41,0.4158387247165791,0.007157652718200226,0.04583133960303498
42,0.40752443852562437,0.007012571021080615,0.04544665441679271
43,0.4015633238550772,0.007258503943961332,0.04759719339093005
44,0.39513617452282185,0.007433881044233398,0.04931078831971515
45,0.38950090408497723,0.0071718896802564405,0.0481104985565479
46,0.3837976582424528,0.00710653979691998,0.04819889794092334
47,0.3779650349541924,0.006911551229878229,0.04738320798502217
48,0.3753407689689334,0.007506328406228026,0.05200536871153782
49,0.36513193786975184,0.006175231507728309,0.043226620554098164
50,0.3524099798708581,0.006593112388708554,0.04662034479180855
51,0.34530044016099354,0.007022326591505853,0.05014944275509231
52,0.3347971179076161,0.007484566566686953,0.05397197706162655
53,0.3295613940497596,0.007694054316002148,0.056013560914588686
54,0.32885625768710336,0.007785173724332883,0.05720910955061553
55,0.3206595486983754,0.007292172515439754,0.054080198776644876
56,0.3129247985077352,0.007111816691624911,0.053219962915201126
57,0.2964725696584535,0.007197069418088968,0.05433668252572211
58,0.29117541887470694,0.007111877479801725,0.05416244524287317
59,0.2881870264735174,0.006659292150519448,0.05115099358577726
60,0.28403837358048,0.006448804648025518,0.04995222600949563
61,0.28248762236279357,0.006300402447951848,0.04920771617719741
62,0.2754924978089081,0.006333510239024334,0.04987010949221203
63,0.26983498747674994,0.0059568097592648745,0.047280711691012174
64,0.26165904622484576,0.00502276218414215,0.0401820974731372
65,0.25602929681441555,0.00472566289046637,0.03809951225450941
66,0.2542926125322273,0.004608061127210956,0.03743606556837188
67,0.2508023848754296,0.004497678770713679,0.03681508739285309
68,0.24852787561459516,0.004404448309746397,0.03632001120731513
69,0.2486481367480156,0.004395704575587533,0.03651346452191357
70,0.24568336986241243,0.0042817567339569875,0.035823747026449096
71,0.24419057612704545,0.004166478309089903,0.03510737025908211
72,0.24337878923391448,0.003961641297753393,0.03361564111524118
73,0.23742721428412472,0.004193580764148315,0.03582996975517475
74,0.233328062819611,0.004022174606843061,0.034600054248903306
75,0.22998789657092952,0.004140448028666213,0.03585733175874141
76,0.22801153624228832,0.004153986265347079,0.0362136126870077
77,0.2276137972672286,0.004179052134963123,0.036671033657356425
78,0.22382582887362004,0.0039298683052029154,0.03470765710771325
79,0.22178365637035916,0.0039199125424993955,0.034840944776608485
80,0.22010699392085117,0.0034909215639910983,0.031223751684815913
81,0.21967907948144944,0.0034544273875919415,0.031089846488327473
82,0.21779970732557702,0.0036973069950133725,0.03348053881377561
83,0.2138609362890517,0.003578229848074159,0.032599225361791224
84,0.2132694077096083,0.003527935775394116,0.03233406547537252
85,0.21266895652609358,0.0034422053971504955,0.03173556569016251
86,0.21254940076165338,0.0034216051558126955,0.031730660857228074
87,0.21061031913717923,0.0032918863765509557,0.030704672033789824
88,0.2095757015267504,0.0031347416555877216,0.02940648332868728
89,0.20837997803182637,0.0032123185282101016,0.030304952385289935
90,0.2073290620655229,0.0031660457969102654,0.030035747683917976
91,0.20509404185759209,0.003128464773733088,0.029843651879159876
92,0.20293937840104065,0.0030280123639646233,0.029043674296164414
93,0.20220790181595127,0.003109199246032768,0.029984031675082623
94,0.2009118157645846,0.00311106764256389,0.030162919891833347
95,0.19993329070711852,0.002969377466516941,0.028941911498250487
96,0.19751737219798854,0.0030683213169162746,0.03006328637339755
97,0.19718339810134586,0.0030808830008559325,0.030343178579400942
98,0.1952637507633522,0.0030630073301391642,0.03032222555551707
99,0.19352531482637692,0.003160155530937422,0.031443150525857354
100,0.190386303556591,0.003109002872355076,0.03109002872355076
101,0.1899743061908844,0.003104797578698812,0.031202829494680357
102,0.18954217120895195,0.0030987602093499656,0.03129594403712988
103,0.18877392133055423,0.003047551433028536,0.030929269032848015
104,0.18640844576512725,0.0030004631078625423,0.03059883987361271
105,0.18458092252697042,0.003148842929693296,0.032266038470307186
106,0.18296059761023847,0.0031050714018462464,0.031968666714764976
107,0.18204712134204287,0.003061947711933382,0.031673033413231924
108,0.178659236078683,0.0031766726960878676,0.033012951051845964
109,0.17807020041927066,0.0031403115240805483,0.03278581484486496
110,0.17587586213265033,0.0029474637057422385,0.030913260142428435
111,0.1748285358878191,0.0029319286281534827,0.03088978485430162
112,0.1729036810762751,0.0027557187440547964,0.02916378592003298
113,0.16985934728108132,0.002681104499720645,0.028500531771209446
114,0.16461809122292786,0.002565345459467839,0.027390394214231333
115,0.16384178713097894,0.002570378474207159,0.027564238291249137
116,0.16225192976614908,0.002529858295458198,0.027247407719477545
117,0.15871410411082534,0.002292513677004746,0.02479732683642931
118,0.15862290930588985,0.0022271656565974835,0.024193211645158263
119,0.1587853896857012,0.002223608355371515,0.02425670340444644
120,0.1582787737665385,0.002211625405394687,0.024227142465723557
121,0.15707010228512258,0.0021873319086256424,0.02406065099488207
122,0.15656905956381553,0.0021320370844252925,0.02354911929950871
123,0.15613460387211475,0.0020852560149953246,0.02312660795951547
124,0.15546938018054884,0.0020965568596702138,0.02334626913583728
