sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,3.403971743913271,0.3865131037448817,0.3865131037448817
2,2.9910815502736186,0.41420673939767794,0.5857767884825343
3,3.1660978786421787,0.27604922662446274,0.4781312859036647
4,2.6967159698525434,0.19606126630767778,0.39212253261535557
5,2.1634650480918216,0.15061924922619163,0.3367948799897471
6,1.8754737685143659,0.11332566834513437,0.2775900622054549
7,1.6141814939355776,0.11337315367837822,0.2999571699840965
8,1.4954953452786355,0.08208800273210681,0.2321799335437303
9,1.441472168997692,0.08210753183630491,0.24632259550891475
10,1.3958560972547982,0.08566371165256353,0.27089244164600734
11,1.324983623887294,0.07620640764948365,0.25274806079420686
12,1.2326600415492466,0.05993261157828292,0.20761265656775355
13,1.1414629388568511,0.04463453718954126,0.16093211249349534
14,1.0982551676204468,0.04023374895856279,0.15054090398841483
15,1.0690924687723542,0.04185028360853724,0.16208545144992198
16,0.9902501155350716,0.042252293528740686,0.16900917411496275
17,0.9452502931385773,0.045415464633931944,0.1872527577222047
18,0.8976394810738096,0.04391541253377489,0.18631731600742157
19,0.8627046168411777,0.04118436806669919,0.17951849845632536
20,0.8495988104540835,0.040411261879398544,0.18072465723776213
21,0.826718884292057,0.04138284349841202,0.18964001280398424
22,0.7957720848199838,0.03655869237129505,0.17147546685685888
23,0.7780947907832848,0.0359629993573202,0.17247248599071124
24,0.760775270308208,0.03725506822080768,0.1825118149471119
25,0.7433521200610171,0.03668965391871437,0.18344826959357186
26,0.7377534295097792,0.035672153656673214,0.1818930075872569
27,0.7159742197345673,0.03269318335954212,0.16987876391967693
28,0.7012814322838474,0.03328685459955031,0.17613747839595326
29,0.6815236987224803,0.03182842241566929,0.17140130025947323
30,0.6652508197552239,0.032504870462548845,0.17803650781121386
31,0.6591088815558156,0.032344916954833644,0.1800888759398193
32,0.649409799179214,0.030860318183832783,0.17457232205890147
33,0.6256274893007555,0.026470801004554876,0.15206317467470726
34,0.6156471430351896,0.026240568058545966,0.15300749004279568
35,0.5971897215760539,0.025329790097585923,0.14985305910648494
36,0.5771480455861233,0.023025478588339966,0.1381528715300398
37,0.553706812373461,0.021412884695178176,0.130249492689426
38,0.5395446240358017,0.02095709989845804,0.12918824007567445
39,0.535072021138944,0.02082977087953399,0.13008187744978703
40,0.5136574523235724,0.016272173668875782,0.10291426255093204
41,0.4957771143618066,0.015765931855067278,0.10095122038689591
42,0.48372271108809495,0.016059917919404518,0.10408016367337455
43,0.471267468849874,0.014243816234108954,0.0934029493066243
44,0.46695977227900815,0.014278311127202091,0.09471160129777162
45,0.4611489701683153,0.014138265225355402,0.09484236638344819
46,0.4543831115742923,0.01437211269114877,0.09747641082603349
47,0.45309194981686557,0.014197018795063755,0.09732985721435891
48,0.4493937888434254,0.014066624720044526,0.09745643482448581
49,0.4447429499870717,0.013798516817349362,0.09658961772144553
50,0.43926658272679253,0.013976605736764743,0.09882952694437153
51,0.43247053008172764,0.014173307912801804,0.10121766405497414
52,0.4293302987148585,0.014164170367209761,0.10213928506676478
53,0.40591527858635856,0.009764585882511534,0.07108725824800115
54,0.3972860890528451,0.008893451163326621,0.06535325220753505
55,0.39020821038933307,0.008405100329648259,0.06233389234862468
56,0.3784713735563442,0.006765659801214455,0.050629561943227167
57,0.3757436296528177,0.006972919263060863,0.05264438596661965
58,0.37093967178816084,0.0062640332435502325,0.04770545591046733
59,0.36695939870549793,0.006331754543463515,0.04863512948807251
