sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.1804940062046811,0.05070658355863841,0.05070658355863841
2,0.16736923126243647,0.03400460400930836,0.048089772173090406
3,0.15702017864596207,0.010810928183658192,0.018725076891074305
4,0.1524260338845161,0.008986939205117145,0.01797387841023429
5,0.14934799146941508,0.0092492251614658,0.020681896200239
6,0.1438611509172592,0.007074975637162886,0.017330080253671366
7,0.1371835426008909,0.005283797298156886,0.013979613628998123
8,0.13404046386417856,0.0051742540274287725,0.014635000441506759
9,0.12869698901840984,0.005621977801215295,0.016865933403645884
10,0.1255221957272641,0.0036728369980084216,0.011614530388241926
11,0.12781149099202657,0.003760297699926819,0.012471496570693678
12,0.1276276088747461,0.0038214069463913722,0.013237741975092986
13,0.12769261188543973,0.0038412020029942517,0.013849650781210754
14,0.12607465279947935,0.003603101194482608,0.013481570199629861
15,0.12705863956250724,0.0034898640155378823,0.01351618521270676
16,0.12714364890986715,0.0038153197772373337,0.015261279108949335
17,0.12510808320377284,0.002513821289417204,0.010364750700193515
18,0.12551537049330855,0.002201189528109581,0.009338856252018607
19,0.12619178474482526,0.002301007969980736,0.0100298612094277
20,0.125795417264916,0.002572294128783859,0.011503649060168616
21,0.12704863859350882,0.002945086390301592,0.013496081311741303
22,0.1241048003384528,0.002665691888549584,0.01250320324488645
23,0.12492201056126155,0.0023971359911966078,0.011496260352248173
24,0.12503217536799396,0.0021736032212311125,0.01064843759057217
25,0.12475366491441175,0.0016210922899991952,0.008105461449995976
26,0.12342227310841436,0.0012410642473074003,0.006328210814642776
27,0.12409058718357868,0.0013094626315684733,0.006804167425468324
28,0.12477627021949664,0.001266836863082655,0.006703470582811775
29,0.12486085151989709,0.0012345973898568185,0.006648510414837056
30,0.12413129725953058,0.0011700084462376004,0.006408400184759041
31,0.1254295981411872,0.001343819424554496,0.0074820699021132695
32,0.1245547866167459,0.0013108563802576344,0.0074153234851346
33,0.12494560560591043,0.0013202661565656785,0.007584351646495525
34,0.1243173692130289,0.0013436456041206854,0.00783473288134807
35,0.12296044675889803,0.0013731586614743805,0.008123716196136712
36,0.12308439288912024,0.0013387125776862404,0.008032275466117442
37,0.12224367239169058,0.0012841626175233232,0.007811256252680554
38,0.12258029172515976,0.0013526137722789308,0.008338071278444931
39,0.12224319682432354,0.001327207187059124,0.008288406226644198
40,0.12068193673833134,0.0011540171435075236,0.007298645264730337
41,0.12024956915112217,0.0012057883924178519,0.007720812880705938
42,0.11994636578162994,0.001185214197202672,0.007681065884142155
43,0.1197497418054189,0.001189298971744241,0.007798754894228441
44,0.12028667478151422,0.0011924063000490614,0.007909528589837352
45,0.12118671865330402,0.0013715580406025107,0.009200691041620891
46,0.12104410832603799,0.0012948928946767762,0.008782390904502169
47,0.12064876712737609,0.0012530095496719846,0.008590200683555182
48,0.12005496294198262,0.0008725318291572465,0.006045077837285434
49,0.11989280062421144,0.0008275033871681198,0.005792523710176838
50,0.12029249818176954,0.0008313270915197011,0.0058783702379767025
51,0.12027468619843278,0.0007996111181696445,0.005710365571075636
52,0.11930457231303204,0.0008322992670753857,0.0060017953679428
53,0.11861704777424642,0.0007855717214623471,0.005719048458157154
54,0.11741755601481421,0.0007656732625527947,0.005626526408839206
55,0.1175102590922511,0.0007727026987858868,0.005730516585710629
56,0.11821685392680732,0.0008852689737801712,0.006624746390052729
57,0.11824242400807909,0.0008372098247294253,0.006320795564289204
58,0.1183088858120092,0.000761062059576168,0.005796075965213576
59,0.11899331876658448,0.0007522506267617225,0.0057781467030822995
60,0.11902003374822241,0.0007092301714691263,0.0054936732854555135
61,0.11896050733378705,0.00074163983449976,0.005792392277041215
62,0.11929770316854045,0.0007376561586805668,0.005808310401764089
63,0.11907102500083218,0.0008068467077891631,0.00640414720488398
64,0.11847512995134228,0.000876719508397253,0.007013756067178024
65,0.11829019167449177,0.0008561771316370278,0.006902720713456654
66,0.11795791539115912,0.0007494682340241641,0.0060887087162670005
67,0.11746815363681991,0.0007473908725990928,0.0061176579507011535
68,0.11812599749660468,0.0008652139237964022,0.007134736793135352
69,0.11810116467482587,0.0008188985071859773,0.006802281881099028
70,0.11789440987197994,0.0007827148494725689,0.006548662267283344
71,0.11711686400011675,0.0007934966503498959,0.006686121620361976
72,0.11651961710224419,0.0007229883765105409,0.006134759804995875
73,0.11668302010616986,0.0007173593267773718,0.006129120774724326
74,0.11729049630154849,0.0007373445941352937,0.006342878032647327
75,0.11725493484424192,0.000729808365993713,0.006320325848449667
76,0.1176577586691887,0.0007472878635024532,0.006514704557483221
77,0.1173216777977262,0.0005707002197783271,0.0050078741044316775
78,0.11765098888117945,0.0005589513337903182,0.004936524515951087
79,0.11780729042212298,0.0005212827030259358,0.004633262010878303
80,0.11727672996882801,0.0005050318365510166,0.004517142069318544
81,0.11707950852002261,0.000535351389756798,0.004818162507811182
82,0.11738897202674436,0.0005317407402591915,0.004815117196685271
83,0.11755151437913407,0.0005524936772010583,0.005033456949037432
84,0.11758918262154969,0.0005358530122475216,0.004911173979988732
85,0.1173841823962668,0.0004525180696555555,0.004172010460917753
86,0.11734718713728368,0.00044875611640039163,0.004161593021017495
87,0.11691992169759773,0.00048210939925962443,0.0044968171119514535
88,0.11767096601899447,0.0004741761228263085,0.004448166318872976
89,0.11772459455042157,0.0004615436614780641,0.004354194194004376
90,0.1192149722823301,0.00024937061334028194,0.002365737359005381
91,0.11966261188734381,0.000304326030726866,0.002903085307219754
92,0.1197713238495887,0.0002993527804443528,0.002871291002092677
93,0.11913820017449679,0.00035234139422358395,0.003397857354533584
94,0.11953782827782107,0.0003428530224376753,0.003324083381850855
95,0.1196316685545002,0.0003411543300771399,0.0033251610951029577
96,0.1190624046471493,0.00031507503781049405,0.0030870922932953087
97,0.11821812572986197,0.00036084068543952965,0.0035538685999965654
98,0.11882934514486379,0.0003600403858297961,0.0035642179764977773
99,0.11815497132071147,0.00029073673459485325,0.002892793984272806
100,0.11802738275081706,0.00034644766515699215,0.0034644766515699215
101,0.11909906401222506,0.00038811504100305086,0.0039005078887668953
102,0.1188543436437591,0.00040583289457228085,0.004098711322882527
103,0.11914566529082544,0.00037205689639342114,0.0037759650975415816
104,0.11934449846963424,0.00038705628287819135,0.003947215078509173
105,0.11938506367394186,0.00036020522473765427,0.0036910052035281555
106,0.11878724501915901,0.00038766582232218076,0.003991263924930755
107,0.11841940770831656,0.00034955182927023183,0.003615792237399667
108,0.11846472705527467,0.00036774418539431034,0.003821709679745845
109,0.1179931740341796,0.00039655335314918644,0.004140138554013756
110,0.1174177442382689,0.0003897072941537225,0.004087284583048721
111,0.11702316885626955,0.00043794626271748344,0.0046140501863472854
112,0.1171062482564151,0.0004447499809362581,0.004706791380632226
113,0.11732713927629841,0.0004493713150122416,0.004776882602640443
114,0.11731731976112462,0.0004622326444765199,0.004935294115719172
115,0.11737865660048222,0.00044782038722104085,0.004802338639584087
116,0.11732020734599753,0.0004312711871644637,0.004644932838898375
117,0.1172612904461573,0.00043501611101245735,0.00470541868172505
118,0.11710907857170745,0.00042770714932596494,0.004646088877644949
119,0.11659068331844483,0.00044601347247510026,0.0048654325704798685
120,0.11668483850155864,0.0004416477059512356,0.004838008220398007
121,0.11684803734482647,0.0004438814730674312,0.004882696203741743
122,0.11691821120860277,0.00045373329467254635,0.005011648045176084
123,0.11685319737026138,0.000487389945351135,0.005405415981773654
124,0.11645397791473489,0.0005060340284247952,0.005634956459685778
125,0.11685793064149438,0.00047460654721421754,0.005306262510687269
126,0.11663887937849135,0.0004961041095537735,0.005568754818362356
127,0.11644173864757654,0.0004968644135107108,0.00559937756964955
128,0.11620529859164563,0.0004838982917187452,0.005474684215662575
129,0.11606559586800902,0.0004804302014209055,0.005456638160847373
130,0.1159911478989527,0.00048687524225495145,0.00555123186308285
131,0.11608279296933126,0.0004801215837201729,0.005495242697567568
132,0.11605500277949032,0.0004891965744122274,0.005620440736365685
133,0.11605336132721493,0.0004714271275715737,0.005436762857545028
134,0.11607540198754304,0.0005029396249420954,0.005821947070280183
135,0.11605062265557745,0.0004950535442843914,0.005752002397483211
136,0.11592383171768166,0.000471294523861551,0.005496191393881449
137,0.11615678954390982,0.00043100768877071105,0.005044815656274014
138,0.11604104115493863,0.0004619146459023438,0.005426268453889293
139,0.11683118292428496,0.00046392772050881943,0.0054696271582306945
140,0.11693758863933883,0.0004841520130659913,0.005728563872893384
141,0.1170452486625653,0.00046936155224136815,0.005573359633817124
142,0.11668984839157695,0.0005009271417891522,0.005969235813411045
143,0.11688168920645632,0.00046314674640086733,0.005538429555780631
144,0.1168132681341916,0.00046780231660162845,0.005613627799219542
145,0.11651055128747108,0.00046893978111224696,0.005646782726021279
