sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.37191974670131583,0.03714257576973849,0.03714257576973849
2,0.319148973631384,0.01480429395041685,0.020936433286037476
3,0.29182031913089784,0.019116090736369863,0.033110040397489354
4,0.2540220692241933,0.021846682209115346,0.04369336441823069
5,0.22367378810996424,0.017801904139863985,0.0398062677856708
6,0.1860918181027111,0.0198256205477879,0.04856265417611787
7,0.17245332860384838,0.008155311825634911,0.021576926954814127
8,0.15922026164726066,0.007918081247108098,0.02239571577526469
9,0.14677119213595213,0.006613627479456379,0.019840882438369137
10,0.15412205372931226,0.008252482295469939,0.026096640403899654
11,0.14415052742825424,0.0057347076039316715,0.019019873404639398
12,0.13524475247463258,0.004176954068500307,0.014469393335048127
13,0.1356026547663392,0.004358446319765973,0.01571460168727353
14,0.1309485197749022,0.003425462289825537,0.0128169062798413
15,0.13002539307974267,0.003138666964147757,0.012156004881435655
16,0.1294362618880515,0.002980150912378428,0.011920603649513712
17,0.12805032622697526,0.0032274351957307795,0.013307056211834013
18,0.12897171957426762,0.0035813473637393853,0.015194370040108105
19,0.13250749302596826,0.0033614529106419304,0.014652233540958834
20,0.12696224036799292,0.002598532537697682,0.011620990792074105
21,0.1270625259251994,0.002677227455400681,0.01226859746698763
22,0.12761319874143306,0.003035755216098201,0.014238954108553184
23,0.12703790933685008,0.0026670841093960826,0.012790886047168161
24,0.12521896569367386,0.0023407723730923813,0.011467395836160051
25,0.12420272914148696,0.002282939033951942,0.011414695169759709
26,0.12425507290773856,0.002508984649548624,0.012793361687353188
27,0.1229620403468565,0.0024726018556685604,0.012848016122721104
28,0.1220873142214614,0.002489074577296724,0.013170944652440697
29,0.12111952212874733,0.0021263986311726097,0.01145100707452972
30,0.12098068588335342,0.0021202473987668932,0.011613073277962785
31,0.11967123005651388,0.0020542119037820668,0.011437367831579006
32,0.11808369786135679,0.001979498097662206,0.011197732225622533
33,0.11893356401557317,0.0018428724142938277,0.010586496033487677
34,0.11952829733348094,0.001659071963801427,0.009673968811012644
35,0.11971520933985655,0.0019208281086675176,0.011363772340497373
36,0.11909690565986472,0.002000893708154061,0.012005362248924366
37,0.11883136795933369,0.0018831003145361746,0.011454452034053434
38,0.11831592651078651,0.0017485650597397176,0.010778878939361799
39,0.11779706012095743,0.001806892475631816,0.011284039893641818
40,0.11671531667255057,0.0018366987154972692,0.011616302632953945
41,0.11605376306569407,0.0015605581535892798,0.009992447737170972
42,0.11571967403902665,0.0013998642709748996,0.009072157353154081
43,0.11513904792307113,0.0013486515751210532,0.008843699794559368
44,0.11525330709875528,0.0010083196854916777,0.006688436131010117
45,0.1145877164718705,0.0008972004878927096,0.006018603841122227
46,0.1169842270768311,0.0008936868974058137,0.006061279439801646
47,0.11655184340972095,0.0009445871663123087,0.0064757633522087655
48,0.1155698875775377,0.0009263117286216037,0.006417675910478285
49,0.11568324841472806,0.0008631448782997592,0.006042014148098315
50,0.11384145607889595,0.0008198231702444322,0.005797025230536914
51,0.11268419331326765,0.0008535039988761059,0.006095237721448828
52,0.11376840387700057,0.0009830391325529278,0.007088795996414444
53,0.11347261788895542,0.0009934249664431249,0.0072322429224607595
54,0.11318409692650735,0.0010029389008380097,0.00737006565072282
55,0.11299361652182575,0.0010284129941962744,0.007626914891667931
56,0.11179143024093001,0.0009886005392073505,0.007398009020187769
57,0.11242883388064169,0.00110503012313599,0.008342794475663575
58,0.11199289478120045,0.000974966692067079,0.007425125112557559
59,0.11161943821497677,0.0009451935301154816,0.00726016926475945
60,0.11107895886441732,0.000963261573140168,0.007461392061626857
61,0.11140382582392858,0.0009541690809724035,0.007452298755424865
62,0.11133503022485007,0.0008619182846493866,0.006786751360084023
63,0.11074538440297121,0.000847496570124937,0.006726795484592388
64,0.10982195358867593,0.0008489240927729647,0.0067913927421837175
65,0.11123688320645633,0.0006933770970730783,0.005590184873370181
66,0.11174603275389297,0.0008574013220636502,0.00696556126863074
67,0.11021822945896483,0.0009467896341528936,0.00774980715629349
68,0.11006814497000679,0.0009283286028979914,0.007655193770060983
69,0.11016824774899545,0.0008800882548111448,0.007310562098888179
70,0.1099526840304064,0.0008361611741464234,0.006995826301481104
71,0.1097726708214741,0.0009083026252566733,0.007653493959782009
72,0.10958611081389535,0.0009281770590727833,0.00787584351134582
73,0.10860382127622599,0.0011270489880020051,0.009629510774645465
74,0.11028646509686069,0.001212723857746053,0.01043224508343428
75,0.1098687371966102,0.0013011179076349584,0.011268011613307288
76,0.11036100068291846,0.0014213879535606747,0.012391372898274132
77,0.11022638929817188,0.0014402649157979621,0.012638273344537432
78,0.11008261598806017,0.0014250026124352894,0.012585282306920938
79,0.10994334565091797,0.0014722447078352075,0.01308559719310331
80,0.11012498777598559,0.0014550986699626515,0.013014798160024082
81,0.11048194804799964,0.0015544418669179488,0.01398997680226154
82,0.11059713186666523,0.0015641293970239895,0.014163794095934873
83,0.1105200146395667,0.0015993900922466036,0.014571137202554155
84,0.1106436259953626,0.0015917244851520837,0.014588395877448073
85,0.11102549673947534,0.0015831872463020983,0.014596265201501299
86,0.10979552749258911,0.001552026596920803,0.014392902554706013
87,0.10895216869473481,0.001594384364706012,0.014871427325931176
88,0.10816671710604693,0.0015602487276747637,0.014636430443060334
89,0.10700551918512609,0.0014402426629961163,0.013587222108288319
90,0.10701425086197043,0.0014552050431619248,0.01380528719686595
91,0.10727579342305002,0.0014760603771856618,0.014080718574556858
92,0.10834474793128424,0.0014670102566189788,0.01407106806743276
93,0.10817346411601367,0.0014165568548042992,0.013660779590823267
94,0.10776550618817012,0.0013903993295944319,0.01348042164768019
95,0.10758154021318012,0.0013769746097746973,0.013421088339497548
96,0.10688170174914242,0.0013834956152550687,0.01355543327501117
97,0.10704783811054194,0.001406990896518303,0.013857253268230384
98,0.10681012839391997,0.0012994292942692012,0.012863693719102827
99,0.10686549247697767,0.0013004518037793636,0.0129393320732311
100,0.10746631257065176,0.0012788496073686292,0.012788496073686291
101,0.10647490832128885,0.0012305983441132805,0.012367360297895794
102,0.10619841132875651,0.001233142905491661,0.012454132863719191
103,0.10566724130788108,0.001244018175966644,0.01262540557288928
104,0.10546801855545303,0.0012181945330567562,0.012423195390816901
105,0.10547986825750795,0.0012269595715858684,0.012572594321863275
106,0.10592065753647036,0.0011550268601181446,0.011891729354681947
107,0.10576327689052349,0.0011974317043664516,0.012386329862737716
108,0.10511612605697729,0.0011439454380395052,0.011888229718626348
109,0.10480843529044274,0.0011579881726962644,0.012089751456642244
110,0.10407594926705085,0.0011655559781511865,0.012224454229225802
111,0.10489240293664066,0.0011510568628432642,0.012127136556761536
112,0.10464183606742779,0.0011595715195999545,0.012271751473018956
113,0.10427797540660363,0.0011716921948277024,0.012455258878661573
114,0.10438139803598034,0.0011537647499234827,0.012318836519368362
115,0.10454271373318665,0.0011198523024585655,0.012009078050458382
116,0.10439862671650091,0.0011170357091579027,0.012030842778539342
117,0.10478203254111587,0.0011336634782196312,0.012262445399525201
118,0.1051361100408315,0.0011477355930597172,0.012467599809345205
119,0.1046689589505814,0.0011468207097915224,0.012510336970217908
120,0.10517142340504841,0.0010828072394492624,0.011861559009525176
121,0.10538232572984547,0.0011029615447151848,0.012132576991867034
122,0.10569378842480788,0.0010556645402274786,0.011660195959855506
123,0.10487377404134286,0.0010003576266604704,0.011094502777943029
124,0.10512730879809569,0.000982740307204882,0.010943332920743938
125,0.10515803072782888,0.0009803949571515437,0.010961148844944226
126,0.10486220637934807,0.0009741700564288023,0.010935031762832446
127,0.10440646185387867,0.0010035334787990092,0.011309247953332088
128,0.10592076565624128,0.0009120731396597382,0.010318929631864095
129,0.10510083020400773,0.0008860034003105336,0.01006306420886182
130,0.10519608524892612,0.0009129990536032344,0.010409790840571784
131,0.10491969661723174,0.0009250650172754065,0.010587853063320439
132,0.10470699568622928,0.0009126364381412999,0.010485394384832052
133,0.10388892066866681,0.0008420546390313065,0.009711047832761464
134,0.10383494468022661,0.0008200970889245172,0.009493310145843262
135,0.1030515083652753,0.0007824357129911073,0.009091081457677454
136,0.10275515771487502,0.0008129809929550509,0.009480906122688936
137,0.10284479860966471,0.000819761939942787,0.009595067505259687
138,0.10288685822562627,0.0008235921164693842,0.009675016715998568
139,0.10305686406062856,0.000820747264302842,0.009676467536690405
140,0.10361637681076893,0.0008885023065527639,0.010512901066068368
141,0.10323160999670852,0.0009187749411520932,0.010909847952238086
142,0.10381836909091098,0.0008826301290200275,0.010517751857733442
143,0.10361808276100748,0.0008560587215547008,0.01023697340375715
144,0.10320661266186548,0.0008829585340397931,0.010595502408477517
145,0.10299863924075223,0.0008616594284673812,0.010375753502598086
