sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.26863363285770686,0.04075311912568299,0.04075311912568299
2,0.24759054274630707,0.017698465632020568,0.025029410129997598
3,0.22909955091584394,0.021982952774195045,0.038075591105293016
4,0.2107263829896187,0.018016048135320328,0.036032096270640655
5,0.19114954941601264,0.017776779784122315,0.03975008801834153
6,0.17906066508690255,0.01602262097008746,0.03924724571873188
7,0.16610850484016543,0.014348708874925337,0.03796311531791784
8,0.14826748856531036,0.009398907981499198,0.026584126277865796
9,0.14523291263736482,0.008970613103394419,0.026911839310183254
10,0.14402523205941806,0.008017080570930252,0.025352234789222695
11,0.13726856002591986,0.005551421683543751,0.018411982777357713
12,0.13134874881540606,0.004909195991768277,0.017005953764112278
13,0.12969913285443857,0.004200595036013478,0.015145460789806097
14,0.13011506832135644,0.004213222382380247,0.015764434649154356
15,0.12943568730353316,0.004559519307849764,0.017658942346013305
16,0.12606080141072104,0.0038068299188532915,0.015227319675413166
17,0.12462308777636961,0.0033394247153770307,0.013768800830297691
18,0.12406979957437869,0.0036972833832215916,0.015686244913465968
19,0.12343775819354745,0.0035450660417934913,0.015452584624355567
20,0.1229500085129066,0.0036022601022485156,0.016109796922526048
21,0.12197319390633683,0.0033534020333856993,0.015367218653608797
22,0.12185201455118055,0.002982949609839445,0.013991273860750084
23,0.12082150007550982,0.003000157917928704,0.014388251917718732
24,0.11890063713399149,0.0029673206325130973,0.014536842905779447
25,0.11579668729359863,0.0023696647776441262,0.011848323888220632
26,0.11558195831220777,0.002121228856578802,0.010816187332491421
27,0.11555388940654891,0.0021435558783855766,0.011138243070680256
28,0.11410777519040356,0.0020999785514089157,0.011112042011195316
29,0.11354657316464833,0.00219738784520051,0.011833295691598909
30,0.11424283056837356,0.002210263983480762,0.012106114417936393
31,0.11368937021954065,0.002187218641792285,0.012177918007488566
32,0.11281456592877163,0.0020228909962567935,0.011443199528435118
33,0.11333755396193315,0.0019888237164910113,0.011424922432303202
34,0.11281779312203193,0.0018119005125966689,0.010565104727196718
35,0.11273052378673883,0.0017436976349409043,0.0103158543259125
36,0.11406620599161259,0.0015805464872505363,0.009483278923503218
37,0.11305851998920333,0.0016593639281203283,0.010093516726098801
38,0.11369798774411385,0.001473063061012248,0.009080570560560244
39,0.11304220013051706,0.0014630530106273505,0.009136763122918555
40,0.11273397926110482,0.0015515725663441014,0.009813006529360145
41,0.11300437437966368,0.0015870958566159275,0.010162371946626694
42,0.11241348252467395,0.0015704647655042723,0.010177774921219095
43,0.11250960198028244,0.0015654887142235693,0.010265596004009638
44,0.1115101778523594,0.0014839343139972242,0.009843306666124456
45,0.1112396346487523,0.0015345482368487643,0.010294062517038854
46,0.11058991295509206,0.001549259560261919,0.01050758956720788
47,0.11002640137380112,0.0015188228614360169,0.010412524937198107
48,0.10967794098201078,0.001497445819639946,0.010374608964792031
49,0.10906021361725185,0.0014882327692171983,0.010417629384520389
50,0.10909984111086676,0.0015036709856950054,0.010632559506583985
51,0.10819450164522304,0.0014759831846475977,0.010540628274893566
52,0.10748528227435457,0.001377517265628487,0.009933418268120917
53,0.10654515744884341,0.0012523202671787818,0.00911702916163467
54,0.10605647324472844,0.0012096942889867253,0.00888940125832912
55,0.10549178906112791,0.0011625708861706728,0.008621856447160408
56,0.1055755443724661,0.0012127550289085306,0.009075427624525696
57,0.10548487565538729,0.0012220721505923982,0.009226442404927869
58,0.10520943509319221,0.0012850153568235146,0.009786385395118636
59,0.10461259504613334,0.0012544676656271619,0.009635748975670733
60,0.10395621007696199,0.0012789167311185894,0.009906446401616652
61,0.10397376649722478,0.0012772668882872675,0.009975773300291932
62,0.10356720910834191,0.001135372355962213,0.008939930870781806
63,0.10360944145229536,0.0010385060747983715,0.008242886426839
64,0.10347773568151372,0.001025130459755742,0.008201043678045935
65,0.10299949119381409,0.0009742766107375362,0.00785486915390475
66,0.10352489294376177,0.0009698857661363927,0.007879389212201826
67,0.10311924883089629,0.0009389012147267296,0.007685237660477847
68,0.10340700387479482,0.0008786899283053925,0.007245862773139085
69,0.10285999052936674,0.0008477117324990162,0.007041622506051952
70,0.10264584189077006,0.0008610115469598053,0.007203739437255362
71,0.102490475991687,0.0008439976380821166,0.00711165050668701
72,0.10273056591275531,0.0008321038000236443,0.007060634875773764
73,0.10315846669285633,0.0008665540384490537,0.007403840950028746
74,0.10291814691091125,0.0007478144500561991,0.006432943138778028
75,0.10311572250377254,0.0008149734665741624,0.007057877254634928
76,0.10236596317615432,0.0008331849690844557,0.007263538163032406
77,0.10272501760900861,0.0007525259108569862,0.006603388068359872
78,0.10276929869346012,0.0007523970986156454,0.006644991251492272
79,0.10287709357442307,0.0007161301366909263,0.00636510388300774
80,0.10312831911348393,0.0007435303127598614,0.0066503372906509175
81,0.10199724959487833,0.0008211874965717849,0.007390687469146064
82,0.10239199126398504,0.0007421192903682134,0.006720175992725406
83,0.10237477770102792,0.0007677999873493305,0.006994990786813909
84,0.10325244887446469,0.0007518950991231248,0.006891232412796087
85,0.10336717668327507,0.0007369417780915095,0.006794267485551141
86,0.10315422303002005,0.0007383410199076436,0.006847092938198685
87,0.10329213149644949,0.0007675819524544092,0.007159527824852272
88,0.10344476013035937,0.0008200088981702562,0.00769236531834643
89,0.10354322263239324,0.0007553013679265739,0.00712549885403584
90,0.10366951091347001,0.0007232598849759495,0.00686144573026619
