sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,5.882559642916047,0.7112335841790509,0.7112335841790509
2,4.5114539034291345,0.7513300219316762,1.0625411068338515
3,4.393305968491714,0.41365272042107837,0.7164675284583918
4,3.604411041866051,0.3884968434338726,0.7769936868677452
5,3.103239442057407,0.22640662113325144,0.5062605954099907
6,2.8703540653906208,0.2309007322813182,0.5655889753242135
7,2.7327019799588097,0.1812793745785057,0.4796201429600505
8,2.456452164740925,0.1929593061328085,0.5457713354382395
9,2.3148675963010272,0.15685830765976136,0.47057492297928405
10,2.0282519029731616,0.13596278633145042,0.42995208183019235
11,1.8969993406985097,0.13691065374153083,0.4540812682629254
12,1.8571389965606098,0.13329812409927522,0.4617582469871321
13,1.7792943628460898,0.1213355007157492,0.43748136936473125
14,1.6540026103891066,0.13308878316171605,0.4979726286137902
15,1.6085798079313924,0.12694365760018142,0.4916506717921592
16,1.4820083090338945,0.09225887001970985,0.3690354800788394
17,1.4570856403228185,0.09081256153759988,0.37442978335242805
18,1.4083007986761802,0.09377663753877236,0.39786057792323326
19,1.3853917879756596,0.08689160430440214,0.37875172220501274
20,1.3537108330466174,0.08507471156176584,0.38046567643659146
21,1.3223410173501737,0.08855413696142593,0.40580603572722107
22,1.2910600895991684,0.08866944269446454,0.41589655142887694
23,1.1819632073164938,0.08827918068677905,0.42337207758987433
24,1.1626089024219681,0.08705319277336872,0.4264718055497867
25,1.1408505953754995,0.08244317083525296,0.41221585417626483
26,1.1049347857736507,0.07934975876356941,0.4046059683343205
27,1.054991672543062,0.07248105417130413,0.3766226052325526
28,1.048853342024159,0.07202769660645858,0.3811347454590007
29,1.0449640815525723,0.07092944702493954,0.38196676190821555
30,1.0059101453487536,0.07113914528902726,0.38964514596437605
31,0.9686630463729978,0.06818350731065666,0.3796297021370344
32,0.9603116029947925,0.06714470720188437,0.3798278222659012
33,0.9512236783567,0.0659107866577232,0.37862864303789373
34,0.8779704963254641,0.05538554480001845,0.3229504473987069
35,0.8693336296918069,0.05449669924286265,0.3224068206363599
36,0.8301347407974337,0.054960538040620115,0.3297632282437207
37,0.8138568696516302,0.05488338761669462,0.3338426137306633
38,0.760177390721904,0.046349704416923994,0.2857187669411593
39,0.7462075594120502,0.046162710385522596,0.28828603395823355
40,0.7243891485824936,0.04587122833130595,0.2901151211931433
41,0.7166947620948366,0.045874894729545375,0.2937426503324324
42,0.7143033560329988,0.04524864597559411,0.2932447415218818
43,0.7093920309947761,0.04507867479644034,0.2956006387346595
44,0.6619950617378615,0.04520273559260158,0.2998410269166056
45,0.6550063088460341,0.044754533226145796,0.3002225357848049
46,0.6169164732536742,0.04315680886988709,0.29270371877424173
47,0.6131586472423836,0.04245259484474876,0.29104032714636346
