sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,6.33325231093634,0.8211895575751915,0.8211895575751915
2,5.000197743665327,0.5457027748826528,0.7717402652636797
3,4.756407666788251,0.45464812463159066,0.7874736514278221
4,3.9735327264620963,0.3438433078744683,0.6876866157489366
5,3.4833193348077507,0.363381084242032,0.8125448061027613
6,3.135506606132533,0.39800456341340323,0.9749080956620281
7,2.929135004497158,0.34125182626125744,0.9028674667339078
8,2.7732351852018384,0.3479621163144227,0.984185488167802
9,2.705855615655629,0.3175162394541271,0.9525487183623813
10,2.409326211055705,0.2738074826826091,0.8658552856741554
11,2.119934004222492,0.2857945176586147,0.9478731822142256
12,1.9310427744797025,0.2630107344359803,0.9110959099582463
13,1.877640306295358,0.25468035138347167,0.9182630657662932
14,1.7865560432404337,0.2099466432928465,0.7855484087050729
15,1.6021049885059473,0.1669048643167617,0.6464197598998266
16,1.5520845908490484,0.16343478357097957,0.6537391342839183
17,1.3503701002597268,0.12696745916766364,0.5235002451645746
18,1.3349099042039896,0.12340373011441898,0.5235576863257213
19,1.3069068793229253,0.1226906521955636,0.5347961542375584
20,1.291638220394672,0.11925023102486446,0.5333032458083027
21,1.2632942547403307,0.11626452677990513,0.5327909946071356
22,1.2247542518664285,0.11015509938939458,0.5166732142009326
23,1.1956428077101764,0.11018626564491703,0.5284347662160024
24,0.9832950363453508,0.03772928769037233,0.18483500640016529
25,0.9696468651881723,0.036824114978815096,0.1841205748940755
26,0.9244934924818395,0.040294516128315236,0.20546252402905857
27,0.8772949943032682,0.043145290306200255,0.2241895047529434
28,0.8520945041467577,0.04471594501268152,0.23661454028558856
29,0.8214589122805698,0.039880737709630534,0.21476434519646426
30,0.8062731166011309,0.040134724280515705,0.2198269382768875
31,0.7999153601661149,0.04040752604163938,0.2249795834847658
32,0.7766278368612016,0.04033104976621394,0.22814687025649602
33,0.7580023986891835,0.041665362147511334,0.23934928304707312
34,0.7452772445848759,0.038396776513451435,0.2238897567670612
35,0.7354021222876084,0.03705540735695955,0.21922274631902916
36,0.7243943971880774,0.03542692226001648,0.21256153356009888
37,0.723582996277138,0.03488631211218437,0.21220515213628402
38,0.7138822776571485,0.03450324386258981,0.212692279614402
39,0.7077752614720705,0.034094529207964505,0.21292026666007408
40,0.6966535488588421,0.03379601248824693,0.21374475058870968
41,0.6674868225855123,0.0362210456968712,0.23192785560679877
42,0.6551834594148838,0.03721932671727524,0.24120880542398468
43,0.6445735287371986,0.035936745341399554,0.23565299833972386
44,0.636802361011134,0.03594039935682826,0.23840163896425975
45,0.620246677712594,0.035173515501625056,0.23595111500782875
46,0.6132762667570261,0.034680924843522934,0.23521747640873958
47,0.6076874197763409,0.034379497210460554,0.23569395821036876
48,0.5981824717371753,0.03342309288089315,0.2315619800632023
49,0.5776220010591196,0.032511347776076206,0.22757943443253342
50,0.505054626218819,0.028785203544760083,0.203542126243349
51,0.49978024626211326,0.028534046977967284,0.20377385426983277
52,0.4895092575316954,0.028777725455112226,0.2075191294392648
53,0.48494844125891357,0.028732352961812653,0.20917468693959068
54,0.4825738021049283,0.028110806549853182,0.20657139691568266
55,0.4596226106586457,0.028236733752733487,0.20940922213754512
56,0.4553192630082149,0.028097220901419737,0.21026034826723267
57,0.4511993388336658,0.027823638918129827,0.21006386721863596
58,0.44957119331351886,0.02768202596795143,0.21082002888255083
59,0.4431661920492321,0.02768516725195804,0.21265380471640874
60,0.43737217189020516,0.027349308963379747,0.21184683629090198
61,0.4336775316595852,0.026985733007693188,0.2107653124774392
62,0.42484935087151304,0.025848479744949478,0.203531133042967
63,0.42097790195522455,0.025485991169891243,0.20228878365456102
64,0.41494206128055156,0.025214363714056116,0.20171490971244893
65,0.41136465851409065,0.02513824914348038,0.20267104393568405
66,0.3979431936889356,0.023999451862745647,0.19497246862315767
67,0.3957949606177424,0.023877448651231818,0.19544534050260245
68,0.39354284156874775,0.023693068305800567,0.19537804643957962
69,0.36731289515399873,0.02159918788878741,0.17941632953665257
70,0.3634491450412072,0.021513614177652827,0.1799958100871888
71,0.36049850875299044,0.021541414299649415,0.1815111832148889
72,0.35520851715517787,0.02130900474231826,0.18081290104355446
73,0.35020629444283896,0.020792483687722813,0.17765105850235738
74,0.34590863625903034,0.020532543925530465,0.17662762140725333
75,0.3447894802822386,0.020379922613735835,0.1764953071065619
76,0.3421076019235398,0.020339845811201948,0.17731866483645675
77,0.338792082528297,0.02033342979078929,0.17842512228771407
78,0.32683763490313983,0.019575298253453416,0.17288435306154576
79,0.32363616621207286,0.018808044102200883,0.16716955258980726
80,0.32037493222892793,0.018753855857799845,0.16773958615309234
81,0.31727848960178184,0.018734334332529152,0.16860900899276238
82,0.3136320656526967,0.018834429312521436,0.17055301128190634
83,0.308203064383734,0.018711805499411618,0.17047266114825657
84,0.3035122645078353,0.018703336417729425,0.17141890976493857
85,0.3019090700853541,0.018549817023765208,0.17102086272525177
86,0.2974142053153265,0.018359863805948763,0.1702623725656286
87,0.29591838843781193,0.018145239896017552,0.1692475305193856
88,0.2897566583999446,0.01672648197699327,0.15690830934258357
89,0.2680949638283048,0.01065569832839187,0.10052565697893598
90,0.26670379015497164,0.010313144728297112,0.09783908154113174
91,0.265673285818815,0.010226567448832508,0.09755523585375814
92,0.26166737383799243,0.01032355955079924,0.09902010465303819
93,0.2608712630250645,0.010097041564974993,0.0973723425718486
94,0.2536715567983938,0.009994178812329415,0.09689715863989272
95,0.2220956592327933,0.005506949033747025,0.05367509969927669
96,0.22105534968971977,0.0054548392280285105,0.05344629095034858
97,0.2203781284354375,0.0054454999158103125,0.05363195433050842
98,0.21915276801128075,0.005428916461957184,0.05374353102643286
