sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.05258504824992975,0.008428267172113892,0.008428267172113892
2,0.04881865718459662,0.0047268573114446644,0.00668478571724747
3,0.044065912598057325,0.0015169981056370218,0.0026275177939490604
4,0.043247181517259446,0.002263153829279414,0.004526307658558828
5,0.03915276506756452,0.0020426476561313813,0.004567499013190384
6,0.037220539732399485,0.001744129294308649,0.004272226816496698
7,0.035793570751553136,0.0018119641567547363,0.004794006543335889
8,0.03403848521451444,0.0015887255435158443,0.004493594421057348
9,0.03289296564975765,0.0012767644117666077,0.003830293235299823
10,0.031796349893422414,0.0011700065851580864,0.0036998856864953094
11,0.031492787195541,0.0012026175484631015,0.003988631174549159
12,0.02979591921296292,0.0008931417689754239,0.003093933844454757
13,0.028495282270795542,0.0007972878422431873,0.002874662196511856
14,0.027522785915812066,0.0008223336971283408,0.0030768909522533813
15,0.02649456524350487,0.0006046070713676701,0.0023416331184062254
16,0.026426449298612466,0.0006607164143503333,0.0026428656574013333
17,0.024481249951812792,0.00040587318489300944,0.0016734580119197242
18,0.023998137486305166,0.0004217485199137327,0.00178932743031834
19,0.02357798932728828,0.0004272996216886551,0.0018625558695540083
20,0.022575175806121797,0.00043705302631762545,0.0019545605532364303
21,0.02212140902287148,0.0005027459387516606,0.002303871319661117
22,0.021824174657683642,0.00046668618328285115,0.0021889522289617307
23,0.021107093624415485,0.0004534216294007775,0.002174533743632066
24,0.020777839643424813,0.00043436890396214627,0.002127964349678497
25,0.020607186913561004,0.00036249456418421393,0.0018124728209210697
26,0.01990114273554112,0.0004050844420089435,0.0020655334744564477
27,0.019437173566261505,0.00036489345618855176,0.0018960420164039395
28,0.018828169833184506,0.0004582990542594029,0.0024250906473329546
29,0.018633534675545838,0.0003606207753859705,0.0019420023083300852
30,0.018164877280657875,0.0004178636158315652,0.002288733283516211
31,0.01818074988234502,0.0004671677885219341,0.0026010801643945366
32,0.017690088898653148,0.0003616198932957408,0.0020456310300909926
