sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.07311444134539927,0.016133311795456844,0.016133311795456844
2,0.053877100750831054,0.007727082346930953,0.01092774465260348
3,0.04875646229055094,0.004215401863184465,0.0073012902013560015
4,0.04285313101763272,0.00337313111576069,0.00674626223152138
5,0.03830747736045538,0.0019500079901058056,0.004360350422544319
6,0.03586656766226941,0.0015201117680665047,0.003723498183762904
7,0.03383394337221754,0.00122791308283602,0.003248752648786763
8,0.03300682941248012,0.001113531000452246,0.0031495412859248945
9,0.03107288846435823,0.000714414418529439,0.002143243255588317
10,0.031546539504500745,0.0011255253109954887,0.0035592235469151016
11,0.03018751310137014,0.0011711994701034487,0.0038844291969962062
12,0.0291796700564902,0.0012419701120051664,0.004302310670949915
13,0.028791154089711318,0.0011179000295145685,0.004030645877257484
14,0.027972267073647795,0.0009081025034642613,0.003397808440034962
15,0.027349407033029037,0.0006924857417171151,0.0026819857451564773
16,0.026377427845250056,0.0006782282290451839,0.0027129129161807355
17,0.025825529391342944,0.0006674505889438965,0.0027519692780964
18,0.02557006202575799,0.0005869388877551183,0.0024901708060424037
19,0.02504566453797315,0.0005176996717892362,0.002256600552433455
20,0.024314914355384402,0.0004967917865632155,0.0022217204108378333
21,0.023674217362804163,0.0004500102367980648,0.002062205973632134
22,0.023220865085352586,0.0004241751019980327,0.0019895575833362832
23,0.022705700057307786,0.000427757293590334,0.0020514519129274573
24,0.022286558063012253,0.0004106376037167309,0.0020117051966103915
25,0.021832517809939337,0.00043302675311095276,0.0021651337655547638
26,0.0207479840547585,0.0002949187384563306,0.0015037964023129967
27,0.020280959527248503,0.00023768889316580274,0.0012350677180739437
28,0.019492123347595848,0.00025151326921137674,0.0013308831235322829
29,0.01897626325537904,0.0002859661829607856,0.0015399750245110092
30,0.01791469703055095,0.00029048320217503715,0.001591042024076016
31,0.017747165402439403,0.0003338847421013985,0.0018589915683648592
32,0.01733705148926324,0.00030940032783758026,0.0017502325593223517
33,0.016960270199992755,0.00030547044424713947,0.0017547941036434949
34,0.015965542230265306,0.00027306103572240155,0.0015922057636539577
35,0.015650105774989875,0.00026840336834046464,0.0015878957411548623
36,0.015418410908238983,0.00027474358131639973,0.0016484614878983985
37,0.015193912574615501,0.00022536731280620143,0.0013708558458915602
38,0.014897929901018903,0.0002114497937490388,0.0013034640695114767
39,0.014645105938320985,0.000227140465746211,0.0014184917539403676
40,0.014397475695532538,0.00025312673413540736,0.001600914033095559
41,0.014194682532169484,0.0002662076135747273,0.001704560422669494
42,0.014086878126611222,0.00024678034249172085,0.001599319409153126
43,0.013774264178179252,0.00022954366983471135,0.0015052185035837951
44,0.01363511145429507,0.00019827696210387375,0.0013152205757401318
45,0.013591738935580721,0.00018955768954624538,0.001271591638449618
46,0.013018120231654728,0.00017874573114611193,0.001212312531707923
47,0.012966430816369964,0.00019292930629700718,0.0013226566862672593
48,0.012842951540891615,0.00016249455351837304,0.0011257952905881687
49,0.012381977931458243,0.00016189064683997607,0.0011332345278798324
50,0.012265529765922965,0.00016813462067552949,0.001188891304318948
51,0.011900536251233194,0.0001095236355681488,0.0007821552046437447
52,0.011725690163176457,9.881239154141882e-05,0.0007125462887076194
53,0.011639170566696984,0.00011489027579864822,0.0008364138330239051
54,0.011630191908428091,0.00012727131982839327,0.0009352493774103798
55,0.011599095840965695,0.0001295324604001978,0.0009606384368497258
56,0.01126708584870001,0.0001390031379895683,0.0010402042360868513
57,0.011211804856409602,0.00016330356127970195,0.001232914850351841
58,0.010980522468199182,0.00010712263081119584,0.0008158216507612937
59,0.01087341157206187,8.841627810655593e-05,0.0006791383186205404
60,0.011035470842937874,0.00011176261429891388,0.0008657094878165928
61,0.010809734861128888,0.00011076497267720943,0.0008651020919539843
62,0.01063153493574344,6.1028709024397204e-05,0.00048054053539887926
63,0.010501391599873273,5.786632806373253e-05,0.0004592997400233422
64,0.010420173664629415,7.297070177257583e-05,0.0005837656141806066
65,0.01029700730000573,6.885267975663931e-05,0.0005551080508590839
66,0.010291544869571975,9.486219699904631e-05,0.0007706641315683944
67,0.010069591116772737,8.840405838785942e-05,0.000723618404369839
68,0.010060114427019552,8.118619745522992e-05,0.0006694785349003294
69,0.010053933655820576,7.939000684195538e-05,0.0006594629253106159
70,0.009707337267812194,7.043771016637593e-05,0.0005893241645679961
71,0.00946834603251313,7.556170475954634e-05,0.0006366942414204704
72,0.009505671646559655,6.960127650536593e-05,0.0005905864151542101
73,0.0094937559768167,5.624416016232688e-05,0.0004805503150791599
74,0.0094862381244065,7.609606769601124e-05,0.0006546031258639838
75,0.009413729539476015,7.373158982932952e-05,0.0006385342985361372
76,0.009311036399412175,8.183768845501996e-05,0.0007134444274967946
77,0.009381617936226865,7.945863785226832e-05,0.0006972467174243422
78,0.009228198142506704,7.412628743585106e-05,0.000654665644542119
79,0.00914414865745038,6.241730232176554e-05,0.0005547771180402158
80,0.009073021973312603,7.115604134005984e-05,0.0006364389817846361
81,0.009047294047752062,7.0768018911426e-05,0.0006369121702028339
82,0.00895805997445311,6.68926476872312e-05,0.0006057386877176157
83,0.009012745155791372,7.27251956097498e-05,0.0006625580641329022
84,0.008836941502902505,6.5829518368401e-05,0.0006033375017713669
85,0.008815554337484014,7.649901407537503e-05,0.0007052860612069944
86,0.00874714021056202,6.97946700963284e-05,0.000647249143492332
87,0.00860382352919169,6.415754317628614e-05,0.0005984217243201326
88,0.008619913953050397,5.9795235898373304e-05,0.0005609290336401797
89,0.008539915603209975,6.549011839636174e-05,0.0006178325412874297
90,0.008584876865753304,7.383382896377686e-05,0.0007004492036905339
91,0.008587792774381754,7.550762914464183e-05,0.0007202968744712652
92,0.008549487195593529,6.919089329638407e-05,0.0006636557343939308
93,0.008288825749527093,6.971698433570983e-05,0.0006723262490432021
94,0.008262435236553909,7.32118229915283e-05,0.0007098149592815228
95,0.008147354995902292,6.226956203775837e-05,0.0006069286151233542
96,0.008081106688629904,5.7965675455425314e-05,0.0005679453098462517
97,0.008104590901410982,5.913458215034459e-05,0.000582408090767374
98,0.008017350410324916,5.4072374427472656e-05,0.0005352891968553356
