sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,2.6895119704165515,0.32738726821500674,0.32738726821500674
2,2.6894103261911324,0.2315042706975769,0.3273964793678056
3,2.6811736211133206,0.1870703827600355,0.3240154075317384
4,2.681220858772194,0.1619970417991196,0.3239940835982392
5,2.678273239376863,0.14386582264551676,0.32169375907430414
6,2.675574652991166,0.1328208684316734,0.325343354850938
7,2.672811499309635,0.12404680814811321,0.3281970052912483
8,2.6677090905820036,0.11835070700244085,0.3347463499185926
9,2.6624773886528814,0.11057350921905933,0.33172052765717797
10,2.6599521707407217,0.10580961767223986,0.3345993901958815
11,2.6575691484221275,0.10176199627133048,0.33750635954954844
12,2.657543820048591,0.09743401896926784,0.33752134248080334
13,2.6526822859411148,0.09286949757452775,0.3348457354315384
14,2.6526204766695405,0.08949529739004779,0.33486074056100296
15,2.650349644503465,0.08623591622608771,0.3339902673885757
16,2.6457497256686,0.08373972840240837,0.3349589136096335
17,2.645754983697926,0.0812409336120384,0.33496495040622637
18,2.6458228458994086,0.07895486090628247,0.33497710532683783
19,2.6414001403552496,0.07585457501328534,0.3306424268881363
20,2.641372096956616,0.07393501395483863,0.33064743424082954
21,2.6391444074259156,0.07142254467065795,0.3272992172796549
22,2.63923489954034,0.06979005470113968,0.3273443724491648
23,2.635083350342607,0.06819927284887259,0.3270722225956284
24,2.633171228196381,0.06633379008686704,0.32496787683542655
25,2.630990471134802,0.06496953368903559,0.32484766844517793
26,2.6250788710833546,0.06392104855511073,0.32593467391182146
27,2.62341780227693,0.06273675613218405,0.32598974736900327
28,2.6215181856871603,0.061610893929076045,0.32601420677742876
29,2.621451902869997,0.060541098238258664,0.32602379161794326
30,2.618107495864119,0.058735705855951566,0.3217087102829295
31,2.6133240213225615,0.05782847158767747,0.32197530326279905
32,2.6117332363025296,0.05730875677873838,0.3241872843169315
33,2.610056137407107,0.05644316612542563,0.32424130377646065
34,2.610070281376971,0.05561168454914616,0.32426905739738293
35,2.608681642210951,0.05469498213578962,0.3235798780505396
36,2.607280338564153,0.05385311496542023,0.3231186897925214
37,2.605842796511857,0.052937356159854544,0.32200536650221484
38,2.6045988893768763,0.05246508305877183,0.32341649267442346
39,2.600797937502062,0.05177599904534517,0.32334101040325797
40,2.6008564655081385,0.051131097680625744,0.3233814558706601
41,2.599783913206506,0.05038683425629576,0.32263315967399914
42,2.5987768760099095,0.04996185768417264,0.32378984446187914
43,2.5984770532236157,0.04943275058468965,0.3241522230462561
44,2.5819955509997046,0.049493991138421164,0.32830599596663623
45,2.577192831989726,0.04917340870813368,0.32986525367030106
46,2.5625618225278606,0.04750400613049402,0.32218784509741616
47,2.5406870692738344,0.044450567552227045,0.3047377379298627
48,2.4954885734875445,0.046470770709034256,0.3219589437397236
49,2.4787147106701335,0.04702950325255201,0.32920652276786405
50,2.4784153778622677,0.04648260944731412,0.3286816834744169
51,2.476501731162268,0.04637932074324058,0.3312145996522854
52,2.4600793116370694,0.04897610447770066,0.3531717119336624
53,2.457473399203038,0.04876389937711802,0.35500654609523696
54,2.4384431393870414,0.05152595861056507,0.3786369213109491
55,2.4241030585242,0.05019627869223816,0.3722655660952089
56,2.413891582728453,0.047368928235877905,0.35447660047467455
57,2.3830180988274305,0.04734941005058757,0.357480206489681
58,2.3816488225595456,0.04698118307135292,0.3577980305164783
59,2.390979568210173,0.046104929979872825,0.35413868687068006
60,2.3597321058068874,0.04408202363333926,0.34145788679808947
61,2.3440294312018732,0.04556571529978567,0.35587961315260586
62,2.328218078719149,0.04499798605863986,0.354314496540404
63,2.3273096834699607,0.04462475172610484,0.3541979861558212
64,2.3274864987124757,0.044277240828675464,0.3542179266294037
65,2.308062548080072,0.046752797550922084,0.376933104309555
66,2.2898383839411927,0.043001558019478886,0.34934630880942796
67,2.2565171490328106,0.043207411580090456,0.35366790614252724
68,2.257008266397353,0.042887808326147206,0.353661927559899
69,2.2552876277528457,0.04244108929480006,0.35254216510442304
70,2.261243015035127,0.04268745242848824,0.3571488508149106
71,2.262096201382736,0.04249221182074496,0.3580457409951319
72,2.225403744097547,0.04427504402770773,0.37568620643190104
73,2.2870943242253783,0.05728600630624039,0.48945185243480155
74,2.301324975986611,0.05656513450617578,0.48659168579614065
75,2.3086835059012425,0.05625133781541382,0.4871508754500862
76,2.2910217448284875,0.05591198515995123,0.4874293860899465
77,2.2928322250387394,0.055716563499848645,0.48891086049904364
78,2.339625770971651,0.05803976240835991,0.5125933023291191
79,2.3265907189052606,0.05710761607209276,0.5075835943581769
80,2.4251211997605693,0.05141325620379521,0.45985414326519547
81,2.4827895834561255,0.06749733314199578,0.6074759982779621
82,2.5050874126648637,0.0666177295242969,0.6032491978707764
83,2.5173384908961607,0.06788449448009672,0.6184571780147089
84,2.4796913168191903,0.06537662836177684,0.5991866962976783
85,2.4795652450136494,0.06501656559399152,0.599423116954304
86,2.4581677271890188,0.06142440707587158,0.5696265175336599
87,2.4419418628918623,0.06315043710327374,0.5890280642304783
88,2.441551510474921,0.06280348002152676,0.5891488649294501
89,2.39009693654938,0.06271964579542444,0.5916959550433074
90,2.390241591185903,0.06237197478010448,0.5917125074031299
91,2.3746644415041684,0.06454417854691268,0.6157122213915462
92,2.3749021798981538,0.06419237285661285,0.6157116106039753
93,2.3409923302337403,0.06405970773644522,0.6177694492615562
94,2.3208719556873296,0.06122292883540001,0.593578317854804
95,2.319619085473549,0.06089079359304213,0.5934900426435928
96,2.304162953255956,0.06320134143378184,0.6192441502887444
97,2.252187902984383,0.06204008883774468,0.6110240129737451
98,2.1934125815764456,0.056090801020883645,0.5552706006967301
99,2.173216955375311,0.05315615770881236,0.528897091251265
100,2.137436350171606,0.05461259600660843,0.5461259600660843
101,2.107089323839068,0.05593817244827815,0.5621716755780068
102,2.0876390448837547,0.054422280957416164,0.549638095286353
103,2.087450893189819,0.054147777396980845,0.54953992129271
104,2.0878521988023597,0.053904485684967564,0.549720048755665
105,2.072496644254249,0.05287891962919964,0.5418476859975433
106,2.071755337510161,0.05265683260357884,0.5421352728823133
107,2.042464270237356,0.05144238326893463,0.5321241501881985
108,2.027078449130946,0.05156961116021339,0.5359271199363635
109,2.013118713283802,0.05194916649042977,0.5423652210425118
110,2.0133285212595746,0.05171728541751191,0.5424154654922764
111,1.9841751075702774,0.05179062315117471,0.5456480731652558
112,1.9361603169733173,0.04928362071720662,0.5215688165062378
113,1.8985265551317614,0.04739859089933589,0.5038539325780981
114,1.9089642716428075,0.04566402541950118,0.487558372706761
115,1.9085596274573806,0.04546689108097694,0.4875780873106208
116,1.8949118751386511,0.04477523464703363,0.4822440357047901
117,1.8912826944357763,0.0415152984631161,0.44905661197486935
118,1.8646246495230012,0.03975790066743718,0.43188134774131265
119,1.851217651905624,0.04023126767642816,0.43887131708900406
120,1.8509844701731837,0.04006460075530563,0.43888571182238817
121,1.8574449845917276,0.03887100013479151,0.4275810014827066
122,1.8401738408447603,0.03716755207071244,0.4105290307461249
123,1.809056189406841,0.03540110181099673,0.3926172120019758
124,1.7823947070044945,0.03345647302975532,0.3725555164821108
125,1.7219964571721333,0.028777412983383686,0.32174125823715477
126,1.7096547436951233,0.02934339135786562,0.3293787510814696
127,1.6755224796451291,0.026280964379389166,0.2961714271604567
128,1.6636148538077635,0.025157978593232915,0.2846300362275359
129,1.6640466560899903,0.025077142020320436,0.28482158221603293
130,1.6358386840571228,0.024516520591153924,0.27953134286970693
131,1.6356801279978506,0.0243624787598798,0.27884131444901217
132,1.6238047529938906,0.023766884026485604,0.2730607084063011
