sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,4.5414579601111384,0.375635594773218,0.375635594773218
2,4.539886884735428,0.2731684846959289,0.38631857586988994
3,4.533924033577356,0.22211318348461598,0.3847113188262233
4,4.533181913128187,0.1923191586371336,0.3846383172742672
5,4.532826139855258,0.17197794700883481,0.3845543801426113
6,4.528566995973288,0.15605724685410954,0.3822606254561237
7,4.524533595110004,0.1460446889143609,0.38639792716919064
8,4.52282508438835,0.136638057556836,0.38647078826638614
9,4.522590817383333,0.12896094567490454,0.38688283702471365
10,4.51882988464053,0.121685430911343,0.38480311973890274
11,4.518627670189422,0.11606792744576234,0.3849537655317873
12,4.5175995967975435,0.11115083318443537,0.3850377807581097
13,4.5140719377045775,0.10659827220522057,0.3843455363117905
14,4.5079511275929836,0.10186191368073909,0.381132381754467
15,4.508094989373972,0.09845029502015756,0.38129635304227727
16,4.5058154608307355,0.09519754200473082,0.3807901680189233
17,4.501522437981945,0.09451079155753318,0.38967797635244317
18,4.501588498322429,0.09184214794440765,0.38965323366137267
19,4.501261147560119,0.0894766499189417,0.39001967480323374
20,4.4996327297326895,0.08714211912985961,0.3897114041555019
21,4.498524931851147,0.08495656273040154,0.38931987949532926
22,4.496178356381878,0.08284855907774906,0.38859418717693667
23,4.495852548575575,0.08102688334347116,0.3885912813744013
24,4.495493502405533,0.07922111939017187,0.38810263871605505
25,4.493235228159,0.07813434444957286,0.3906717222478643
26,4.493097303059532,0.07660307825646114,0.3906005908309705
27,4.490515205990277,0.07496370140277621,0.38952281865909216
28,4.4883520145885685,0.0735186185014337,0.38902396257565136
29,4.502940589972333,0.07506878411654268,0.40425777433878324
30,4.504790081810704,0.07404049528265137,0.40553649435163
31,4.621461036532068,0.11321805151728662,0.6303714324670019
32,4.624712962552069,0.11238772515503245,0.6357609806340271
33,4.658198420355299,0.10015776544831397,0.5753625581551016
34,4.661439288114947,0.09806831743450448,0.5718316413690143
35,4.6493783271675015,0.10016869301319507,0.5926059796348752
36,4.649420207020951,0.09861672817091292,0.5917003690254775
37,4.648401236512602,0.09721762712649554,0.5913517395695508
38,4.6477046170692216,0.09596357087699978,0.5915591800890833
39,4.6420602877966415,0.09630957155923343,0.6014530816140201
40,4.661027785205389,0.09512123942288697,0.6015995408690464
41,4.6829006743036965,0.09393345135539381,0.6014675590794416
42,4.774480598614991,0.10336016820133001,0.6698504486566413
43,4.899313162670387,0.11135528820249149,0.7302054567437698
44,4.921562991335025,0.1089793942137991,0.7228875209747998
45,5.018187518507114,0.1100979890017859,0.7385597627820525
46,5.135565354397635,0.10756776697490401,0.7295600911717235
47,5.262021629461443,0.11497742295730203,0.7882454986394842
48,5.357702608622684,0.11194006175864693,0.7755434974734976
49,5.3547475277503604,0.11050731616729072,0.773551213171035
50,5.4503431190668366,0.10255405610646992,0.7251666851107055
51,5.433265850559772,0.10043119027826815,0.7172221573656204
52,5.514746388407214,0.09536076415730965,0.6876562496732169
53,5.509999933222414,0.09450627763242046,0.6880160863908744
54,5.503544590087656,0.09280181011444205,0.681951245961114
55,5.397965481032063,0.08708803500318094,0.6458621534347246
56,5.366859001731099,0.08677423793436775,0.6493589366976134
57,5.367238512913652,0.08599894155000344,0.6492777703110525
58,5.1327455126837975,0.10112803668397181,0.7701681820266113
59,5.127354043433092,0.09993474394117556,0.7676133334880988
60,5.1207904393476085,0.09863893495170503,0.7640539047111806
61,5.10225240010014,0.10233827564952706,0.7992874842245645
62,5.102265371629524,0.10148131203035392,0.7990646499920563
63,5.102173558634899,0.1006480855858778,0.798869413184932
64,5.097128484604591,0.1011155729171024,0.8089245833368192
65,5.0676620501323715,0.09986641199423346,0.8051487538952838
66,5.054723631952909,0.098367489088291,0.799141259120885
67,5.04349285694831,0.09854442184148123,0.8066208564727364
68,5.036882059434828,0.0973696794060663,0.8029309458474801
69,5.000915137691391,0.10107677643011839,0.8396067630812567
70,5.000693491082593,0.10037798348862384,0.8398224632902902
71,4.88584844884107,0.1000546447765066,0.8430754223888022
72,4.621074989411328,0.09790386835788834,0.8307418706430947
73,4.597371839915969,0.10000080017522223,0.8544072112318486
74,4.591593266204656,0.09856060035968268,0.847850342808989
75,4.592190163670957,0.09785124259542087,0.8474166187950843
76,4.540736184708703,0.09718983006267183,0.8472812951661558
77,4.534268123572907,0.09585815612694576,0.841151906255023
78,4.534786025723953,0.09517615997439502,0.8405730850692208
79,4.4250645694917585,0.08867018316139791,0.7881178269574876
80,4.40228240687272,0.09072307386705963,0.8114518411779202
81,4.296194849863791,0.08021639912093353,0.7219475920884018
82,4.255345086906831,0.08286291158150788,0.7503555780379814
83,4.255632640876258,0.08235953326146418,0.7503310573878951
84,4.215039576177078,0.08172000379327421,0.7489762063495149
85,4.19586335952288,0.08108357206700803,0.7475535974278923
86,4.076324214465783,0.06412090644115762,0.5946328239206689
87,4.076348680711289,0.06369219076513628,0.5940812059880691
88,4.041084268615949,0.06335549476506457,0.5943272222349393
89,3.9880008787131453,0.06422234074515015,0.6058723508462566
90,3.970008128741162,0.06414512209249898,0.6085340598056481
91,3.9299531019582696,0.06474467794671114,0.6176248637648296
92,3.9101519671370495,0.06468204857641408,0.6204084151104224
93,3.8897628080523945,0.060207100517038654,0.5806162507183191
94,3.870881215097959,0.05869692789409272,0.5690878300888239
95,3.851038964470262,0.058000148673009795,0.5653155210841709
96,3.8170415957713617,0.05888197045589454,0.5769231306663032
97,3.7974121301810846,0.054549660118873175,0.5372518456470898
98,3.7779053123745663,0.054794669198500505,0.5424395502838669
99,3.7266555977764333,0.05355607183644468,0.5328761865804212
100,3.711059074262503,0.055121064411929654,0.5512106441192965
101,3.638439769141879,0.05427886225425405,0.5454958145112067
102,3.6170309093097934,0.050883759546676996,0.5139007808240929
103,3.6176554159090486,0.0505932927522499,0.5134658420635503
104,3.546429291495696,0.049800866852249465,0.5078711837469122
105,3.525828624260214,0.0519274696552976,0.5320982249586955
106,3.5258349835523033,0.05175226898658574,0.532822220442759
107,3.487425536631509,0.04768398218363474,0.4932469470631764
108,3.487703701818377,0.04747931834807836,0.4934195501256536
109,3.470784781198374,0.046567762739501375,0.48618171643461844
110,3.4058434495712033,0.04886796996976116,0.5125315929639875
111,3.405495540098007,0.04861827069444462,0.5122252660991358
112,3.4059398632114237,0.04844414039751979,0.5126845918805404
113,3.386991889595028,0.04702065228034148,0.49983638994992396
114,3.370439129813183,0.0450834655030351,0.48135968904865994
115,3.29762530804467,0.03861059200272635,0.41405247095279424
116,3.261936451674488,0.038432876086335645,0.41393474347419196
117,3.225618311165077,0.036416701355451976,0.3939068520610232
118,3.2242508861507178,0.03627791595761931,0.39407903772582803
119,3.2082058027152853,0.03607947888802353,0.39358064843552576
120,3.189633599241037,0.035715109340312266,0.39123942058904965
121,3.189698694518305,0.035589980498827334,0.39148978548710067
122,3.1704184494377237,0.0374431065007745,0.41357262890604557
