sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.18906347013475538,0.05042577078912861,0.05042577078912861
2,0.18779572664106778,0.03461688785073221,0.048955672285653916
3,0.19043034185196997,0.020048535777593142,0.03472508258415373
4,0.18485442407203453,0.02017817087881938,0.04035634175763876
5,0.17952443055674314,0.016422985862067824,0.036722912781101645
6,0.19048025808773536,0.013680248933610492,0.03350962944159941
7,0.17785546181603157,0.013788923900041848,0.03648206348670559
8,0.1795055478766429,0.011352352785804175,0.03210930254905651
9,0.17383207363733091,0.011101645661751034,0.0333049369852531
10,0.1736373534245711,0.011268463142169127,0.03563400925891221
11,0.1690726100088339,0.0096169241872572,0.03189572916642568
12,0.16346289877191805,0.008102869381827903,0.028069162912840298
13,0.16556209157491644,0.008168492747019342,0.029451919442633933
14,0.15869107923621126,0.00652244031120043,0.024404736970195212
15,0.15920825358568197,0.005945793073146468,0.023027957552291686
16,0.15392020600755055,0.005684626075835178,0.022738504303340713
17,0.15105808520860525,0.005088582260956056,0.020980762146566148
18,0.14621768146316774,0.004590715870436243,0.019476757934917027
19,0.14131537740928202,0.004588120181830458,0.019999152213418428
20,0.14681239403663687,0.003985002115628468,0.017821471242051464
21,0.14356996534594674,0.0031304115706594486,0.014345347978912525
22,0.14366831378867448,0.003973840573907375,0.018638964454880936
23,0.14803383398612874,0.0035106673385842738,0.016836569090246827
24,0.1444402436140863,0.0028000917141497387,0.013717591865323902
25,0.14883082090997843,0.0028108686841666767,0.014054343420833382
26,0.1442264455450127,0.0024477030779817646,0.012480885758110138
27,0.142715225077979,0.0025934431614761375,0.01347592596665618
28,0.1417638669941656,0.002166443808581822,0.01146374309380624
29,0.13920404156580185,0.0021201666176597646,0.01141744665468276
30,0.1383679830689419,0.00196785721365616,0.01077839785868742
31,0.13725631870752256,0.0018733798121097762,0.010430537355910013
32,0.14000811121278112,0.0018783648921526688,0.010625636422271122
33,0.13614824433178505,0.0014612403931198528,0.008394186979928851
34,0.13549064349725023,0.0017848268435754796,0.0104072394655172
35,0.1368006636743208,0.0014450864777500751,0.008549246895847852
36,0.13701562349571222,0.0017456581060605583,0.01047394863636335
37,0.13568316774727307,0.0016043423381652247,0.009758833460362463
38,0.13577098442114097,0.001753703114632831,0.01081055203689293
39,0.13583728426843472,0.0015901213463298688,0.009930304625040597
40,0.13492303715244822,0.0016436257491377598,0.01039520197635171
41,0.13271669869057545,0.001277654212981227,0.008180978658198286
42,0.13238946348278113,0.001250355211768079,0.00810322790837177
43,0.1363964345417275,0.0017761761308906039,0.011647165786647718
44,0.13342941726781538,0.0013544444825286995,0.008984368295829551
45,0.13138082325258,0.001002160549676488,0.006722697340335546
46,0.1339592791678272,0.0017211067133447967,0.0116731136660766
47,0.13304189124980384,0.0017299536189515413,0.011859964486245569
48,0.1324819829231441,0.0017260440618815478,0.0119583840451256
49,0.13185974329150663,0.0013195981398021522,0.009237186978615065
50,0.13299309867488285,0.0010885314379295216,0.007697079612947083
51,0.13325298192206875,0.0015796148242758503,0.011280706212231276
52,0.13395007614849358,0.0015155237582954837,0.01092859723943652
53,0.13282772863991738,0.001304591480376364,0.009497569337759078
54,0.13223410955126716,0.001357481374519596,0.00997541010871488
55,0.13295585787262504,0.0010443370826779383,0.007745011092574024
56,0.12970161388578233,0.0010515770369093217,0.007869281975827234
57,0.12901468969400265,0.0010046919333795636,0.007585257755467775
58,0.1272618406013875,0.0008375063158780512,0.006378258076455225
59,0.13042607162939912,0.0008459784151822874,0.00649808350656605
60,0.13051103448221812,0.0007840489370485054,0.006073216951600978
61,0.12957371204515106,0.0006078242466202135,0.004747259125173728
62,0.12687801026580814,0.0006086771354326451,0.0047927285571276014
63,0.12655136516082974,0.0005436241148877813,0.004314882644072025
64,0.12582908002473162,0.0005863623055588096,0.004690898444470477
65,0.12882365675007273,0.0008470632808209991,0.00682924249909829
66,0.1275233794376466,0.001213938549777024,0.009862083399256625
67,0.12886012137595593,0.0011974847826609321,0.00980183538502874
68,0.12757740663548328,0.0010733239453664008,0.0088508559945007
69,0.12832816379784479,0.0011537737706019,0.009583964735290707
70,0.1284885534553921,0.0009826010719892093,0.00822103038962903
71,0.1290462008661065,0.0015315227591289461,0.012904840149448801
72,0.128303806898323,0.0010947827898363397,0.009289540015435232
73,0.12645635668600202,0.0007845400169735763,0.006703112843373715
74,0.1246140422540544,0.0006877773803541108,0.005916484737120554
75,0.12578803864833987,0.0009571990239813316,0.008289586712455034
76,0.12506672175997996,0.0007961159059479872,0.006940377562745216
77,0.12457276900247047,0.0008462367984434328,0.007425697769641849
78,0.12551645741191247,0.0007080383892154421,0.0062532257377307466
79,0.12528644970772732,0.0007432420891308083,0.0066060801873264255
80,0.1251650215840263,0.0006286576904304713,0.005622885321522212
81,0.1253914101158069,0.000553468140302184,0.004981213262719657
82,0.12521788453030105,0.000570415262409909,0.005165329889793445
83,0.1250740256577013,0.000434999233551118,0.003963031624246139
84,0.1253379868685125,0.0006621061987354022,0.006068303547608911
85,0.12507474332202523,0.0006250447265214963,0.0057626276439614104
86,0.12471701970224451,0.0007373308827897619,0.0068377253119393105
87,0.12546007100097253,0.0006144259655667077,0.005730983880900779
88,0.12513607201677074,0.0006233580371121683,0.005847616722567025
89,0.12530742546738788,0.0004332946558251075,0.004087693607675024
90,0.12621773648426277,0.0005736240536662244,0.005441875590731787
91,0.12468700432138699,0.00050042740622325,0.004773773202597606
92,0.12657679073713202,0.000671316836610924,0.006439044894298487
93,0.12516356496095496,0.0004910032862549199,0.0047350642151423
94,0.12426422270163362,0.0005368166667999418,0.005204630685542902
95,0.12378337752669259,0.0005338639241349853,0.005203461876656396
96,0.1235336742345857,0.0006440426238073552,0.006310303203725126
97,0.12299777571281259,0.0005019495257061017,0.004943629502358394
98,0.12285547592870663,0.0005871195470659097,0.005812186983364708
99,0.12333833132098526,0.0005534294160709094,0.005506553163158074
100,0.12351166253048444,0.0006482417303018651,0.006482417303018652
101,0.12350677018640074,0.0005546803674727921,0.00557446870257919
102,0.12256899061007291,0.0006310277002504449,0.006373067374922633
103,0.12203065704502422,0.0007149555938855919,0.0072560067962009825
104,0.12226523606580228,0.0005856229944396279,0.005972206152512603
105,0.12241562699021089,0.0005720471673484167,0.005861739159625877
106,0.1224132998236001,0.0004611939438235987,0.0047482822688709085
107,0.1210507231678181,0.00042577172444557506,0.004404216963672133
108,0.1214706548417436,0.0004948215594298658,0.005142336489677942
109,0.12170945463744362,0.0004740869359889555,0.004949612923594951
110,0.12135801068115071,0.00035164817377648905,0.0036881171609965675
111,0.1205644599222632,0.00045732702992019555,0.0048182392390597045
