sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.4932004057966372,0.06528705330198166,0.06528705330198166
2,0.43503795469086215,0.04111373518589324,0.05814360189970614
3,0.3789474177253316,0.04680960462619222,0.08107661349477609
4,0.3465433282957314,0.030485027073894843,0.060970054147789686
5,0.3093727983861493,0.03309838965677842,0.07401024921833249
6,0.2897171323996265,0.029749852902228004,0.07287195953331585
7,0.27850188930589626,0.023299005526815915,0.06164337441907435
8,0.2595197115866842,0.016986278792788204,0.04804445168602312
9,0.25465476597079517,0.015300416718412707,0.04590125015523812
10,0.23513796163265627,0.01123369773603083,0.0355240713917344
11,0.22231243647815252,0.009328167512566973,0.030938031620767487
12,0.20995848202719167,0.00982760895684855,0.03404383606036132
13,0.2025432976898161,0.010658214855586276,0.038428740166728335
14,0.19420864516623898,0.009929225797718403,0.03715176105097944
15,0.1849480406269241,0.007709884791987337,0.02986025540054479
16,0.16939467424431612,0.007038809475047523,0.028155237900190092
17,0.1659863779173379,0.006492714474394732,0.02677014757490613
18,0.1603829472643406,0.006422421361421615,0.027248026177791373
19,0.15748459276928056,0.005961194025618801,0.02598424234051077
20,0.15585527493809492,0.005386735687066194,0.02409021434620809
21,0.15989041597030706,0.004635885534626052,0.021244296375574706
22,0.1569137250873377,0.003983458108774026,0.018684074691990123
23,0.15854333184296476,0.003258894054955973,0.01562910683989427
24,0.15625409753737354,0.003002281923695939,0.014708117554073101
25,0.15357688496952526,0.003914466484090717,0.019572332420453586
26,0.1526297871050788,0.0034854869294831756,0.01777256586780731
27,0.1520189149724734,0.0028797944196515012,0.014963850750569187
28,0.1497839361683862,0.0032354307223869346,0.017120290151227777
29,0.15046266685034976,0.004398494823262269,0.023686619526595273
30,0.15241857338485382,0.004623514716075377,0.025324033049515776
31,0.14819665387127917,0.0037101977144068216,0.0206575066133277
32,0.14724764440706398,0.0035079975969317524,0.019844231113412443
33,0.14578725409413132,0.00331418224588719,0.019038527533543063
34,0.14292931826252547,0.00298487124233867,0.017404640626383916
35,0.14637478050914127,0.003535298103143438,0.020915105635237314
36,0.1416655637036438,0.0036450304316320153,0.021870182589792092
37,0.13939815864947103,0.0033841498439139443,0.020584979867474307
38,0.13474214246935057,0.0031850935306167107,0.019634235160899547
39,0.1359997132570544,0.00274011008274272,0.017111981982119554
40,0.13540262828598415,0.00347701668603635,0.021990584380570884
41,0.1305983376141841,0.002537499495509106,0.016247924522167983
42,0.1320025915157814,0.002501145499072464,0.016209275428478557
43,0.1333381322574361,0.002867520585407995,0.01880358995598341
44,0.13124800746995574,0.003094903148515592,0.020529265012231585
45,0.12985804309977245,0.0028560678904501193,0.01915908585420267
46,0.13151285010560315,0.0023475738639734166,0.015922020605228144
