sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.3271878742036753,0.057884723449835966,0.057884723449835966
2,0.29202961060733534,0.03156929441157921,0.04464572431140448
3,0.282371162526106,0.02794090477364788,0.048395066677401906
4,0.267749700852281,0.023173345011809326,0.04634669002361865
5,0.2626649048138977,0.02134853596398901,0.047736777635578424
6,0.2536575831527276,0.021097240098085546,0.05167747322129451
7,0.24387908706278139,0.01661153301838981,0.04394998526219757
8,0.23315718757572967,0.017196717271350723,0.04863966158687968
9,0.22102944362469898,0.010920869730536525,0.032762609191609574
10,0.20908832285582385,0.011052660107257205,0.03495158014261371
11,0.20315979419387906,0.011939929239532077,0.03960026531092138
12,0.19267064031671563,0.01236366654692076,0.042828997254212825
13,0.1877731506539533,0.011583932233629544,0.04176646163985142
14,0.18959283664060142,0.011097812745251494,0.04152421303530425
15,0.18068528893336808,0.008846417276324563,0.03426202678480661
16,0.18009644630046784,0.008505634363317615,0.03402253745327046
17,0.1731134343705366,0.007480620841712707,0.03084338987557838
18,0.1690517282581198,0.007805945174640326,0.0331178205993515
19,0.16914824476317517,0.008022173705357159,0.03496784448918109
20,0.15383657651527963,0.004876485356673516,0.02180830549760858
21,0.14994928819336734,0.004291944438013612,0.01966816026574208
22,0.1477182939236293,0.0038790396450319856,0.01819430868403791
23,0.14492355158367193,0.003422437901269022,0.0164134355734862
24,0.1407158692552148,0.0033690635120338162,0.016504973031023804
25,0.14217515406610812,0.0037960055374782814,0.018980027687391408
26,0.14132693534732185,0.0035876990398954643,0.01829374741332507
27,0.14175314076378537,0.0029033451785655086,0.015086224083556787
28,0.13952864351729835,0.0029755379940535195,0.015745067097779203
29,0.14054123492472445,0.0025806534143477614,0.013897243946357062
30,0.13699913798732857,0.002584590125497349,0.014156383136400063
31,0.13543352666792016,0.002885279198468699,0.01606455469804879
32,0.1344055638528543,0.002580457231335098,0.014597270454711294
33,0.13527039790809461,0.0023599887570130815,0.01355710325978706
34,0.13254077989116633,0.002404793715057845,0.014022236469528613
35,0.13021599236724005,0.002230546836634874,0.013196093045472382
36,0.1295188072859054,0.002426375244962603,0.014558251469775617
37,0.124439029507845,0.0025314649635297727,0.01539830022692165
38,0.12486280582877954,0.002139687162261323,0.013189917505016649
39,0.12472483647509772,0.0017172643968911242,0.010724312721305904
40,0.12220130594179388,0.0013454615744265877,0.008509446158848348
41,0.12122330121819828,0.0012250374261594517,0.00784406683520394
42,0.12246725041027096,0.0013355972978526828,0.008655659764877447
43,0.12371495735651139,0.0016483500897586374,0.010808954380119948
44,0.12135239068633055,0.0014669308198560773,0.009730518245742075
45,0.1207760685950203,0.0016140407992954176,0.010827314837047946
46,0.12075600351493217,0.0018066119252528275,0.012253038228513919
47,0.11849281191697895,0.00162215124623896,0.011120908653824414
48,0.1184497861370328,0.0016558244177082592,0.011471888079535425
49,0.1174783036827737,0.0013264928507778968,0.009285449955445278
50,0.11537772052614295,0.0011238037814591895,0.007946492745928778
51,0.11508232670647711,0.0010844965908498253,0.007744854784552746
52,0.1143321346506381,0.001084151940587561,0.007817930824364478
53,0.11515794506071378,0.0010524009236623335,0.007661594371842106
54,0.11452513087439009,0.001132731348197174,0.008323841456213815
55,0.11180586854392857,0.0010418129082865493,0.007726291314271439
56,0.11389705577128557,0.001045526600046664,0.00782400465226649
57,0.11422060872558923,0.0011073353998231864,0.008360198932979396
