sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,6.157142977074452,0.45487063023382407,0.45487063023382407
2,6.156891985922783,0.3217390876697016,0.45500778132803826
3,6.148655396693117,0.26249557326280526,0.45465566965309717
4,6.1487741710187045,0.22738501085992716,0.4547700217198543
5,6.1458914619709475,0.20218360051070855,0.45209627467760555
6,6.142972397491066,0.18569976459968887,0.4548696686241886
7,6.140084713611484,0.17313806185786665,0.45808025415563286
8,6.134935721337527,0.16411643722616837,0.46419138266720006
9,6.129516706200979,0.15404983695341593,0.4621495108602478
10,6.127029423203572,0.14710420196897225,0.4651843316033783
11,6.12483970546841,0.14117592833841358,0.4682275837286199
12,6.124737122573213,0.13515186188024694,0.46817978302823815
13,6.119924172342078,0.12875043009994774,0.46421627746340377
14,6.11980255896251,0.12412226126199978,0.4644229757140465
15,6.117428792866201,0.11997770698723798,0.46467166107772595
16,6.112702511435628,0.11687367563470015,0.4674947025388006
17,6.112881952933698,0.1134062635331865,0.4675860031539602
18,6.113093856491811,0.11020289738087147,0.46755129626651654
19,6.10874549543272,0.10609496798047625,0.4624572438450796
20,6.108780287107708,0.103410460071389,0.46246563660830714
21,6.106550847168334,0.10017453884051207,0.45905740694394037
22,6.106652052776619,0.09791178565787768,0.4592469825221631
23,6.1024507437895155,0.09557723846600176,0.4583723331464282
24,6.100392794708453,0.09333226957675872,0.45723287399788987
25,6.098256393972516,0.09140879775246122,0.45704398876230606
26,6.092240796727381,0.08957473503026302,0.4567433218442143
27,6.090529140563004,0.08775722038327231,0.45599989330454027
28,6.088642570661113,0.08610823287842122,0.45564194006307607
29,6.0885300598169785,0.08462993699709372,0.4557461583467594
30,6.085252883318319,0.08255948860343669,0.4521969424419296
31,6.080527692374504,0.08138328326574397,0.4531229442971101
32,6.078820933384552,0.08040718330978702,0.4548517165956816
33,6.077192185977205,0.07915293964627602,0.4546990204556763
34,6.077201095535674,0.07798702470571528,0.4547385894811378
35,6.075909131722031,0.07686852783451543,0.4547603434784069
36,6.074454169121486,0.07567464536643694,0.45404787219862164
37,6.07305615102957,0.07440932378068096,0.4526142465979544
38,6.03065236739374,0.0703453457847061,0.4336378345989369
39,6.027274565295571,0.06981909146885903,0.4360200864730193
40,6.025842984237097,0.06880808020666873,0.4351805097532451
41,6.0274037198213595,0.06771754521910833,0.43360385509192745
42,6.028312728627514,0.06692300898939352,0.43371066801747765
43,5.973420307750085,0.06474528596671023,0.42456323246505534
44,5.975406335321919,0.06369884264996388,0.4225303212996361
45,5.978013538127449,0.06210080896486717,0.41658489090951406
46,5.9510600994317455,0.06623069265441421,0.44919841259318793
47,5.873565747208394,0.0704774492654134,0.48316904928096255
48,5.782160833053053,0.06573281780247449,0.4554103206342152
49,5.784349876568118,0.06514226099792629,0.455995826985484
50,5.787100678925799,0.06474023211931239,0.4577825714715692
51,5.78518251026834,0.06376945355763934,0.4554049885091686
52,5.725710979454297,0.068660447711277,0.4951175296386466
53,5.709626462705346,0.06928875162880511,0.5044297259487657
54,5.672092659624978,0.07323606919749895,0.5381730009030982
55,5.648534082761624,0.07173930320811922,0.5320329119173508
56,5.620640924984363,0.0641090233846063,0.47974800181175103
57,5.54310585722735,0.0629675941980486,0.4753949109825819
58,5.544303212646505,0.06250730679339506,0.47604146599712244
59,5.5171724170939145,0.062197242499029644,0.47774608475057423
60,5.46620516804541,0.056945488827329034,0.4410978597397718
61,5.464713861058428,0.05664531654347239,0.4424140651752851
62,5.467311064467646,0.056177298428271634,0.44234049016492216
63,5.440624929850399,0.057887291292096035,0.45946613049012286
64,5.413666111893463,0.05781978468099474,0.4625582774479579
65,5.387613440834064,0.059122003958252956,0.4766568345073624
66,5.387267441314621,0.058404774961440475,0.47448263480086317
67,5.08254493391067,0.10251274097085267,0.8391029484580114
68,5.083498002471689,0.10081200802437837,0.8313171148302544
69,5.082096982583973,0.10033915322466049,0.8334796045609579
70,5.082553595511785,0.0996316666407068,0.8335783285524793
71,4.930024615213007,0.11115414075406968,0.9366014379025174
72,4.928721234531393,0.11024474956410374,0.9354577200838852
73,4.985937798160687,0.0883631129336558,0.754974767853071
74,4.657607098321302,0.1132755308021979,0.9744329607574124
75,4.6627555161748475,0.11128078189563506,0.9637198407461541
76,4.39380315479203,0.12433284638152405,1.0839086254796602
77,4.371568554813324,0.11903561062625241,1.0445332440768402
78,4.426734433424716,0.10481669613038634,0.9257159950221236
79,4.403146195088202,0.09984591205935595,0.8874498781577507
80,4.453910831274464,0.09051261992847044,0.8095694839266483
81,4.453688041049231,0.08991239233916196,0.8092115310524576
82,4.452369134207067,0.08921036619848231,0.8078342242415333
83,4.408017059686147,0.08999699393783583,0.8199116355933055
84,4.368743778436511,0.09344320934214635,0.8564211599799807
85,4.370911606487985,0.09307567364283446,0.8581153110425961
86,4.345296250312872,0.09213208244754295,0.8543977838140694
87,4.299685998990636,0.08620806160299492,0.8040952680031651
88,4.275316822709883,0.08156248618692659,0.7651239412430825
89,4.212952785312876,0.0887523287235818,0.837287794604356
90,4.210899260280689,0.0881826103009836,0.8365736957104033
91,4.167443021804981,0.08730753099198411,0.8328607639217855
92,4.167468761840597,0.08687211414296568,0.833248047007311
93,4.130291064251611,0.09026044879946914,0.8704402457525662
94,4.128751450994335,0.08978412951361094,0.8704894323175815
95,4.129331233171016,0.08929026235041963,0.8702938241235788
96,4.085972708806098,0.08801332673145705,0.8623509642277141
97,4.063430007597958,0.08466690937227492,0.8338723509250935
98,4.0255321341636146,0.08984425860383446,0.8894127831322883
99,4.004416339524596,0.09143481598280614,0.9097649321704769
100,3.9986313466683496,0.0876853328282903,0.876853328282903
101,3.9976442976454765,0.08717648363477679,0.8761128176161874
102,3.9788931747421152,0.08926434689252465,0.9015257122607182
103,3.916682380950823,0.08969207190204148,0.9102751119822736
104,3.8979795485445043,0.09198746357989743,0.9380917435996051
105,3.8974311423227688,0.09147363109755544,0.9373257942402013
106,3.837736086782081,0.09068624937252745,0.933672082412857
107,3.797387538147869,0.09487002517864182,0.9813431711085507
108,3.7805540043544155,0.09726817219852252,1.0108404972431972
109,3.764732824721386,0.09737441046251638,1.0166186913531374
110,3.6883253491702326,0.09359044627403403,0.9815848815640008
111,3.6664662874255454,0.09193343734224821,0.9685788641475094
112,3.629018624800956,0.0884064003056505,0.9356053980607034
113,3.594507739751016,0.08790363001589208,0.934428404537611
114,3.556963139394861,0.08883040655154552,0.9484492019106063
115,3.557564316070374,0.0885654284068011,0.9497584100818608
116,3.5584802134323184,0.0881903268038751,0.9498388884678379
117,3.5208285099448053,0.08390234952778812,0.9075426700630258
118,3.466808109991478,0.08168496451568596,0.8873258389653754
119,3.4170758746721943,0.0784970562631999,0.85630178862161
120,3.3974750435257155,0.07950296147622177,0.8709113077798177
121,3.397840410133589,0.07923152234599153,0.8715467458059067
122,3.3993389440736075,0.0790090121043939,0.8726830623043488
123,3.398993003396472,0.0785433840588574,0.8710882682416935
124,3.3451418771420385,0.07833276321659938,0.8722767349587688
125,3.3459131221979006,0.07798284431094682,0.8718747047902992
126,3.3151226123376647,0.07681690173569543,0.8622675834253584
127,3.2978823045736254,0.07819729601926922,0.8812387714462537
128,3.2972140299807693,0.07791285973712496,0.8814833833881183
129,3.298339496526027,0.07765157471907168,0.8819523514733394
130,3.2975736192210285,0.07735122220583496,0.8819396266047576
131,3.280115597210173,0.07540302175767848,0.863027030523813
132,3.213741181647626,0.07661841153930317,0.8802785299315186
133,3.213194325163074,0.07633438010992712,0.8803310167431279
134,3.202116309505152,0.07659324544985706,0.8866309171829249
135,3.1572530208227887,0.07783826242195191,0.904398882173827
136,3.141748578537129,0.0762762588578055,0.8895263922372634
137,3.141422208805692,0.07591753409960196,0.8885919545976653
138,3.125741254693233,0.07518537010555874,0.8832281150142123
139,3.0789967273698218,0.07505513223770796,0.8848869586876936
140,3.0691118813421236,0.0753567188245556,0.8916327215173512
141,3.028796080433486,0.07382792827675057,0.876658075935436
142,3.0148950702816633,0.07290771789946439,0.8687957278680178
143,3.0137730477650395,0.07253868439814644,0.8674365019945764
144,3.013144241532886,0.07226098872289509,0.867131864674741
145,2.9985121387129596,0.0706967670957101,0.8513018073978442
