sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,7.167590440938412,1.4530026371017246,1.4530026371017246
2,6.847811858975753,1.3224589049209754,1.8702393190203148
3,6.832843303288998,1.0973428863302015,1.9006536324481882
4,6.833233393556171,0.9511111063607938,1.9022222127215875
5,6.868912709779562,0.8218264775516879,1.8376598695147792
6,6.869636020456589,0.7526604115942641,1.8436339579991148
7,6.847394370254359,0.7124121468390274,1.8848653715176966
8,6.847158382368043,0.6653006860006433,1.8817545063964676
9,6.844321443847529,0.6276996885269711,1.8830990655809132
10,6.8327071632703325,0.600715089397643,1.8996279073282174
11,6.6981436723222725,0.5584115849854715,1.8520417059844658
12,6.690824850534708,0.5324440003388036,1.8444401215440565
13,6.664445871843986,0.5110731468416111,1.8427004364501653
14,6.6624040033275875,0.493184954086082,1.8453291265019558
15,6.645427519188343,0.4756806270349451,1.842303146619844
16,6.615589322188166,0.4625890039971155,1.850356015988462
17,6.616113078142408,0.44696373896324715,1.8428787065664678
18,6.559721158552968,0.43979130607544065,1.8658764889969952
19,6.5223279677639825,0.43201250299689686,1.8830988429095359
20,6.511810708113174,0.42251122124714896,1.8895276239301573
21,6.482445147042836,0.41682546788721886,1.910134258178565
22,6.460482673381087,0.409891476474036,1.9225614410711132
23,6.4290115382832,0.40798977424008603,1.9566502204898442
24,6.415821547267514,0.4011024231431694,1.9649925425893429
25,6.392965546140357,0.39819484660480486,1.9909742330240243
26,6.388052526749827,0.3895423543393383,1.986284066147161
27,6.219425096048418,0.36907897643343185,1.9177906175646608
28,6.205953332642255,0.3645057869209648,1.928783327273546
29,6.184808092132611,0.3582970533448051,1.9294886821724384
30,6.175207458774056,0.35411566698528196,1.9395713877382634
31,6.175480820698207,0.3483272627512749,1.9394041201486776
32,6.173243810276527,0.3429014239691117,1.939743377336658
33,6.172999736693141,0.3376883908077958,1.9398721160039993
34,6.163158430156246,0.3345579640671614,1.9507913945130007
35,6.163965047044842,0.32955349595854394,1.949664774890143
36,6.143280199309999,0.32533654713006327,1.9520192827803797
37,6.140790343543187,0.3207081779569342,1.9507916880366527
38,6.121002514558265,0.3170655075234267,1.9545230544358767
39,6.122103461257381,0.3129890690322776,1.9546161096271515
40,6.101158880871781,0.30962931246933334,1.9582677155101351
41,6.101590612443021,0.3058140799084743,1.9581655472101778
42,6.101444114633088,0.3022774572722904,1.9589818195557753
43,6.100331252341611,0.2987036392652844,1.9587307514673837
44,6.099610553976151,0.2953835362064999,1.9593527176906387
45,6.047566694822163,0.30043902245536397,2.015406231911339
46,6.002068746530674,0.2937174140708464,1.992088424018721
47,5.953221547511122,0.300782990934097,2.0620642955197277
48,5.939170886466539,0.29988204629338555,2.0776437618314634
49,5.905109488092624,0.3028652222445244,2.120056555711671
50,5.904676505507736,0.2999057032157387,2.12065356460369
51,5.902861911380202,0.296772809203697,2.1193817764658047
52,5.899695661914922,0.2939591896873291,2.1197698626230204
53,5.898495037476463,0.29127803544416203,2.120536106367245
54,5.887937902332743,0.2898052994938098,2.1296253255428823
55,5.888536492033202,0.2870365668822685,2.1287201530534126
56,5.880645499751682,0.28570651158174604,2.138031759018509
57,5.8323911117237195,0.2819214752663161,2.1284604620079643
58,5.796367208864572,0.2827960922711871,2.153710873962315
59,5.781623626764742,0.28299934081106054,2.1737591833204966
60,5.781542375512667,0.2806957598060442,2.174260006159693
61,5.780620283083226,0.27867475181305557,2.1765193900312845
62,5.761091751936538,0.27757883913484993,2.1856579650068664
63,5.511296979054881,0.24948004184138636,1.9801864433588907
64,5.509612120653996,0.24741030795875335,1.9792824636700268
65,5.0238315617243865,0.21859078318101183,1.7623352354077608
66,5.025854737253597,0.21685501136240193,1.7617384405459209
67,5.01663314269756,0.21601538419771013,1.7681621238098189
68,5.0070253895879135,0.21511083493525177,1.773849387305697
69,4.684058359746109,0.18584747878063837,1.5437651021024112
70,4.467433490872475,0.1784664605522691,1.4931575362110403
