sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.04982608909640595,0.005322043077676808,0.005322043077676808
2,0.049000875414014024,0.0036879670398955304,0.0052155730054052165
3,0.047891909779791186,0.0028533483756975403,0.004942144358402269
4,0.047225692478222565,0.0025557310690384845,0.005111462138076969
5,0.04588959065194548,0.0022109919755462022,0.0049439283550278615
6,0.04513281202031528,0.0020483567234057857,0.005017428783543431
7,0.044749282677148505,0.0018592372645207576,0.004919079430185938
8,0.04437534117812293,0.0017242513801071762,0.004876919373376191
9,0.04388521798349413,0.0015755150452632513,0.004726545135789754
10,0.043406025956929474,0.0016544380558553317,0.005231792504163721
11,0.04242949373447349,0.0016220529237868252,0.005379740938299842
12,0.041693584064663294,0.0016414868156184304,0.005686277129211134
13,0.040419949364842875,0.0015863537271499058,0.005719679704262396
14,0.0393085871190582,0.0014427619884237815,0.005398321051342502
15,0.03903006571697011,0.0014249917944927383,0.005518969488552598
16,0.038837243842957454,0.0014179202364799366,0.005671680945919746
17,0.03846550978398612,0.0014093556437694925,0.005810922183321994
18,0.038014254813605194,0.0013689347655586348,0.005807898334371163
19,0.037066154704013456,0.000983098530096729,0.0042852271442350215
20,0.03687381394375152,0.0010028219150418412,0.004484755942720152
21,0.03614114375983055,0.0009772322291559006,0.004478240661657346
22,0.035796902867660366,0.0010025029077783733,0.004702155437912497
23,0.0351959170838095,0.0009295783107386419,0.004458100966028165
24,0.03407433793073143,0.0007443382963465674,0.0036464980441232443
25,0.03354491620824783,0.000756015531175115,0.0037800776558755754
26,0.03314863653027286,0.0007947348815599699,0.004052368669207137
27,0.03259293924750913,0.0008161895788817712,0.004241045457694421
28,0.032354007320689944,0.0008017588496493453,0.004242509055234787
29,0.031802732578804095,0.0007534975158208803,0.004057708304461879
30,0.03149918314586854,0.0008389581763437021,0.004595163179868427
31,0.03111334668674871,0.000792823881788339,0.004414256555021675
32,0.03074988133216965,0.0007777323041019346,0.004399518289426529
33,0.03041449683527959,0.0007704865858287328,0.004426108460610355
34,0.029643319827072308,0.0006659957781028854,0.0038833893442879897
35,0.02926853657670363,0.0006167132162384348,0.003648524590558546
36,0.02879473716539893,0.0005549111356626058,0.0033294668139756344
37,0.0285227858032095,0.0005153236211511888,0.003134591213716046
38,0.028024443370715024,0.0004673732957593358,0.0028810824889926104
39,0.027744900312865067,0.0005025631664247129,0.003138505968391093
40,0.02761578546907386,0.0005117668668048253,0.0032366978602225314
41,0.027477611216134734,0.0005085556029433971,0.0032563447072891417
42,0.026908483956725737,0.0005173125656171577,0.003352568597792901
43,0.02640435841528302,0.00048134101604013486,0.0031563641219082474
44,0.02586183134155324,0.00044269713346785106,0.002936520574957496
45,0.025394409265093166,0.00044115460796220627,0.0029593550759722895
46,0.02466546482031467,0.0003617895800953874,0.002453776316663247
47,0.023784101463024343,0.0003054840881551777,0.002094293394310362
48,0.02328985579539038,0.00030821983101290794,0.0021354096288586
49,0.022772171302932215,0.00034371795691578495,0.002406025698410495
50,0.022456166707281858,0.00033759584593180144,0.0023871631195878573
51,0.022292094834244464,0.0003205060255421141,0.0022888708423257345
52,0.021953355104882378,0.0002813048191834145,0.0020285178992018537
53,0.021896658081456695,0.0002663510280676903,0.0019390647534556248
54,0.021679537603118575,0.00025748300449317344,0.0018921059353410698
55,0.0211487163877175,0.00022656095514484633,0.0016802210127801578
56,0.021025919437358792,0.00022601043356504155,0.0016913072164732377
57,0.020959981483282666,0.0002184228780938399,0.0016490565664838176
58,0.02078320875435558,0.00020517318815987926,0.0015625524484323638
59,0.020589500473065233,0.00020334420266989077,0.001561916457691564
60,0.020085925394740887,0.000205201144185479,0.0015894812281061343
61,0.02007658858345992,0.0002033610499290953,0.0015883005743007534
62,0.01983076923574229,0.000211151488366138,0.001662608482004284
63,0.01946797363043318,0.00021940442002307467,0.0017414685957882479
64,0.019467261756917285,0.0002145622867073015,0.001716498293658412
65,0.01934384930867629,0.00021709610066964575,0.0017502847197492532
66,0.019220527457468432,0.00020210666445689821,0.0016419223038807147
67,0.018996220457933005,0.00021701562893506295,0.0017763494798432606
68,0.01876926890459937,0.0002260073041961795,0.0018637039747238992
69,0.018614807205084016,0.0002298186395825651,0.0019090169956999035
70,0.01842886201616136,0.00022712298964549436,0.0019002472654329789
71,0.018310835820635578,0.00023464232429499387,0.0019771313676358363
72,0.018102991574857296,0.00022241203910508162,0.0018872287328247695
73,0.01788325545471433,0.00021642950163361735,0.0018491744725548332
74,0.01783074946232049,0.0002163957147911908,0.0018615063250280106
75,0.01765660085364442,0.0002313575105803228,0.002003614815188866
76,0.017457950314347825,0.0002456021760339011,0.002141110131290924
77,0.017276220818625385,0.00023796246831044013,0.0020881121849600386
78,0.01716599869810923,0.00022738409691974002,0.0020082019688010583
