sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.06757913420499786,0.009336978817832211,0.009336978817832211
2,0.06635513754228173,0.0064057841865664275,0.009059146874277347
3,0.05986154092550654,0.005974210987852361,0.010347636966096542
4,0.053427252389994705,0.003545240264473235,0.00709048052894647
5,0.050566024008370146,0.003030269400367357,0.0067758883693589365
6,0.04655413515713551,0.0020069437356794234,0.004915988094889701
7,0.04433340502871398,0.0018061197048635095,0.004778543577082222
8,0.04247299396436888,0.001687054953880694,0.004771711992493588
9,0.039595572971991434,0.0013109440408066548,0.003932832122419965
10,0.038575033452523375,0.001330648581310291,0.00420788028221228
11,0.0380390428273862,0.0013198291998684794,0.004377378243318731
12,0.03761749127551831,0.0013582334740421707,0.004705058771163647
13,0.03649935934078295,0.001329781469980576,0.0047945952751768444
14,0.03537245654887215,0.001245488307281698,0.004660190525081138
15,0.034111687115313635,0.0009070760870088305,0.0035130905787281908
16,0.033399064563459854,0.0009335307432055615,0.003734122972822246
17,0.03211936433962822,0.0008435642924733358,0.0034781046798669922
18,0.03165168538411442,0.000774900339856544,0.003287623710337935
19,0.031175606943321988,0.0005949990048167374,0.002593540533503429
20,0.03085062343349417,0.0005624260487111854,0.002515245754469637
21,0.030364407780949253,0.0005860490858406883,0.002685614296824627
22,0.029851183513954015,0.0006978776481843503,0.0032733363194723877
23,0.029475064867645544,0.0006547055766623157,0.0031398576430457657
24,0.029227210576430008,0.0006539686456450682,0.003203778979218803
25,0.028798933222087587,0.0006847210164113197,0.0034236050820565986
26,0.028595181012961195,0.0007782976179517196,0.0039685547413186
27,0.0284527511361947,0.0007673671737542547,0.003987356799008712
28,0.027689476608281565,0.000710823144948646,0.0037613225353658715
29,0.027163965184467287,0.000756378344815848,0.004073222043380951
30,0.026994663497409744,0.0007509932546598905,0.004113359461114438
31,0.026782893730360434,0.0007232042437111758,0.004026630815182522
32,0.026534067226629994,0.0007185891477552113,0.004064954074118175
33,0.025984498586038813,0.000722102842493538,0.004148165015947312
34,0.025746140033414334,0.0006387624014834748,0.003724592835286002
35,0.025477901634870813,0.0005860921225875706,0.0034673677574742685
36,0.02522924864056881,0.0005033399361157279,0.0030200396166943674
37,0.02498594418501246,0.00048006058706871643,0.002920094551294554
38,0.02466801004698176,0.00043247429692072723,0.0026659506118622937
39,0.024203084801257907,0.00041373781206755335,0.0025837918082236033
40,0.0238642294061751,0.0004519198934125066,0.0028581923662480894
41,0.02317272653307805,0.00046736525288738683,0.002992597778497159
42,0.02282956929739286,0.0004623682001059491,0.002996488412076214
43,0.022691340485290472,0.0004424404998637738,0.0029012763785181443
44,0.022541052881173352,0.00043060193578220267,0.0028562901099805547
45,0.022441348015997363,0.00043687863661614524,0.0029306709881733884
46,0.02227770781893495,0.0004232368165376232,0.0028705317507656102
47,0.022108894300887742,0.0004382011380779426,0.0030041556481650205
48,0.022113854253719385,0.0004344172148651008,0.003009730751315681
49,0.022135999009474737,0.00042913680812929194,0.0030039576569050436
50,0.02196856333404153,0.0004374159674969677,0.0030929979681638036
51,0.021760170323918852,0.00042691026064011145,0.00304874907177193
52,0.02143219858087247,0.0004239255893374901,0.0030569708986752215
53,0.021223502197386078,0.00040210514639382955,0.002927369652792309
54,0.021119576277061937,0.00041997935155795875,0.003086205341465851
55,0.02077178902297777,0.00036946023697815883,0.0027399904505194268
56,0.0204960722551304,0.000336273263507273,0.0025164386807531363
57,0.020405261716887106,0.0003481345123594541,0.002628357929517597
58,0.019917490765829618,0.00036065059611089053,0.002746633110475107
59,0.019772392199239004,0.0003718846802093347,0.0028565004300874085
60,0.019468431544702625,0.00034869205968111416,0.002700957080199436
61,0.01925337194464067,0.0003166888307665624,0.002473418837857801
62,0.01910325774176872,0.0003110362656742949,0.0024491020050226276
63,0.019028466702766582,0.00030877995918369224,0.0024508649455221737
64,0.01883890262534252,0.0003280930289057262,0.0026247442312458094
65,0.018549274519631516,0.0003072396184324392,0.002477044994291223
66,0.018460479154882754,0.0003056313036047717,0.0024829604481441184
67,0.018354968128421356,0.00032135955627312653,0.002630441334707937
68,0.018060085210364323,0.0003105124404448963,0.0025605511800452416
69,0.017829518120399415,0.00030571223189822006,0.002539436520671699
70,0.01766359096944011,0.0003033166908692803,0.0025377295063092
71,0.017406334759662252,0.0003092589327211609,0.002605862085801173
72,0.017305889613187256,0.0003073616031003936,0.0026080496859438775
73,0.01699528817201347,0.00028193857000141876,0.0024088841980415905
74,0.016885639554920475,0.0002766661053068498,0.00237997182821539
75,0.016722413213634785,0.00025627944851613514,0.002219445128828392
76,0.01675118724259252,0.0002555174061096333,0.0022275491030950677
77,0.01651931488626105,0.00023443466213819933,0.0020571558114330034
78,0.01622421747845213,0.0002153258032862138,0.0019017060029737913
79,0.015991463734028804,0.00021684539747990968,0.001927364051301513
80,0.015949230579009637,0.00022021374574624975,0.0019696516202738785
81,0.015738642002729255,0.00021067072432888185,0.0018960365189599367
82,0.015547226880048592,0.0002180283884939717,0.001974331028860362
83,0.015562903626451342,0.00023349080458851535,0.00212720246654463
84,0.015325219091992456,0.00023043924488813956,0.00211201056557673
85,0.015137997549889093,0.0002360786055850027,0.002176537199606645
86,0.014926226719373947,0.0002174774504368633,0.002016802906724546
87,0.014683958815386816,0.0002117235766251463,0.0019748260536584343
88,0.014600155609210996,0.00020794542409696508,0.0019507009887351435
89,0.01462629296151709,0.00020877016963690678,0.001969533841290835
90,0.01447423462821012,0.00020221777174441035,0.001918406226229132
91,0.014418650334747967,0.0002003813760079703,0.001911516498078719
92,0.01431502004121372,0.0001830965727460523,0.0017562006307720761
93,0.014295915789448662,0.00018986048308347513,0.001830948192170445
94,0.01417180682228388,0.00018813641988909126,0.001824050266285537
95,0.014027995991391751,0.00017165026371067797,0.0016730398196202032
96,0.013835865633815874,0.00018371848419030857,0.001800066170335337
97,0.013798789203704559,0.0001666887400522467,0.0016416936979351327
98,0.013599068257661,0.00016168173080088798,0.001600567475406001
99,0.01362123893590916,0.00016637355416193142,0.0016553959625789957
100,0.013608496882280146,0.00016174570751632095,0.0016174570751632095
101,0.013418941941676744,0.00014795857070202026,0.0014869652326341249
102,0.013316419004663793,0.0001582821272477997,0.001598571125793608
103,0.013201310935944604,0.00016005586483488503,0.0016243896165663051
104,0.013174056061366657,0.0001550208534588378,0.001580908713600843
105,0.013187354399787141,0.00015570840673575546,0.001595536377667298
106,0.013169643104198889,0.00015711703844670913,0.001617618916694552
107,0.0131485360233591,0.00015169416618195604,0.0015691366561709538
108,0.013091097715032349,0.00014821341127955258,0.0015402789521957233
109,0.012961467653823212,0.00014169499014557424,0.001479339127896855
110,0.012806146733538592,0.0001293520546421043,0.0013566557943762792
111,0.012726878961507848,0.0001274644279390527,0.001342921078571308
112,0.012644495353908658,0.0001247294788124148,0.0013200127283853984
113,0.012554881904494683,0.00011902531419008657,0.0012652564452471748
114,0.012425906876198978,0.00011624211609265067,0.0012411261697029394
115,0.01239168829194388,0.00011083753266193418,0.001188600119618584
116,0.012127600088919822,0.00010589194041596698,0.0011404911017744983
117,0.01208253366063501,0.00010131488668727158,0.0010958880567563448
118,0.012021310634852591,0.00010379621346830742,0.001127515482723983
119,0.01197962981706925,0.00010426131949528378,0.001137356719066107
120,0.011943768034804342,0.00010336136314197586,0.0011322670033468646
121,0.011913339243693866,9.96537438502229e-05,0.001096191182352452
122,0.011866076177090167,0.00010165366503642671,0.0011228014290475593
123,0.011759098416072263,9.423279095666056e-05,0.0010450922082056913
124,0.011674316500295037,9.889183032798074e-05,0.0011012128173503285
125,0.011500794420982112,0.00010340120984958124,0.0011560606708969224
126,0.011479063723054895,0.00010417778163759651,0.001169392698606107
127,0.011454891927095706,0.00010383378703736949,0.001170147352676691
128,0.011425853773366253,0.00010685781286191723,0.0012089581455587961
129,0.011251427520698212,0.0001061906596238482,0.0012060940463678154
130,0.01123312655828163,0.0001047048597477262,0.0011938190797280933
131,0.011182072775961414,0.00010571060244850648,0.001209913146706585
