sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,2.0356200984843755,0.2051422104024481,0.2051422104024481
2,1.8673105239252084,0.2051419820295087,0.290114573198229
3,1.784042424234686,0.21458059160002707,0.3716644869694343
4,1.7629739737008727,0.18686172614567875,0.3737234522913575
5,1.8147736603956353,0.17657887803303815,0.3948423746725177
6,1.7920672329935112,0.15742932348298297,0.38562151308486164
7,1.7941525092441135,0.19972998683677742,0.5284358745323173
8,1.598594561387858,0.10387448967778126,0.29380142417380467
9,1.57758723314992,0.09720793886075772,0.29162381658227315
10,1.6002281370835028,0.08559805495016806,0.27068481692278185
11,1.6635122956220223,0.06045665154139687,0.20051202924407485
12,1.6007953270437967,0.07097462441551929,0.24586331107159584
13,1.5381810273931493,0.07325736670995903,0.26413319197822593
14,1.4811586744544714,0.07825731950246367,0.29281207758552164
15,1.39262610770446,0.07734039307452553,0.29953805436677283
16,1.2939436324604279,0.07057928515367215,0.2823171406146886
17,1.1798213614041306,0.050404156266781575,0.20782166025807877
18,1.1449224742144317,0.05138398480218791,0.2180037845880814
19,1.1120462788616812,0.041883920878806574,0.18256777846997116
20,1.0997676693738219,0.04055515985571575,0.18136818855150197
21,1.0574851064036346,0.036594083799592475,0.16769515899918974
22,1.0174630336405426,0.03798053930225462,0.17814452010988824
23,0.9757724837671514,0.03719063634506883,0.17836002615574081
24,0.9511747405597181,0.03733548202930904,0.1829057605453163
25,0.9399582680205605,0.03410564197230445,0.17052820986152226
26,0.9158453133006492,0.03459449541925966,0.17639800720570117
27,0.9078490656551127,0.033382988072765934,0.1734630943514893
28,0.866422946391656,0.030162310771890265,0.1596039465389326
29,0.857076384303131,0.0308142265329112,0.16593968828410366
30,0.819900786055728,0.02965712191711996,0.1624387466468746
31,0.8103601928138626,0.02963174409732094,0.16498256879356238
32,0.7973891966860739,0.029873527804057973,0.16899019270571414
33,0.7879626352135802,0.030175557806174074,0.1733453822117966
34,0.7746795658789349,0.029717450129280187,0.17328102214129704
35,0.7542009625892508,0.03111669591892032,0.18408885564278285
36,0.7360355678571568,0.03250360685942722,0.1950216411565633
37,0.7231278673593012,0.03229352156887076,0.19643382297050443
38,0.713229220159386,0.03267205700805436,0.20140408572625096
39,0.706672933152952,0.03227348646186341,0.20154785835567482
40,0.6989421827467981,0.03241133013662348,0.20498725045477315
41,0.692000385016591,0.03306248114292137,0.21170317435590633
42,0.618689841678246,0.017726299170320432,0.11487954846524912
43,0.6160917141805299,0.01717625629873597,0.11263224475661615
44,0.6136150980253932,0.016653765496502142,0.11046858299692883
45,0.595268325214728,0.018136812551443032,0.12166543728059408
46,0.5911149532235083,0.018552260583352374,0.1258275532092239
47,0.5855467829315089,0.01760405779364313,0.12068733979871538
48,0.5497331251286676,0.014137351601614558,0.09794644503384661
49,0.5491316929989261,0.013997747220964817,0.09798423054675372
50,0.5425341765711387,0.013474071701672108,0.09527607470446112
51,0.5351614636402248,0.013205565112034282,0.09430659810605527
52,0.5326507802064419,0.012894297861194592,0.0929821041992855
53,0.5240079474254642,0.013505333257893791,0.09832031020882166
54,0.5085659892090718,0.013540115200991222,0.09949911990279177
55,0.5063696427187168,0.013224047808770506,0.09807216335268455
56,0.49823153428821526,0.01364341973966698,0.10209800449956473
57,0.4942008682935688,0.013139623635869655,0.09920198299258617
58,0.4810090901659925,0.014561412054328178,0.11089641030675507
59,0.47137972554202967,0.015323934554435783,0.11770537474342124
60,0.47017100543248774,0.015139189944566978,0.11726766106075738
61,0.4600033263515221,0.01520233645936747,0.11873404340479869
62,0.4525021444415839,0.014271346431120584,0.11237269417139384
63,0.4467539293311143,0.013331609037294181,0.10581636626706488
64,0.4419275595528186,0.01384304634662574,0.11074437077300592
65,0.43973892625289873,0.013606591248846615,0.10969984572394485
66,0.43867245742679256,0.013544745137120057,0.11003802967496952
67,0.4359654043767289,0.013303671864474792,0.10889524737196027
68,0.4166945201549767,0.010908742195202012,0.08995579262690033
69,0.41328893571714953,0.011206571236977754,0.09308877205857073
70,0.40961010802032655,0.010952209095507323,0.091632755524539
71,0.4015292816530013,0.011290158221358693,0.09513256413602676
72,0.39850931930931105,0.011225790617460112,0.09525399203743638
73,0.39630959168838736,0.011238004841243933,0.0960175554534847
74,0.38576007206107343,0.009966379935063677,0.08573404193634492
75,0.3815017394805371,0.009589593072385293,0.0830483121264093
76,0.37831063107865115,0.009654002273868955,0.0841616406250133
77,0.3748518809874879,0.009671112328324257,0.08486366626751428
78,0.3743592330666985,0.009420143119765518,0.08319645136035263
79,0.366332835557778,0.009072772019311058,0.08064056161161762
80,0.36344405359090315,0.009475506116666577,0.08475150319232608
81,0.3624592238384183,0.009445286516760671,0.08500757865084604
82,0.36016952227705895,0.00916363595944476,0.08298025287845769
83,0.35351100767068644,0.009389178752396341,0.08553948938641981
84,0.3402984304771867,0.009006156811972324,0.08254279062301069
85,0.3377521885069095,0.008998522888033817,0.08296228181619536
86,0.3332492958632206,0.009073131810716334,0.08414076297192942
87,0.33312815382119043,0.008990449699368804,0.08385733220374122
88,0.3319686799300418,0.0091699840791882,0.08602207568470856
89,0.31169272588384034,0.0078055979350795035,0.07363786364396002
90,0.30377239793330146,0.007749364917687991,0.07351693067909192
91,0.30282411471588827,0.007668495250234038,0.07315278235077899
92,0.3027708121654298,0.007750948879307554,0.07434448994193713
93,0.3024851986182931,0.007619717293070926,0.07348189247187462
94,0.30171087902383625,0.007692594727304686,0.07458247302164397
95,0.3006290117679692,0.007586462839322181,0.07394369309940878
96,0.299086791881741,0.007615412991714255,0.07461550404104729
97,0.2882221029530493,0.008087506327620286,0.07965269979185842
98,0.2857433851421345,0.008220026104143914,0.08137410679678839
99,0.28502189484395507,0.008035185287753545,0.07994908416138718
100,0.28417540162623095,0.007978267704927058,0.07978267704927058
101,0.2771169942687564,0.008053560143067066,0.08093727774504057
102,0.2750366036118911,0.008059893911705912,0.08140093836394831
103,0.2737280956888987,0.00810629503711811,0.0822699093263569
