sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,5.597581411687902,0.6900952189715213,0.6900952189715213
2,5.424051427254446,0.5112325168078488,0.722991958795791
3,4.773037961022572,0.34295745720043597,0.5940197407057838
4,3.3464851430839566,0.20407360722191314,0.4081472144438263
5,2.968853369869444,0.1274984481731794,0.28509519714096304
6,2.971687024937066,0.11777309342151394,0.28848398431184336
7,2.9082555032693245,0.12511938680015836,0.3310347816661166
8,2.779088565679606,0.10373590969182284,0.2934094607825729
9,2.557440402393964,0.11264267348642214,0.3379280204592664
10,2.465159553442991,0.13743003146101912,0.4345919183254183
11,2.4578429308622205,0.13108435906903979,0.43475763491622604
12,2.147695974655266,0.13910879972938178,0.4818870178224258
13,1.8971098006023612,0.12286023580866907,0.44297887992375323
14,1.8506388880959925,0.11542222557146453,0.4318704229073584
15,1.765681513205834,0.10794451306017026,0.41806730139650844
16,1.7172825203597761,0.10661293221098596,0.42645172884394383
17,1.6772118146032522,0.10361184244080254,0.42720257044828364
18,1.663968123011614,0.10251537145754781,0.43493588600093935
19,1.6410959575973099,0.09625397574252652,0.4195613531756885
20,1.6156424456432663,0.09511678818615794,0.4253752083713962
21,1.538427331265688,0.08679018778970268,0.39772260512574464
22,1.495556446587867,0.09192084828253552,0.4311469954407431
23,1.4410618646735203,0.09489737157278043,0.4551118060682607
24,1.4345853168583405,0.09208201293358899,0.4511078923513083
25,1.4120825925668254,0.09157401718516561,0.45787008592582806
26,1.348749254450737,0.08228303078734257,0.4195627796222156
27,1.261375713553069,0.07625141548726151,0.3962139773189439
28,1.1639446665135442,0.0781261890705891,0.4134049343239824
29,1.1271612068879364,0.08195387544269374,0.44133512584227896
30,1.0251758625836438,0.0721244411781093,0.39504183380704944
31,0.9743501367825731,0.06459810520390932,0.35966702806067086
32,0.9091316601283715,0.05447093280985919,0.3081341277392659
33,0.9013689696675746,0.0533644137145565,0.3065552176790429
34,0.8738707042833438,0.053800690318909,0.31370923715902765
35,0.8587067562695907,0.05315504385057395,0.3144694802941541
36,0.8474730887601751,0.05253739086700338,0.3152243452020203
37,0.8381165437085147,0.05246189980565208,0.3191132784060799
38,0.835070490158787,0.05174909700340952,0.3190028582088175
39,0.7989208530302304,0.0479480720142794,0.2994356137562371
40,0.7773275945450702,0.04881820941179305,0.3087534660646698
