sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.17114595757003953,0.033221485797399544,0.033221485797399544
2,0.16584779049244208,0.01948873720477696,0.0275612364685207
3,0.1689517799305294,0.023021886700118673,0.03987507745069974
4,0.16559204611830433,0.014854020021695238,0.029708040043390477
5,0.16070043214715102,0.012123285423715076,0.02710849031805925
6,0.1577986244789654,0.011124392572736303,0.027249085501610943
7,0.15469611277265083,0.011476927243857675,0.03036509530242936
8,0.1456460916551921,0.008522232305501427,0.024104513016268498
9,0.13785550358028795,0.005831666567600525,0.017494999702801575
10,0.14139222562726533,0.005753625762752654,0.01819456221452197
11,0.13865671202932822,0.004626110364098094,0.015343072316487783
12,0.13668070039090122,0.003685351645059706,0.012766432586001908
13,0.1326748144932585,0.0037698921210031497,0.013592539345244549
14,0.1338015379421899,0.004066692760866763,0.015216171008437238
15,0.13244143983247605,0.0034085784674632576,0.013201367638726397
16,0.1306018266983496,0.0031508371965245684,0.012603348786098274
17,0.12763842032218278,0.0029816095363554397,0.012293491052742378
18,0.12739725272419264,0.003068673247191896,0.013019277974010791
19,0.12669991537421316,0.002389706073440909,0.01041648727889431
20,0.12629539131876694,0.002446663937204372,0.010941813763372504
21,0.12714611925888514,0.002503359156829076,0.011471832827830068
22,0.12757979478543863,0.0023172680481078653,0.010868950572580409
23,0.12710291638032206,0.0023988377998817693,0.011504421939987118
24,0.12570452800683396,0.002588751428959722,0.012682240143704268
25,0.13101457669965463,0.0034723664568690887,0.017361832284345444
26,0.12872322137618392,0.002588512600771358,0.013198876262513964
27,0.1280931031584715,0.0023632348661391535,0.012279728575113745
28,0.12859844566815662,0.0022731076678049124,0.012028155184571641
29,0.128105470498397,0.00232271758336188,0.012508216986832897
30,0.12870703053770516,0.0020320850341122632,0.011130188119519414
31,0.1294093825780268,0.0018218665358502258,0.010143723572139472
32,0.12745693353767448,0.0015680021654167534,0.008869959712651017
33,0.12751730632303676,0.0016455010490550642,0.009452683861240862
34,0.12726992032468937,0.0017088067211094946,0.009963969788377793
35,0.12899562642472823,0.0014734937617385871,0.008717306654345058
36,0.12749490224106752,0.001345035017762057,0.008070210106572343
37,0.1278179722823712,0.0013045405918568273,0.00793521063139977
38,0.12704554791015485,0.0013374997930738868,0.008244902453392775
39,0.12680263800079994,0.0012424115660789057,0.007758857743349785
40,0.12575144467076915,0.001230125857732871,0.0077799990382082474
41,0.126670239270759,0.0011552958154997797,0.007397502637631388
42,0.12660650305830454,0.001023252052333435,0.0066314312202866614
43,0.1250900608387727,0.00113593195243606,0.007448803945889809
44,0.1257796041555263,0.0011395678266903429,0.007559037808585235
45,0.12487870254539657,0.0012079993822942307,0.008103506206762968
46,0.12490358948377936,0.001117285362101049,0.007577798011084916
47,0.12442491980574644,0.001164909658658991,0.007986218260437121
48,0.12452502593548764,0.0011874709840423183,0.008227040307500426
49,0.12388171235435608,0.0011328169425355668,0.007929718597748967
50,0.12334636604797293,0.0010923571194011027,0.007724131266059229
51,0.12189518304506027,0.0010209143264486254,0.007290786594006889
52,0.12215642512122812,0.0010147499308151202,0.007317465814654902
53,0.12209283825151136,0.0009511149986673128,0.006924221707640931
54,0.12171887729042478,0.0009147797913326964,0.006722231147324328
55,0.12148819264310921,0.0009502817537548883,0.007047478104511617
56,0.12108106971610402,0.0009944409873912897,0.007441714932366782
57,0.12114590481813683,0.0010326538966024567,0.007796365948285748
58,0.1213323637448144,0.0010140066479404706,0.007722444558552249
59,0.12177414303226719,0.0010060021213091444,0.007727248916440533
60,0.12122965451137109,0.0010087844150686595,0.007814010478949017
61,0.12143277873676543,0.0010817991700347006,0.008449121617159607
62,0.1214966376267735,0.0010336437239945942,0.008138918821656327
63,0.12078268474853196,0.0010328771187521468,0.008198207973321327
64,0.12074627507325417,0.0010602944236030212,0.00848235538882417
65,0.12015530746189458,0.0011106110548690117,0.008954032582463715
66,0.12023496752141116,0.0010800922148239058,0.008774710633777725
67,0.12069007869197275,0.0010276437382260844,0.008411626521186247
68,0.1213547327743878,0.0009765600331481461,0.008052920332852981
69,0.12145570924543843,0.0009667417516003894,0.008030360103123012
70,0.12151714437145178,0.000933735853889093,0.0078121946429066625
71,0.12186876117864495,0.000920721328218333,0.007758135810925543
72,0.12134123336990707,0.0009037402554074141,0.007668490356358138
73,0.12134963243881274,0.0009471463837200254,0.008092422249867852
