sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.4830224809515252,0.09688932029621208,0.09688932029621208
2,0.41157242260183075,0.06604386178150447,0.09340012504289774
3,0.34606684747292743,0.055080992095715965,0.09540307684107978
4,0.32066982645356606,0.05478560903797564,0.10957121807595128
5,0.29170918889769,0.041282645363368425,0.09231080132350832
6,0.2805188154163192,0.03442535319140896,0.08432454953404438
7,0.2541266200785123,0.02655881773131046,0.07026802683294014
8,0.23599689566498078,0.020603598980897968,0.058275778224964776
9,0.22033647731838735,0.0170516171153782,0.05115485134613461
10,0.21513921373332817,0.015792778101615036,0.04994114938273362
11,0.21248792779784878,0.01377412766184433,0.045683613268792965
12,0.18969897338197353,0.01113497498418472,0.03857268482723278
13,0.18861114437188098,0.010720451321397768,0.03865313693541533
14,0.17849282494499247,0.010154848193502724,0.03799596275478748
15,0.16991840279228967,0.008028980597120176,0.031096108139668927
16,0.16639870671861476,0.007929962306886777,0.03171984922754711
17,0.1651331539242098,0.007873287208453617,0.03246239478127867
18,0.16203683145151443,0.007817882658102569,0.033168467052390224
19,0.15876645439826478,0.007308346309667782,0.03185634300824028
20,0.155388108179989,0.007248139365947772,0.032414664665302885
21,0.15256830891989423,0.006970540141272876,0.03194302783211113
22,0.15162613926138818,0.006921488523759215,0.03246465885327723
23,0.14596063488726813,0.00697748533276023,0.03346284411230365
24,0.1449549787773598,0.006861203667928351,0.033612896015473626
25,0.1424943988312854,0.006965832681706937,0.03482916340853469
26,0.14108875839793117,0.006498700314654804,0.03313699971741642
27,0.14280316511836455,0.006194870406674192,0.03218949087199372
28,0.13606687559399994,0.003292525920859315,0.017422409543655364
29,0.1330726010286155,0.002564100119250936,0.013808101724159525
30,0.13196090516448813,0.002391061203049219,0.013096381572854974
31,0.13014089257909872,0.0028034155493749996,0.015608757190013669
32,0.1300485580585624,0.0027258492330572933,0.015419731817495695
33,0.13063039607586474,0.002960738496368293,0.017008147772404465
34,0.12992628742560425,0.002957014286547185,0.017242208057226933
35,0.13004455112672617,0.002870989184554097,0.016985001072238146
36,0.12818247685753215,0.0027172962365696403,0.016303777419417843
37,0.12822621184199184,0.002633365695380644,0.016018138180434096
38,0.12811746793430598,0.002593924352768941,0.015990023602851098
39,0.1263681659120935,0.0024624610655588374,0.015378064425548926
40,0.1267352730979841,0.0024072073710185863,0.015224516185529464
41,0.12674389203622033,0.0023260211834133793,0.014893802616296446
42,0.12644081246161903,0.002294174906657126,0.014867952686838892
43,0.12624749688427492,0.0022239738077536072,0.014583571524002114
44,0.12562613285627272,0.002323705510568395,0.01541371860367318
45,0.12576114525579338,0.0023042784671981472,0.01545756987523223
46,0.1245070555887933,0.001790507498808503,0.01214381269417954
47,0.12362303216781756,0.0017415703052325177,0.01193960447498916
48,0.12354301943831172,0.0016525467096989825,0.011449179452317654
49,0.12290924830390204,0.0016472317851995032,0.011530622496396522
50,0.12189354269103592,0.001585846635315147,0.011213629097532103
51,0.12050270664880244,0.0016140743520574416,0.011526796463564895
52,0.1208005263516138,0.0016551313997473607,0.011935322258839188
53,0.12061235581307572,0.0016665759427491767,0.012132856002045283
54,0.12120863909562389,0.0017172221218283734,0.012618953920496898
55,0.1221829324750848,0.0017324678293782563,0.012848325295176932
56,0.12196001323440084,0.0017325452245662736,0.01296518127483663
57,0.12243817229467638,0.0016551699803748561,0.0124962593140605
58,0.12217119199273312,0.001607021764659813,0.012238713135834163
59,0.12061279988642482,0.0014815318745433465,0.011379862258480434
60,0.12087202341557586,0.001459578772383983,0.011305848555842064
61,0.12036254665131352,0.0016141799169747722,0.012607148173407244
62,0.11861220415588616,0.0013556060241757019,0.010674052508417322
63,0.11963483806822368,0.001259134593153915,0.009994071001931252
64,0.1191325683627649,0.0012510160610194638,0.01000812848815571
65,0.11889814194661892,0.0011555142461020863,0.009316053683905902
66,0.11925637886606003,0.00121624869953663,0.009880851144624126
67,0.11893997359421422,0.001141564778218925,0.009344110421666236
68,0.11696408147884271,0.0012679139009988722,0.010455485876014567
69,0.11702338459542141,0.0012188805386880363,0.01012478216871248
70,0.11716545677433307,0.0011819658742643808,0.009889035997244087
71,0.11716094717601785,0.0011514496429827644,0.00970228714804322
72,0.1177689916279285,0.0011379993244345192,0.0096562444715203
73,0.11854042087675691,0.0008969675578672085,0.007663694173845748
74,0.11935634785964155,0.0008488239972745503,0.007301860119026986
75,0.11907350604397982,0.0008106638335370577,0.007020554737723715
76,0.11871058438220834,0.0008731498822688148,0.007611944198748401
77,0.11871804918102254,0.0008486578417101205,0.007446942338087369
78,0.11868333238165277,0.0008749062557282735,0.00772696283104639
79,0.11906792024500672,0.0008828294950770089,0.00784676018958501
80,0.1193591901858035,0.0008597989409819592,0.007690275516071963
81,0.11941544954611734,0.0008596505015609967,0.0077368545140489705
82,0.11974784479078496,0.0008283512163616126,0.007501039293798999
83,0.11949273319357309,0.0007981449899555371,0.0072714469175167145
84,0.11983532444525731,0.0007645850284902126,0.007007537536572734
85,0.11994182217538674,0.000774609267477508,0.007141544578539962
86,0.11929514912560654,0.0007375862569045242,0.006840093554053241
87,0.11947225142097306,0.0007881347714589297,0.007351231758316962
88,0.11964676240527847,0.0007377178478878095,0.006920406840072011
89,0.1205938657234272,0.0008558515851657885,0.008074087706294784
90,0.12045629154992417,0.0008679649475527036,0.0082342384903654
91,0.12052516686555607,0.0008838947391249068,0.00843181841577453
92,0.1204272459587605,0.0009116222504560378,0.008743973452180698
93,0.11981155107267738,0.000942478789815356,0.009088936298622577
94,0.11985030859175996,0.0009364895329153106,0.009079602890789556
95,0.11982382969535835,0.0009409547203988888,0.009171292147505188
96,0.11986232005762121,0.0009921896964244041,0.009721433937146931
97,0.11934811189482389,0.0009725623960957134,0.00957862874252078
98,0.11842737974084236,0.0009064274402923833,0.008973173855580321
99,0.11889893533115894,0.0009095147403495685,0.0090495574051111
100,0.11937570497966679,0.0009434268054614919,0.00943426805461492
101,0.11920653047051004,0.0008566135649872255,0.008608859783486572
102,0.11907766833979663,0.000788681293054365,0.007965290613996348
103,0.1184255822601528,0.0007856883141685689,0.007973865504456914
104,0.11877264149675401,0.0008189837389772104,0.00835202813271995
105,0.11819139539437391,0.0008309701138310611,0.008514909844410726
106,0.1181360070408128,0.0007995833801988589,0.00823221474940764
107,0.11853653620985431,0.0008023828030544297,0.008299912252681396
108,0.11834579513501027,0.0008316239448219668,0.008642489551335019
109,0.1185357350403762,0.0008002263966683558,0.008354608857738671
110,0.11884174612748832,0.0008115396503449188,0.008511499659226618
111,0.11889004735559719,0.0007876286181663026,0.008298182406838023
112,0.11897529251211188,0.0008056308240160052,0.008525995235497569
113,0.11918714320341746,0.0007953278066351324,0.008454450553453886
114,0.11898764212178344,0.0008006919214113015,0.008549050300677772
115,0.11925459597050585,0.0008476669872968279,0.009090215726570039
116,0.11938154400479269,0.0008409021998324259,0.009056793865559132
117,0.11960256319240008,0.000789966673846675,0.008544796045385774
118,0.11980126729124778,0.000802698971615512,0.00871954272917146
119,0.1200786788303136,0.0008178377062714973,0.008921556094209767
120,0.1204193400541308,0.0008089580282328911,0.00886169120276111
121,0.12026740115393272,0.0007992464508392726,0.008791710959231999
122,0.11997225353655656,0.0007618086711256296,0.008414451798606259
123,0.1192979657521301,0.0006920436532178095,0.007675135400041056
124,0.1192147392933978,0.0007138104165977561,0.007948656398699676
125,0.11899778096979508,0.0007213200172474221,0.008064602960482784
126,0.11877970060458612,0.0006776793226760738,0.00760693153066468
127,0.11866867843324384,0.0006730486613371533,0.00758487320704982
128,0.11965691562862424,0.0006869600116828273,0.0077720653226386735
129,0.1191205443567924,0.0007623854544084624,0.008659034239513903
130,0.11927395631362354,0.0007585449198313694,0.008648742764255231
131,0.11930391236359457,0.0007843107976242531,0.008976847384932473
132,0.1194685626177389,0.0007676704374008886,0.00881986183908931
133,0.11978233629662241,0.0007246181346949568,0.008356703995603183
134,0.11964880423267317,0.0007280930807735571,0.008428286753084767
135,0.11982572834708002,0.0007009090990421602,0.008143827803386594
136,0.11967206169216356,0.0007109519437327959,0.008291053166905392
137,0.11969617838109381,0.000709205737200349,0.008301040328890771
138,0.11951307618169471,0.0007070893721997362,0.00830641935362878
139,0.11972195888998041,0.0006826918383318691,0.00804881806921784
140,0.11932264390141482,0.000696040876390553,0.00823566671405018
141,0.11997715325681917,0.0006658368180533469,0.007906374151710265
142,0.11997835909825041,0.0006764495156702236,0.008060826291985715
143,0.11983064725136436,0.0006479639019918188,0.007748521292135569
144,0.11948350314701042,0.0006129347965548831,0.0073552175586585975
145,0.11973215525009288,0.000540071648662386,0.006503323836692405
