sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.29228813479033156,0.04233300460469145,0.04233300460469145
2,0.2625901640625924,0.027953256987218306,0.03953187514382461
3,0.2362108454405182,0.02702791668942641,0.04681372492882535
4,0.2231517486725214,0.02673623208221213,0.05347246416442426
5,0.21071152773025087,0.024647496787734036,0.05511347829258101
6,0.1901583044079179,0.016686777748198316,0.04087409093431435
7,0.18190563563809672,0.014935238742535353,0.03951492748412558
8,0.17935390253670214,0.015167304601195131,0.04289961574330801
9,0.17406102833680354,0.012599972212210521,0.03779991663663156
10,0.17109070143782829,0.01283443317031759,0.040586041295419345
11,0.16719812432707803,0.01310895793652226,0.043477494867995896
12,0.1607376772954662,0.00957150992547292,0.03315668299213779
13,0.15992294681513478,0.009914076773494991,0.035745712155722774
14,0.15365937868292337,0.006895908743007968,0.025802127886794767
15,0.15140932487272835,0.007236936761572826,0.02802853555512779
16,0.14533363930818993,0.006705204421373476,0.026820817685493905
17,0.1452265129099063,0.006592769822944186,0.02718268634538352
18,0.14157557588246233,0.00578129817234742,0.024527970850369524
19,0.14312811624769511,0.007142436924605246,0.031133160764967707
20,0.13849505611157711,0.006414472259175396,0.02868639202260567
21,0.13988786828912173,0.006206409295666021,0.028441340391267098
22,0.13180791556928978,0.004235209687447723,0.019864894264161662
23,0.13030880463466565,0.004034441921363109,0.01934850374544753
24,0.1275873515719526,0.0037561100549920066,0.018401106104935356
25,0.12728474026735806,0.0033135876003290545,0.01656793800164527
26,0.1253378592666826,0.0029329113962383796,0.014954972441058157
27,0.12496252476760428,0.002691803461687095,0.013987021078895497
28,0.12460047075092921,0.0026733778366724364,0.014146185832694237
29,0.12408600652216484,0.0024562492589184854,0.013227307066678034
30,0.12155652937776155,0.0024887687066875515,0.013631547610657303
31,0.12047167663714786,0.0025153623389154527,0.014004944790218228
32,0.12051378957854801,0.0025385892249066098,0.014360429244628525
33,0.11927258548672412,0.00251913822255815,0.014471347334773753
34,0.11848885904714748,0.002497237980712378,0.014561274535514493
35,0.11899094955096265,0.002314055858515959,0.01369013908152949
36,0.11883747406271375,0.0021880593613162894,0.013128356167897736
37,0.11771701893741149,0.002154118842654457,0.013102993381907898
38,0.1189939336745208,0.0022446243433103764,0.013836793733307528
39,0.11913726670892714,0.002384496427745227,0.014891175418457074
40,0.11908531209784468,0.002414562487455841,0.0152710340263244
41,0.11977166826254255,0.0026756074040781806,0.017132246618907783
42,0.11963938671642504,0.002656216642372267,0.017214251298010227
43,0.11922920876883966,0.00268983688754137,0.017638440030452368
44,0.11799418734505666,0.002550474064126617,0.01691793101648165
45,0.11708521349158854,0.0024448950086597017,0.016400854311639092
46,0.11729741372680469,0.002382631729345212,0.01615979461668364
47,0.11635080837627698,0.0022293162779522487,0.015283422396692267
48,0.11559687933174416,0.0021406969548344898,0.014831183557525258
49,0.11508252995176178,0.002029262376227014,0.014204836633589096
50,0.11489026552704387,0.00209927095283522,0.014844087262977292
51,0.11550700106401628,0.0021431612731245895,0.015305232842844033
52,0.11637939454055465,0.0020881777936334494,0.015058064214461325
53,0.11624927818196018,0.001965685795051415,0.014310408595772045
54,0.11613859935846829,0.0019809418630590343,0.01455689032383871
55,0.11626922215201607,0.0019607690949172696,0.014541452795269388
56,0.11604447487243548,0.0019070453313908364,0.014271020502222564
57,0.11546282965621893,0.0018854284617801074,0.014234672725987016
58,0.11455581532495882,0.001958847630227936,0.014918139100775165
59,0.11320348291558739,0.0017453275224227815,0.013406115077495801
60,0.11319843254299364,0.0016874730046974986,0.013071109688736005
61,0.11261473088323082,0.0017195071557639914,0.013429780206024887
62,0.11235606042783822,0.0015956890887260757,0.012564468449103852
63,0.111837908035662,0.0014556790102063116,0.011554093949227663
64,0.11173310303443804,0.00145653498482933,0.01165227987863464
65,0.11196973628382227,0.001520004269576741,0.012254666199841958
66,0.11189288560996394,0.001558438085008763,0.012660810853858511
67,0.11221396049246582,0.0015219878767023228,0.012458007685321622
68,0.11226924373192138,0.0014497869323504464,0.011955249313442193
69,0.1118447473133634,0.0013669931212839071,0.011355097681701764
70,0.11196819259008943,0.0013477537926259487,0.011276117238998273
71,0.11134729359649413,0.0012416283095817353,0.010462146099151484
72,0.11116699952687129,0.0012433566993442092,0.010550231442480164
73,0.11113011792831758,0.0012557994335513965,0.010729555063630766
