sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,3.9026537922318107,0.7027473613498818,0.7027473613498818
2,3.8716902938709814,0.5162070711642469,0.7300270410333715
3,3.473345351472583,0.3054815603635195,0.5291095833250347
4,3.366470762848441,0.25661166220060877,0.5132233244012175
5,2.6517356915787205,0.298408858919962,0.6672624936331796
6,2.3136296079435583,0.21475027102325744,0.5260285861313766
7,2.26735638589029,0.20215908927282483,0.5348626754871999
8,2.051180414234648,0.22296858156619542,0.6306503840680105
9,2.025369033367336,0.20410313339776387,0.6123094001932916
10,1.9548625870787741,0.16890541382568441,0.5341258168224572
11,1.851741532144624,0.17323004747503737,0.5745390698901518
12,1.776690848505177,0.16903499906926311,0.5855544132906432
13,1.7424644751333092,0.16404113955096689,0.5914587399365548
14,1.6935899390312952,0.15505011673056326,0.5801444145850739
15,1.6566222279980694,0.15642803743093328,0.6058431838499151
16,1.6151201805521072,0.15685094051093726,0.627403762043749
17,1.6025296768979658,0.1528973893305701,0.6304120860911272
18,1.5666932175411765,0.14737711501543477,0.625268144514742
19,1.5584702890858666,0.14253603388061964,0.6213001674987106
20,1.546604374286,0.13952585398441258,0.6239785882557128
21,1.5332966842845694,0.13778578797599303,0.6314138030891243
22,1.516429363300724,0.136888474067212,0.6420638561030321
23,1.3278124440908172,0.13717096658509517,0.6578488456320751
24,1.3156537846116976,0.1333491807236422,0.6532749007822037
25,1.3051828111449748,0.13111805968938015,0.6555902984469008
26,1.277839098479539,0.124527452430851,0.6349679099229065
27,1.2470925156873065,0.12087278957145779,0.6280734383710393
28,1.2084361815369984,0.11857065864099069,0.6274169511063863
29,1.1578215585843126,0.1190579079187453,0.6411464557350876
30,1.150052273855421,0.11714446817060699,0.6416266770398739
31,1.1265908984772954,0.11549281292691999,0.6430367679774995
32,1.1199634901679922,0.11341296818937256,0.6415606310495964
33,1.0972403738350613,0.11231056535941733,0.6451750785752767
34,0.9941128013114989,0.07170354043582325,0.4180998949713802
35,0.9909096138724454,0.07057456775970276,0.4175247735241715
36,0.9545253278005053,0.06655888272797932,0.39935329636787587
37,0.9000467176714098,0.05028794157803885,0.3058896067567206
