sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,6.17810767694033,1.64146038995695,1.64146038995695
2,5.843963468114392,1.303480148475619,1.8433993042583163
3,4.991384126689013,0.9604288810485931,1.6635116190326888
4,3.9805960004060084,0.5838857943680145,1.167771588736029
5,3.8407417387983784,0.4797771229824713,1.0728142610380826
6,3.6907958824004203,0.4291787034330794,1.0512688318803114
7,3.3638993965326636,0.3509690161631144,0.9285767346566094
8,3.060814036104012,0.2899099464228496,0.8199891561961026
9,2.9650652084335896,0.3021695416550973,0.9065086249652918
10,2.836355286378631,0.2680481620072096,0.8476427145645935
11,2.7197623476036625,0.25491272369788537,0.845449858793423
12,2.5373705204139947,0.2356381000272958,0.8162743228925471
13,2.308564952211793,0.21778699892941297,0.7852421917694193
14,2.1237748360582374,0.14017042445272895,0.524469704060792
15,2.039122467476681,0.144025660101564,0.5578089829998875
16,1.996956848911513,0.15192389710814033,0.6076955884325613
17,1.9397127660436495,0.15982020469285457,0.6589555850564748
18,1.805953516936664,0.14045484688308912,0.5958994480893032
19,1.7472456932831952,0.14498965971825745,0.6319952745702342
20,1.629525378834965,0.1393343232814047,0.6231220369123049
21,1.5659722967143563,0.13309095476677382,0.6098993745326848
22,1.4791066391330685,0.12321549013779155,0.5779318767966659
23,1.446092902283059,0.12285864828386708,0.5892093783513599
24,1.4257836953680623,0.119275735622453,0.5843293819402334
25,1.3693321959612743,0.11402716732271471,0.5701358366135736
26,1.3461750101746062,0.11070574721777775,0.5644907653303188
27,1.3366546632248046,0.10882817792937202,0.5654878004064549
28,1.329746446932559,0.10672597795857564,0.5647407922171042
29,1.2212755547740608,0.10802882584585767,0.581753031101175
30,1.1376454388517794,0.09247088227203555,0.5064838813279844
31,1.096604772902778,0.08652716385009841,0.48176285930133206
32,1.0675678450941077,0.08877993527303767,0.5022151541189416
33,1.059063835871906,0.08808928901463707,0.5060344392335768
34,1.0495210133762507,0.08747315499897239,0.5100517588893547
35,1.0222185689992056,0.08375072369679817,0.4954759632825896
36,1.014669858564478,0.0825698125272734,0.49541887516364036
37,1.0030697170138585,0.08083887002798631,0.4917236495978829
38,0.9840673648354923,0.07987439985032968,0.4923788689161154
39,0.9718616113967107,0.07872347801638545,0.49162796263928743
40,0.9631191331877178,0.07806756622678983,0.49374264132538587
41,0.9522783270578451,0.07654451923751025,0.49012406637234684
42,0.9443764528053699,0.075631974440924,0.4901512148602392
43,0.9383907153165321,0.07418331315300154,0.48645251552985164
44,0.9367183537314844,0.07302732306544571,0.48440846010429983
45,0.9342668884928227,0.07230084364844667,0.485008803685532
46,0.9293969410508109,0.07158809164504888,0.48553406039893454
47,0.9224031199692468,0.07006791982140367,0.4803614568641376
48,0.9159410209038134,0.06972943000276462,0.4830996621904238
49,0.761542918705676,0.041615202718303386,0.2913064190281237
50,0.7578401803282591,0.04154344380113369,0.2937565082562388
51,0.7517969763368018,0.040449169152035586,0.2888648464932854
52,0.7503144744303634,0.04049778206456462,0.29203365955270727
53,0.7486160562871561,0.040011165350651294,0.29128568055091447
54,0.7448116892840881,0.03997510174517503,0.2937558050745605
55,0.7400192760996489,0.03924650372911355,0.2910598615796462
56,0.7321484922742026,0.0387469918201478,0.289955936318251
57,0.7253033283212602,0.038190312961354236,0.28833053988939905
58,0.7187278474613733,0.037266460094309964,0.2838129045369964
59,0.7164850764514394,0.036938745122749424,0.283731885031209
60,0.7105012818675767,0.03738606804529715,0.2895912378392263
61,0.7087481196291996,0.03708847970422897,0.2896702865898248
62,0.7067634296825529,0.03645439385289765,0.28704218424004385
63,0.6990167127560442,0.035459382147089796,0.2814501204156095
64,0.696158684371604,0.03522863166791119,0.2818290533432895
65,0.6701822531998555,0.034475707253450644,0.27795203793220497
66,0.6635166614004036,0.03476219765526776,0.28240942878094144
67,0.65589883151628,0.03396115524397559,0.2779840362122662
68,0.6519641486655756,0.033857837879907225,0.2791988836677924
69,0.6511901002063188,0.03348083814997221,0.278112729127057
70,0.6481906048441459,0.03330452329758093,0.27864563345858795
71,0.609924387351349,0.03382221920911993,0.284991084717247
72,0.6061442254992513,0.03369823406484376,0.2859389978551505
73,0.6033625718809468,0.033513971132585904,0.28634349487727756
74,0.6005086005839272,0.03317119642150631,0.2853494211147577
75,0.5936435693132691,0.03262177955950801,0.2825128981518988
76,0.587679219652063,0.032598999605674424,0.28419148988331416
77,0.5772874860828179,0.03032844631851284,0.2661310363698839
78,0.567370734981418,0.03055228856185092,0.2698305064973109
79,0.5646187094017451,0.030368453192639935,0.26992071612933205
80,0.5606997621601177,0.03023685322106509,0.2704466369119401
81,0.5526248362222261,0.030395517431871202,0.2735596568868408
82,0.5485533840358585,0.030192822852520566,0.2734076393371305
83,0.5451183923901287,0.03014630563014782,0.27464591510004555
84,0.5415401744263086,0.029471875297262647,0.27011419884401044
85,0.5400990534427204,0.029187483411686373,0.2690953009105412
86,0.5375156151113163,0.029014897761587225,0.2690730925267722
87,0.5334867541646979,0.028494509490949376,0.26577909095392166
88,0.5270735630171568,0.028631921635271503,0.2685912329442138
89,0.5264098313163454,0.02847061631772583,0.2685912571594483
90,0.5248153174928588,0.028316028913207354,0.2686294369707526
91,0.5220532733147908,0.028355493119031395,0.27049416461752507
92,0.514885098867274,0.027248989988859915,0.26136313033401415
93,0.5143787735773632,0.0271278876111336,0.2616118740052399
94,0.5130764196524539,0.027046507916531345,0.2622256232808406
95,0.5113466550650132,0.026921074395059457,0.2623941756699469
96,0.5095995245892908,0.026770392612924628,0.2622952084625497
97,0.5070983605767958,0.026746666437745963,0.26342411441743235
98,0.5024544004764439,0.02651173850449428,0.26245282108601364
99,0.5006479927024484,0.02648440485121386,0.2635165010620341
100,0.4966144222170632,0.02627485155206124,0.2627485155206124
101,0.4561037728636842,0.020941462264543333,0.2104590910830571
102,0.4469243944428447,0.02020488742971841,0.20405936037549097
103,0.4428794547189101,0.020417045434842625,0.2072103801977789
104,0.4380056684067636,0.02047064520080367,0.2087604386694648
105,0.4376632700352089,0.02036205854100501,0.20864901136326547
106,0.43675050507393004,0.020286110944490697,0.2088582952835047
107,0.43502163190318405,0.02006211281467357,0.20752410860666234
108,0.43439995309515833,0.01984369954128929,0.20622177489386567
109,0.4315190609437676,0.019603616874179768,0.20466776884968774
110,0.4295965253544386,0.019570482764449885,0.2052569548631649
111,0.42916592425055206,0.019584397115596622,0.2063344269682939
112,0.4278842135011806,0.01948415225032948,0.20620088544516527
113,0.4253474022026985,0.019508936923767706,0.20738284415109368
