sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.04787973425122225,0.004038612732890229,0.004038612732890229
2,0.04661889092683107,0.0032371678586475155,0.004578046689377587
3,0.044361305691845106,0.002537166724405178,0.0043945016739428714
4,0.04221269991492452,0.0024350222006949244,0.004870044401389849
5,0.041691429728516534,0.002259598874818319,0.0050526166859758
6,0.04142763359364391,0.0018329221576223666,0.004489724024415998
7,0.04068502463233633,0.0018282311508702775,0.004837044964344162
8,0.039431031337825814,0.002322235245593611,0.0065682731586786
9,0.039097720679695476,0.0021643304132402644,0.006492991239720794
10,0.03771130924528538,0.0018317005309324609,0.005792345669086281
11,0.03737019188883317,0.0018072197740954526,0.005993869904385463
12,0.035925368718646225,0.001800898703278151,0.0062384961067253305
13,0.03519965584601738,0.0017190454731122443,0.006198106598160449
14,0.03450874126297271,0.0013159422149299233,0.004923804909060209
15,0.034243789074392524,0.0012794586239279772,0.004955321942634514
16,0.03317139796874038,0.0011693838198266486,0.004677535279306594
17,0.03221694852012531,0.0010937443420781358,0.004509623449809849
18,0.03162261466622755,0.0010409836199176195,0.00441651946048721
19,0.031271058086451295,0.0009538630849549585,0.004157792793292617
20,0.030557631511525313,0.0008990240013830908,0.004020557560992912
21,0.029573122491033298,0.0006825961233045415,0.0031280484041264715
22,0.029164524589331324,0.000709493165926083,0.0033278179269467197
23,0.02897004000321508,0.0006984329669295091,0.0033495668397213697
24,0.02849859529363593,0.0006642156530246932,0.003253978858160033
25,0.027753744226310606,0.0007373671357949495,0.0036868356789747474
26,0.027301958436547973,0.0007512589889004723,0.0038306842441654934
27,0.026991989092674456,0.0007515601568578022,0.0039052211298664452
28,0.026658898941581306,0.0008150612259934161,0.0043128986145399865
29,0.02635540979410912,0.0008079164404209377,0.004350763182060214
30,0.025872191066978623,0.0006933120004158057,0.003797426220167679
31,0.02580938339692952,0.0006463072310157158,0.0035984863682886527
32,0.02566028956317535,0.0006499489845503031,0.0036766666752066396
33,0.025341579352859005,0.0006490806312787974,0.0037286843490355022
34,0.025165118306467928,0.0006290276850649414,0.0036678301721395734
35,0.02483636440749817,0.0006331096600487782,0.0037455272602996475
36,0.024585946569389804,0.0006166484873613583,0.00369989092416815
37,0.024281210078450046,0.0006020359456005459,0.0036620416917916574
38,0.02391588406670116,0.000564576499866632,0.0034802832815250787
39,0.02335273556895657,0.0005832595886650508,0.0036424549637599155
40,0.02323332371497972,0.0005885780105424785,0.0037224941880096576
41,0.023102616087458908,0.0006069347605971875,0.003886278676120355
42,0.02295536365159138,0.0005652281064010779,0.0036630967930374745
43,0.022721459743500434,0.000558415212863834,0.0036617734293896073
44,0.022344048269646297,0.0005744731288099819,0.0038106236408084336
45,0.02207304395101255,0.0005317465043609501,0.0035670639916469183
46,0.021740992095465237,0.0004767040518111729,0.0032331641836762194
47,0.021562422890619035,0.0004681298549920825,0.003209336593961544
48,0.021110880182535735,0.0004948136612064862,0.0034281696059552296
49,0.020750367421435986,0.0004671823052317268,0.0032702761366220877
50,0.020573493049671893,0.00046226050074287976,0.0032686753474997937
51,0.02051317549283922,0.000470377060469404,0.0033591641117706214
52,0.02031423501074795,0.00047655156704604713,0.003436462220774476
53,0.020213108811430718,0.00047369230683530006,0.0034485320474677695
54,0.019943842157438774,0.00045292406521099806,0.0033282985559819974
55,0.019876303866486998,0.0004472245024809037,0.0033167056786909885
56,0.01962705019944495,0.0004336878230643269,0.0032454224934450977
57,0.019437475916820803,0.00042224904709549604,0.003187910396021837
