sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.06547838556432076,0.004546195853065027,0.004546195853065027
2,0.06692359134556217,0.0022012758301263153,0.0031130741334887287
3,0.06774732407039111,0.002494604699532224,0.004320782084389904
4,0.06887579574901863,0.0020198755348036124,0.004039751069607225
5,0.06989240194853535,0.0016140154186136512,0.0036090481927529036
6,0.06228437927424255,0.0013945225792310505,0.0034158687539059996
7,0.06296273679947353,0.0012638628696386221,0.0033438668443522405
8,0.05987816219996297,0.0017882016498403732,0.005057798050924401
9,0.05549300899841991,0.0018700615461397438,0.005610184638419231
10,0.055926956773370354,0.0017946883548444277,0.005675302891488875
11,0.0561062793236823,0.0018344289142021178,0.006084112412987483
12,0.053178649628222406,0.0020047733431526903,0.00694473857600035
13,0.05027033714501587,0.0015694178339225751,0.005658616472835472
14,0.04710571466471837,0.0016427888886853333,0.0061467531802596315
15,0.04528462651584462,0.0014599052082106983,0.005654188558441506
16,0.04282190664024989,0.0014841159884017958,0.005936463953607183
17,0.03987685322987779,0.0012839398365038835,0.005293819562843781
18,0.03833710780368819,0.0011929264682968778,0.0050611583711378475
19,0.03616227259596528,0.001092905813854249,0.004763865997398747
20,0.03605757377158964,0.0011373566981623898,0.005086413783511628
21,0.03526592873655893,0.0010583002067832406,0.004849740805571617
22,0.03417689453340028,0.0008824144781896654,0.004138890775197175
23,0.03351746973702459,0.00086744561654195,0.004160123032571321
24,0.033492673165247386,0.0008328709762963078,0.004080217826999234
25,0.03257139053708268,0.0006858375093501999,0.0034291875467509997
26,0.032364578102525396,0.000690680757736931,0.0035217946613636617
27,0.03127574866869946,0.0006925537820153223,0.003598615012273558
28,0.030790945759863197,0.0006352460480118102,0.0033614061287516937
29,0.030443678659356644,0.000666803925304952,0.003590849031811372
30,0.030027392377910654,0.0006492613213056711,0.003556150713947256
31,0.02999186280961675,0.0006260593857108144,0.0034857511367759274
