sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,2.5459824956460357,0.4827609541688622,0.4827609541688622
2,1.830038757625791,0.19852962962233892,0.2807632947448191
3,2.126624674594424,0.20647685883052597,0.35762841008169755
4,2.1250515772182985,0.17888723588690456,0.3577744717738091
5,2.1987320772762913,0.17298658484834142,0.3868097629164266
6,1.8956919160665309,0.1640244726435901,0.40177626330589394
7,1.8974281748400323,0.15159707207010936,0.4010881521830451
8,1.88578790107344,0.14311804733520175,0.40479896712359387
9,1.8602317454571806,0.13842557794720442,0.41527673384161323
10,1.8286020002119,0.13162051457436466,0.41622061285837997
11,1.6225662308094406,0.10972210230572586,0.3639070445570818
12,1.591125927003682,0.10372174627132062,0.3593026687833901
13,1.5970336637232383,0.10076936273035446,0.3633291043201229
14,1.5591840762009788,0.09433763816003793,0.3529791206723132
15,1.5536448218067123,0.09267164986822576,0.35891575660520314
16,1.5536891480347965,0.0897325327726582,0.3589301310906328
17,1.2584137389629402,0.05685123168392781,0.23440363317929575
18,1.255184060863535,0.05530796754006167,0.23465183340733833
19,0.9580548289758788,0.04593197311138403,0.20021282906995047
20,0.9326743174570853,0.04261877543994702,0.1905969580030401
21,0.9325714377160643,0.04154120789162831,0.1903657296232836
22,0.928172003920715,0.04048375016265271,0.1898856197796606
23,0.9266150213885626,0.039444428031244566,0.18916883137128254
24,0.9221492797869362,0.038741958150209095,0.18979605820854464
25,0.8475447306851731,0.03578889613683655,0.17894448068418276
26,0.8446823488455409,0.03545839628543452,0.1808030545801365
27,0.8386027288257324,0.03538165813854176,0.1838484886559616
28,0.7912694630499646,0.03345571851519621,0.17703102224837655
29,0.7914630988552867,0.03272350009068706,0.1762214410546307
30,0.7323924611191237,0.03367791408629096,0.18446153234782542
31,0.731354886261714,0.03306202800280671,0.18408158127691546
32,0.7296631445326559,0.032593429661950085,0.18437628108873336
33,0.7284793677310109,0.0319411497236627,0.18348793559003124
34,0.7286550746233876,0.031350920172674816,0.182805707386002
35,0.6657564361511639,0.02894742333424958,0.17125526596058002
36,0.6598924754068444,0.028744150650477193,0.17246490390286315
37,0.643947299857524,0.028043742484195115,0.17058342599219434
