sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,4.723683315054083,0.4035003323251582,0.4035003323251582
2,6.077441392716704,0.45763122946793205,0.6471882912790236
3,5.430604624441353,0.35786157306370464,0.6198344266228584
4,5.393317859061001,0.31128457099775686,0.6225691419955137
5,5.417788154283141,0.2796608752987043,0.6253407278149947
6,5.405275972127788,0.25381326236430674,0.621712982743705
7,3.691251419918106,0.15477775413683284,0.40950344593115834
8,2.5999050323817956,0.10399699544881015,0.29414792281952074
9,2.558023687175453,0.1034860627596831,0.3104581882790493
10,2.265605848243218,0.09559512394736638,0.302298324879784
11,2.222880928021521,0.09285980580145865,0.30798113394870597
12,1.7362860146976888,0.06375721900943818,0.2208614853472863
13,1.6704682979928378,0.06608931791082903,0.23828842448793466
14,1.6503887367729297,0.06366741541196246,0.23822165517297442
15,1.6430203164313686,0.061307001080975226,0.23744099419253717
16,1.5926948960671745,0.05900552702758663,0.23602210811034652
17,1.5379236932876748,0.05775478550559566,0.23812908102446279
18,1.4394776975523382,0.04758810225625908,0.2018992188551978
19,1.3604634495597632,0.04841373786690658,0.21103059084091422
20,1.3579862674291732,0.04721694084066573,0.2111605788186293
21,1.320226423577981,0.04585344791039569,0.2101268959241029
22,1.3198207347845041,0.044819104013474276,0.21022023180596527
23,1.3104398457396074,0.04433393004628535,0.2126180592683162
24,1.2603999828313524,0.04567299268156978,0.22375105419143265
25,1.160520235401037,0.04616683702794407,0.23083418513972037
26,1.1478956660214104,0.04464057548732983,0.22762316550790654
27,1.117703597106639,0.04453606261694122,0.2314161696648334
28,1.1175507955416708,0.04394839863028562,0.2325530665905349
29,1.0952600075096441,0.042456104124601386,0.22863311777984144
30,1.075710564954506,0.04058899885925239,0.2223151026176399
31,1.0625734664796944,0.040564753724892016,0.22585499017643013
32,1.0670309390344186,0.03985908137924011,0.225477013881017
33,1.064490842411638,0.03942036673112054,0.22645276623642546
34,1.0605328569845973,0.03883706441906845,0.2264570543645962
35,1.05781994291612,0.0381097292729939,0.22546019889135885
36,1.0446989508481286,0.03739521104059999,0.22437126624359996
37,1.0442856391809736,0.036891448214265245,0.22440191888616978
38,1.0434848070690088,0.03640439797942658,0.22441178067403272
39,1.0427064510973696,0.03583826315155445,0.22380988164753263
40,1.0380677947385881,0.03525374826890556,0.22296428117591946
41,1.00622429721829,0.03492908979837233,0.2236553014794263
42,1.0027204319506198,0.034415428984035545,0.22303747127000464
43,1.0004259957552613,0.03436925227010105,0.2253742588874146
44,0.9981082956131365,0.03383354502613696,0.22442634835858297
45,0.9980648283298267,0.0335298671067991,0.224925186382011
46,0.985405944653202,0.034039761737726146,0.23086889665222032
47,0.9850404216335644,0.03360118338918833,0.23035810748100807
48,0.9661633102943853,0.034270511121804056,0.2374330658572756
49,0.9452711611396494,0.03378194439717857,0.23647361078024998
50,0.9422947747711463,0.03369972742147543,0.23829305783863522
51,0.9425453006390576,0.03327054611240558,0.23759922384027907
52,0.9308732305389166,0.033134647475409534,0.238937340934025
53,0.9273469689972635,0.032986765504203874,0.24014727776253209
54,0.9042418273734241,0.03325410417844148,0.24436676127160692
55,0.8938657457124772,0.032573042939149734,0.24156815176542432
56,0.8921341906922133,0.03212022254725938,0.24036573591755192
57,0.8732438185302808,0.032298379995764945,0.24384742149548613
58,0.8676517899989257,0.03206245692781205,0.244180397178751
59,0.8671296556023963,0.03180348003352221,0.24428716542691328
60,0.8644825487489424,0.031363891905383856,0.2429436620436026
61,0.8610189146266899,0.031247395976128356,0.24404996429548337
62,0.6156784611825621,0.019109267835992944,0.1504665254072091
63,0.6134986868172801,0.018737579694426097,0.1487249281281153
64,0.6126835107978129,0.018718570227416086,0.1497485618193287
65,0.6123508016671821,0.0185440366374377,0.14950680306491426
66,0.6002754805252761,0.0182504330320182,0.1482672188533526
67,0.5929585340697503,0.018135764487178657,0.14844763011515377
68,0.592388592003809,0.017888428483993576,0.1475117602316262
69,0.590629246170081,0.017874955056417903,0.14848052822022906
70,0.4582778555723436,0.008618813290692364,0.07211016556482916
71,0.4544577431002798,0.008695690502096776,0.07327119055185458
72,0.4532497896879778,0.008570190987285614,0.07272048195808188
73,0.4445574896632259,0.0086352712663006,0.07377979004110517
74,0.4200726756580918,0.00898386558702507,0.0772821339349805
75,0.42028906381126685,0.008888681877201057,0.07697824311814469
76,0.40422017385381503,0.009612759139090911,0.08380209131178866
77,0.40293551992992394,0.009627677601839425,0.08448252808943375
78,0.401947577394422,0.00941875489111876,0.08318419085691667
79,0.40075917117992593,0.009291052923104856,0.08258068472212426
80,0.4009995900195701,0.00925633072131565,0.08279113886032582
81,0.400988318647783,0.009288496591370897,0.08359646932233808
82,0.40134416683735064,0.00922629080838266,0.08354761666636219
83,0.3819380743211573,0.00753043466822553,0.06860552486695423
84,0.37990021151978653,0.007583749364636137,0.06950621103003671
85,0.3796111585097221,0.00751208956557,0.06925804371693862
86,0.376218628385028,0.007476990270733711,0.06933875526531758
87,0.3648785859709276,0.007317967437525824,0.0682574561879644
88,0.36308402812908913,0.0072717042357938405,0.06821463229668444
89,0.3623781893764541,0.007202618619084557,0.0679493681538433
90,0.3594047174818986,0.007134929980516231,0.06768788905275626
91,0.3543101062735299,0.007306517142630119,0.06969973128179799
92,0.35433508084418575,0.0072114159883473646,0.06916947224927528
93,0.35343460047123976,0.007210661033587573,0.06953709676381904
94,0.35338297106025973,0.007061939578762918,0.06846804450052031
95,0.3538386600198968,0.007025532337277489,0.06847641885424872
96,0.348589062845299,0.006829364409073618,0.0669138322790173
97,0.34959874702542637,0.006836895760305425,0.0673356141489508
98,0.3482197898061739,0.006884360501328802,0.06815169192471382
99,0.34062404950817626,0.006601432774344376,0.06568342677376554
100,0.3406967195464626,0.006483496285376822,0.06483496285376822
101,0.338602940823721,0.006552616519555806,0.06585298101443791
102,0.338751516478034,0.00647815715455349,0.06542618017389859
103,0.33756105279699355,0.006417320376305082,0.06512868863757708
104,0.33743480864732633,0.00635373676524318,0.06479565550041375
105,0.33525146873319495,0.006301363010756519,0.06456975652966099
106,0.33371253316254545,0.0063021626356578216,0.06488473558508075
107,0.3149958130440681,0.00544816059105355,0.056356211364607015
108,0.31556419948989345,0.0054040651919147,0.05616069287886429
109,0.313136144415072,0.005408672165562015,0.05646819521468043
110,0.31278811279742136,0.00554841310750663,0.05819224760456199
111,0.31151070372094636,0.005501648083113378,0.05796345927372853
112,0.3110101422213906,0.005421687285729418,0.05737774497760332
113,0.3105443621255011,0.00555444869976789,0.05904459958788706
114,0.31178201373825243,0.005391542180310607,0.05756591775830386
115,0.3100573984987148,0.005447174085398489,0.058414434298495424
116,0.30661547437508696,0.005380872480182213,0.057953770223911606
117,0.30615883316890014,0.005312892069395981,0.05746771433163958
118,0.30174811610346947,0.005265180466406561,0.05719449965312964
119,0.30242058370626995,0.005109505203621126,0.055738121314536
120,0.30314297998646145,0.005188237395381986,0.056834293102851256
121,0.29633819892485147,0.005145729759068541,0.05660302734975395
122,0.2962832952320059,0.005227647159043256,0.05774125014210611
123,0.29631921613102863,0.005031835892362247,0.055805759658504706
124,0.29567065336339227,0.005126363792130603,0.05708477126545389
125,0.29510848553201446,0.005120712212016535,0.05725130299641144
126,0.29427858186344397,0.005112506710376789,0.05738774549343797
127,0.2924441954387273,0.005084925129045607,0.05730419594703283
128,0.29321310373406406,0.005050310231672118,0.05713773779057854
129,0.2929003589787384,0.005049638951164054,0.05735287356608737
130,0.2584116499219007,0.003352152950056319,0.03822042414827793
131,0.25672278447964647,0.0032872056481763508,0.037623788319568884
132,0.2566812202952973,0.003295394129501562,0.03786119604391075
133,0.2564823485802122,0.0031722348012545314,0.03658399641046096
134,0.25480666337632324,0.0031006321909971025,0.03589241253852357
135,0.2536667455390729,0.0031250666177347025,0.03630999289882573
136,0.25414706085282124,0.0031917109807087555,0.03722142638152454
137,0.2534499733152531,0.0031516780392158317,0.03688944566422655
138,0.23957383003695748,0.002706291458479043,0.03179172623870327
139,0.24007413002435238,0.0027469121215622475,0.03238561628714821
140,0.2349878517583996,0.002753527700604831,0.032580179123506026
141,0.23435288618002761,0.002639144470998538,0.03133810426575136
142,0.23587585798547156,0.0026809085541041147,0.03194671244301271
143,0.234477362903691,0.002631530262100145,0.0314685250275555
144,0.2351209651128327,0.002660810707496079,0.03192972848995295
145,0.23425359269762946,0.002605049146435857,0.03136894567920951
