sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.18749947009363205,0.02855863217646198,0.02855863217646198
2,0.18407952917054843,0.022966604710721397,0.032479683863564014
3,0.1741192400984059,0.011636547172288094,0.020155090927074928
4,0.1690080514683745,0.015559699590664514,0.031119399181329027
5,0.16527769004113074,0.011743258208105442,0.026258723630656143
6,0.15840406285234815,0.008095182486956912,0.01982906646775897
7,0.14973671085372803,0.007989670317909097,0.02113868071858184
8,0.14506115439049633,0.007658569688464758,0.021661706243612702
9,0.14595336736723635,0.00672664587359929,0.02017993762079787
10,0.14219657377320688,0.006728859700250005,0.02127852270850789
11,0.13866594088525455,0.004418988216684767,0.014656125867745097
12,0.13726199850091234,0.0038483428661582387,0.01333105073826261
13,0.13592027774429521,0.004045895745895951,0.014587684567009474
14,0.13341597788612444,0.004230628760777442,0.015829563353461203
15,0.13171719820997843,0.0033870326175564516,0.013117920920857453
16,0.13154790860326998,0.002709811807311414,0.010839247229245655
17,0.1317792941492241,0.002854666054152088,0.011770089667134243
18,0.12817011093561684,0.0024066504336139596,0.010210553049323855
19,0.1272299269890062,0.0023552360855170294,0.010266236084949051
20,0.12557704011513668,0.002452136634827335,0.010966288411182998
21,0.12449935405659303,0.002312714472187149,0.010598189129617453
22,0.12351862425339628,0.0021670055532076802,0.010164156998390192
23,0.1246967379390651,0.0020767447038729024,0.009959717716706404
24,0.12349051271371773,0.002160987006061731,0.010586631011271878
25,0.12236564922393564,0.0019828701301124003,0.009914350650562002
26,0.12138260492306059,0.0017675434500710064,0.009012738543035175
27,0.12126372932933346,0.0018322790513220963,0.00952080123160192
28,0.1201114310715018,0.0014505361671369055,0.007675515931898148
29,0.12044642153759355,0.0013542383734544356,0.007292796829197899
30,0.12029690747265946,0.001326068495459631,0.0072631762776017685
31,0.11955100966171783,0.0013513259551955242,0.007523864495904878
32,0.12004596648029545,0.0013014062451688151,0.007361865448299134
33,0.12016779686369164,0.0013317743288719973,0.007650461063256328
34,0.12084756384827489,0.001521413725517065,0.008871290245647378
35,0.12103130508440454,0.0014214399958194328,0.00840935242215655
36,0.12042773390303443,0.0014495918821370492,0.008697551292822295
37,0.11974261877674475,0.0014940513634173226,0.009087959651735858
38,0.12031851736894901,0.0015404386614237332,0.009495901655195246
39,0.12026388417332445,0.001576864532745502,0.009847515850741086
40,0.11865343339090931,0.001625306731709272,0.010279342337211025
41,0.11892182218376315,0.0014910998019062602,0.009547697282017294
42,0.11927415595953776,0.0014994141613603042,0.009717314379296814
43,0.11875744644818212,0.00147489461707234,0.009671530781275809
44,0.11821877217902625,0.0015939822682302554,0.010573282212398791
45,0.11798884347220531,0.0015601888514797874,0.010466064988938385
46,0.11821935348320338,0.001364018315296978,0.00925122231737071
47,0.11807117891445817,0.0013722992462712436,0.009408009640826337
48,0.11795372636142716,0.0012718078660783737,0.00881134336605399
49,0.1171796639783192,0.0011771775924320194,0.008240243147024135
50,0.11670573078410337,0.0011946724822169557,0.008447610134725746
51,0.11738210343039979,0.001230502694414895,0.008787546923293107
52,0.11799772809476772,0.001153079857712896,0.008314977103377134
53,0.11707651015273675,0.0011990393513827415,0.008729138239637994
54,0.11721891957973977,0.0012207319750329978,0.008970511354592337
55,0.11711800091584157,0.0012087098268372951,0.008964031989128408
56,0.11630074974977307,0.0012314940554139402,0.009215657658415534
57,0.1155625997173652,0.0012578190372076383,0.009496325480449328
58,0.11577172539806982,0.0011870238259730484,0.009040104129865223
59,0.11652456016920217,0.0011543868601294545,0.008867013722078753
60,0.11820276710991195,0.0012980125412997534,0.010054361911244624
61,0.1187108810532707,0.0011702727871319603,0.00914012265641977
62,0.11919873339186864,0.0011864589050250393,0.009342186760358591
63,0.119530825940015,0.0011695114428969607,0.009282709300049024
64,0.11976286643951939,0.0011673324217881817,0.009338659374305454
65,0.11917370430237029,0.0011341488420329037,0.009143800289403604
66,0.11941570155468055,0.0011096514943271507,0.009014851355675455
67,0.11914560515103426,0.0011001470784032027,0.009005091937675033
68,0.11852987479107291,0.0010062076782025758,0.00829740107707345
69,0.11874227729024396,0.001017627057149994,0.008453045196473236
70,0.1181700358946299,0.001055317009153992,0.008829415568806403
71,0.1176754289602158,0.0011677849147190783,0.009839930594278935
72,0.1180425594362942,0.0011293031447486548,0.009582454940004804
73,0.11769324711480349,0.001128992619145486,0.009646117166414881
74,0.11774588128746202,0.0011267275854691366,0.009692477177555085
75,0.11881672004648927,0.0011555348422035744,0.010007225283063382
76,0.11982397315537496,0.0010162853972494486,0.008859770688812873
77,0.1197559796769998,0.0009867275357900455,0.008658498986616836
78,0.12217913770605848,0.0010609574231185712,0.009370122250338633
79,0.12320000537758206,0.0012139467107238333,0.010789794377174197
80,0.12337100757632202,0.001133865746730435,0.010141603548191252
81,0.12319838714478677,0.0011275033440850248,0.010147530096765223
82,0.12311374068298002,0.0011606756835342545,0.010510365334873576
83,0.1230744568487158,0.0012221203483562704,0.011134046259420495
84,0.12383532956130036,0.001157786666224804,0.010611290073171471
85,0.1234908115212725,0.001168936634492168,0.010777063269458868
86,0.12362562172085748,0.0011877041650406662,0.011014315312098405
87,0.12367211571400027,0.0012195525095758534,0.011375228531959712
88,0.1231334208533446,0.0012334409150273737,0.01157070141331085
89,0.12258840817201522,0.0012256058362308054,0.011562342334339873
90,0.12258649657453713,0.0013027901112236083,0.012359352193832085
91,0.12239953083152096,0.0012608818862208946,0.012028046596226522
92,0.12205634050225486,0.0012236702636125288,0.011737032848746701
93,0.12177146441591673,0.0012508224771721874,0.012062495133848657
94,0.12274535804288526,0.0012157309722890138,0.011786949092805244
95,0.12268507138403581,0.001220346206534439,0.01189446350455894
96,0.12232962813839696,0.0012395497413079533,0.012145057508013493
97,0.123134201100664,0.0012552141492885886,0.012362425667145776
98,0.1237862921260184,0.0011949938148728052,0.011829835219615592
99,0.12361979112825247,0.0011941207022521001,0.011881350971297742
100,0.12341029171523057,0.0012025181306589772,0.012025181306589772
101,0.12305233672947799,0.0011666116467523868,0.011724301948012508
102,0.12299666752903518,0.0011367390586712956,0.01148050173667981
103,0.12308300952616084,0.0010801718505548128,0.010962546982945793
104,0.1232278470287181,0.001082213677268433,0.011036457316537488
105,0.12380775866361007,0.00092590621431869,0.009487715392019652
106,0.12394722652562784,0.0009016136478478328,0.009282680648307387
107,0.12416168456013119,0.0008938225182896182,0.009245772021825471
108,0.12430236620868626,0.0009084515604430434,0.009440905553415481
109,0.1241381225958158,0.0008711751997225866,0.00909533610806517
110,0.12401909002490615,0.0008741324785430719,0.00916797877968879
111,0.1241643750481809,0.0008758336088465345,0.009227479647918549
112,0.12452822774545377,0.0009151839195657348,0.009685396220225096
113,0.12447664508151282,0.0008945496828762386,0.009509193565709957
114,0.12443390345033774,0.0008876175114705209,0.009477161627844052
115,0.12504121849391572,0.0008762831220312244,0.009397089583750429
116,0.12518566803207914,0.0008785887275964963,0.00946269019159547
117,0.12547931971833307,0.0008626468675086119,0.009330952540262073
118,0.1254964182442355,0.0008748651405653457,0.009503467981364372
119,0.12558506181609494,0.0008336648479172242,0.009094209826020563
120,0.12543839903533888,0.0008332414922178302,0.009127703222739418
121,0.12586536164860057,0.0008379089195769421,0.009216998115346363
122,0.1257497188555679,0.0008265609142082509,0.009129663700126479
123,0.12555564392552834,0.0008466419635231434,0.009389713604311572
124,0.12562042434564274,0.0008260394544492846,0.009198386073548559
125,0.12560249386773487,0.0007992916226681417,0.008936352010660384
126,0.12598695426499545,0.0007971769287001939,0.008948288831510533
127,0.12566095073562888,0.0008034152129341967,0.009054029630805874
128,0.1254154427496676,0.0007660661172183635,0.008667048741157656
129,0.12524627540351935,0.0007614305162079395,0.008648188226480556
130,0.1251591644175048,0.0007651797352827237,0.008724391299532253
131,0.12447839659152908,0.0008209535078834547,0.009396242373199278
132,0.12442846182873676,0.0008538511003259475,0.009810002273275666
133,0.12446052270834604,0.0008670714241164215,0.00999955547267298
134,0.12427914345177879,0.0008438194235976488,0.00976791602297284
135,0.12410912321054728,0.0008416152633896585,0.009778685697066348
136,0.12400700396059046,0.0008224157431364722,0.009590933271584438
137,0.12424552506765738,0.0008030906320964506,0.009399934849799093
138,0.12426236452519454,0.0007910314418349859,0.009292515396386064
139,0.12430876072083978,0.0008175670545531131,0.009638973416707858
140,0.1241515310409704,0.0008280663102755893,0.009797812714574616
141,0.1241778863196111,0.0008878873535108413,0.010543078170342496
142,0.12395092784483688,0.0008958804969354448,0.01067564821451515
143,0.12392173788598962,0.0008638457763985663,0.010330093036000925
144,0.12415874704825877,0.000867612129489261,0.010411345553871132
145,0.12417826307969819,0.0008744176689291322,0.010529383061777234
