sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.5859848691031317,0.03281559336591746,0.03281559336591746
2,0.47008875261871125,0.06190489101797526,0.087546736454849
3,0.46928820925440434,0.05110299080803811,0.08851297649824731
4,0.332398516982435,0.03024498242910253,0.06048996485820506
5,0.28060361738395473,0.025013212565122036,0.05593124363126476
6,0.2839743919809799,0.024396825649073486,0.05975977418387505
7,0.23751278648908175,0.019512695081865344,0.05162573859524883
8,0.23669385624502653,0.018487601806907637,0.05229083442216424
9,0.22769079153644478,0.021813193973636597,0.06543958192090979
10,0.19881797435187581,0.010604349800615824,0.03353389847509843
11,0.18169954308623745,0.010434944489600485,0.03460879558019144
12,0.1794661957754728,0.009404503761641682,0.032578156670272036
13,0.174339777457228,0.01036510040288041,0.03737190097791777
14,0.16744564708315712,0.009030705424522282,0.0337898056594433
15,0.16030188327109607,0.008367102526224787,0.03240564874007861
16,0.15582613839603865,0.008133840956479094,0.032535363825916375
17,0.1545587055219436,0.007776255414591911,0.0320623224461437
18,0.14661147887915285,0.005525187446657957,0.02344138506515176
19,0.14348348223593616,0.0056543087371439755,0.024646560380789675
20,0.1398186949477616,0.005309553468655428,0.02374504497216667
21,0.13845743475581898,0.0051154468582071426,0.023441922441258263
22,0.13669594013948294,0.004972120163096265,0.02332131077272256
23,0.13457517165600946,0.004494900720476173,0.021556786569420686
24,0.13065132772093765,0.003936000923507391,0.019282387779432936
25,0.1277113085976465,0.0036016118097554396,0.018008059048777197
26,0.12695125368639076,0.0037760528566645915,0.01925416720049053
27,0.1262150035642157,0.0036072376435390733,0.01874375662075412
28,0.12438530400429311,0.003516343966786917,0.018606743320561097
29,0.12396834424889949,0.003486388926302441,0.018774778949907353
30,0.12252980765313906,0.0033280527547658906,0.01822849566352487
31,0.12052678995373375,0.003430716852672505,0.019101423031270347
32,0.11800987560639065,0.0034863487972809862,0.019721767009111598
33,0.11634771580576567,0.0032426897738306176,0.018627834549058215
34,0.11571478257365533,0.0030287968552438534,0.017660768762185634
35,0.11575122181500072,0.003074586839232567,0.018189501040967938
36,0.1146390285230193,0.0030237640457303028,0.018142584274381816
37,0.11510342805331882,0.0029706302582939033,0.018069638426520276
38,0.11393661183975412,0.0026031521210656485,0.016046907386955474
39,0.11261880531008059,0.002540509045404887,0.015865473903466546
40,0.11261050169577098,0.0026955327041899876,0.017048045705426517
41,0.11156467953349494,0.0026468771900610335,0.016948283489187956
42,0.11059650240668781,0.002313476231036793,0.014993039565279372
43,0.10954527025234535,0.00233027404161237,0.015280628772649877
44,0.10878666268462855,0.0022851971472083047,0.015158283018561002
45,0.10858539872551307,0.0021835941512464234,0.01464799487237388
46,0.10862997338940047,0.002160246676008846,0.014651505801641493
47,0.10800281730145231,0.0020415568746690125,0.013996208779804993
48,0.10755644981305452,0.0020184915058352637,0.01398451937101155
49,0.10755761079839476,0.0020904407208351293,0.014633085045845906
50,0.10736870666321063,0.0020986717646443755,0.014839850362647759
51,0.10715785415130301,0.0020098292315152266,0.014353051610459269
52,0.10766625036791659,0.002075803949225224,0.014968835153484381
53,0.10781453897258549,0.002054695892890425,0.014958411889295645
