sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.36961434044271513,0.04627608532395969,0.04627608532395969
2,0.28693188280022536,0.03640928421541439,0.05149050353373568
3,0.25807560996307305,0.02057944443200122,0.03564464334776654
4,0.25460174328393737,0.016665984599382587,0.033331969198765174
5,0.22805811475586282,0.018218830961015016,0.0407385444994074
6,0.22667619436017708,0.016574047680145042,0.0405979597889146
7,0.21923900811120248,0.014051763460757115,0.037177471599067646
8,0.20043220687433538,0.008751699999253857,0.02475354566553082
9,0.20020269132954,0.008504131493856754,0.025512394481570264
10,0.18714297338376984,0.008902192033165567,0.028151202993008398
11,0.18455541840862616,0.008104887863932887,0.026880872012570438
12,0.18020305306293932,0.007315809841929429,0.025342708689468415
13,0.17487144510582012,0.007389671084786521,0.0266438380050114
14,0.17008131708426785,0.007708344098833938,0.028841982637197325
15,0.15915112447683263,0.007598746528765625,0.029429818757960684
16,0.1591813817440707,0.007448221371829667,0.02979288548731867
17,0.15744204604312959,0.007535678654144824,0.031070399051751445
18,0.15384272090836779,0.006330636705858641,0.02685861686364667
19,0.14092319316229035,0.005737051783024396,0.02500722895606318
20,0.13538976165736213,0.004559634065025232,0.020391303443840228
21,0.13167384508033125,0.00418719538025951,0.019188139779608607
22,0.13085496863170226,0.003938656127656823,0.018473934773686685
23,0.12647446545721477,0.003900863426988972,0.018707883791291395
24,0.12466264396517404,0.0033831406278671057,0.016573936532707032
25,0.1240921955575065,0.003009710406574604,0.01504855203287302
26,0.12195698507512169,0.0031988348365225893,0.016310921252189067
27,0.12071611728314888,0.0031160495944078225,0.016191468649256226
28,0.12105331327731536,0.0033145944454340604,0.01753918519930915
29,0.11998417888187003,0.0032184511294508066,0.01733188975580078
30,0.11869954101168792,0.0026488954901840393,0.014508598124475027
31,0.1182666175611932,0.0025543179792081195,0.014221840615970963
32,0.11617744277135274,0.002180061793200404,0.012332291819021684
33,0.11621242742939972,0.002204840039148473,0.012665841730483764
34,0.11498782972508755,0.0021992924858941793,0.012823968687943697
35,0.11311831436812314,0.0016789968607080824,0.009933079383522808
36,0.11126973181085602,0.001994492396556949,0.011966954379341692
37,0.11151403405810083,0.0021095765748582757,0.012832053344342776
38,0.1112427003863262,0.002128230462411724,0.01311929366403597
39,0.110582441987581,0.002155118795753747,0.013458712565792915
40,0.11033315978766148,0.0020707559098258046,0.013096610306607578
41,0.10999549429484631,0.0020457365928852763,0.01309910556130701
42,0.1094940646415663,0.0019604083042310486,0.012704897882726897
43,0.11059480413032015,0.0018712577690344684,0.012270657783566037
44,0.11066590150365181,0.0018081138212791565,0.011993670246877367
45,0.10928069972279922,0.0016899379538219733,0.0113364484275085
46,0.10994264242474201,0.001616755754671622,0.010965371030299662
47,0.1108887700942726,0.0014710990277519913,0.010085346817253442
48,0.10963852263387275,0.0015876412532547337,0.010999501259318104
49,0.10993843425026657,0.0015857478923327454,0.011100235246329217
50,0.10940673079868021,0.001456350211645132,0.010297951104367365
51,0.11019231618785448,0.0013249001582373977,0.009461679655017473
52,0.10984411956659194,0.001495294531949727,0.010782722213731333
53,0.10937561631566842,0.0015327973221351805,0.011158932943139023
54,0.10907523722060097,0.0014746658616595256,0.010836536706502576
55,0.10774509357172923,0.0013000018496401396,0.009641071750522767
56,0.10806140470551558,0.0013144444812415693,0.009836401805483518
57,0.10762342282319684,0.001344927019616064,0.01015397632562342
58,0.10782579787226945,0.0013266480863643657,0.010103450817079557
59,0.10848520913242657,0.0012538754937641775,0.009631200417283364
60,0.10833325731176861,0.0012908256962126143,0.009998692848576098
61,0.10860982786323943,0.001352490949841178,0.010563292002663743
62,0.1085798118233676,0.0013390355960548426,0.010543576826917929
63,0.10807854697736412,0.0013522102371889874,0.010732836023633174
64,0.10764891446154379,0.0012503672321924296,0.010002937857539437
65,0.10741345172865073,0.0012328600400017945,0.009939635410072128
66,0.10698268385173901,0.0012104022825716004,0.00983335462867071
67,0.10671073339291512,0.001192481572879698,0.009760882347977654
68,0.10699093373363344,0.0011758543530533835,0.00969634339596284
69,0.10682813536817518,0.0011378233213789858,0.009451470353151385
70,0.10727948859167953,0.0011733238522370277,0.009816731653456954
71,0.10670812354955643,0.001096103802546158,0.009235934807202053
72,0.10568575542058448,0.0010122340595782912,0.00858909081210957
73,0.10584471678540404,0.001023525302155358,0.008745004015042636
74,0.10585517914197547,0.0010002577744603531,0.008604542726796121
75,0.10584749968021132,0.0010068049019171816,0.008719186217149795
76,0.10483548841613603,0.0009378572440906878,0.008176049900917734
77,0.10536768655893096,0.0009362751405532591,0.008215781015155403
78,0.10556607105636429,0.000888983356555873,0.007851288419246935
79,0.10520464816793258,0.0008986031507467922,0.007986959507849837
80,0.1050284623050876,0.0009144398587994002,0.008178998742443072
81,0.10443205637456147,0.0008778100449689417,0.007900290404720475
82,0.1044848745193511,0.0008251063828191667,0.007471656076363005
83,0.10452482742110278,0.0008372025404019581,0.007627278136622911
84,0.10480905276007606,0.0007125044946399205,0.006530211559367386
85,0.10515361401261585,0.0006768833022947976,0.006240555697906107
86,0.10469068197466327,0.0007714777817389094,0.007154390625597948
87,0.10410479211090018,0.0007587084034868148,0.007076760870085374
88,0.10390860601317849,0.0008151006623186372,0.007646321984763704
89,0.10377439181302617,0.0008071892040522996,0.007615007721029182
90,0.10351256763322791,0.0007689566806513096,0.007294963598582602
91,0.1038508599695072,0.0008298444272360863,0.007916211302178948
92,0.10373468008906242,0.0008312177906815265,0.007972760966577636
93,0.10339257021613546,0.0008468102696562121,0.00816634250138678
94,0.10369071868017503,0.0008092120828315656,0.00784560222864099
95,0.10384175923093605,0.0007847598303703643,0.007648892676687107
96,0.10374264727435485,0.0008064238739630792,0.007901308030432147
97,0.1036699013684973,0.000787420978593242,0.007755197248315974
98,0.1029944338533163,0.0008009804321920591,0.007929301732810312
99,0.1031561769653863,0.0007920535339055616,0.00788083315751936
100,0.10321315896203627,0.0008028110705946637,0.008028110705946638
101,0.10302196572723052,0.000816957252422329,0.00821031877461707
102,0.10260590823764801,0.0008237423272507647,0.008319389702006968
103,0.10227960927514379,0.0007587761551762157,0.007700736921061
104,0.10215085263944279,0.0007958489882121648,0.008116099041533804
105,0.10207608573692928,0.0007960545791467291,0.008157132079533221
106,0.10220638539567406,0.0007773239309093493,0.008003039692380793
107,0.10232572913052977,0.000697851126457758,0.007218628182191178
108,0.10221578929610742,0.0007040331529669709,0.007316527146910229
109,0.10230588199954287,0.0007298668917665154,0.007620034060748263
110,0.10197163438672315,0.0007342736344527649,0.0077011268479211525
111,0.1023467752858384,0.0007406284153768614,0.007803004543934606
112,0.10249655996464002,0.0007536412067564578,0.007975788843392794
113,0.10270833880651375,0.000771276914406093,0.008198786062132831
114,0.10283235946753722,0.0007796751003764256,0.008324652057879463
115,0.1024939729530546,0.0007559161238567092,0.008106297331411761
116,0.10249667207379198,0.0007609153296160479,0.008195308908514984
117,0.10259365716184898,0.0007474904840307063,0.008085345804282324
118,0.10163091309971332,0.0006989667815018076,0.007592722718094839
