sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,4.450415402067021,0.43497155810020505,0.43497155810020505
2,4.30621847734721,0.32612775377296266,0.46121429245199713
3,3.8879170835646164,0.25156221912771165,0.4357185447939718
4,3.868510880236072,0.2188977715374689,0.4377955430749378
5,3.880002577878127,0.19655817300299555,0.43951743636786206
6,3.381892287526303,0.12863781731772042,0.31509701405377244
7,2.881945986170296,0.10294754368321933,0.2723735986707568
8,2.8537008851263925,0.09853765022687293,0.27870656271044
9,2.8238490861423324,0.0943443847063462,0.28303315411903857
10,2.3442971646043196,0.062144016728575856,0.1965166358139055
11,2.321585507080955,0.05974249282530275,0.19814343274202872
12,2.313555878070446,0.05670161619851157,0.196420160254185
13,2.2298160910853655,0.05021263431829967,0.18104422771075224
14,2.236348289907201,0.04898280067057628,0.1832768579539373
15,2.2290509238420912,0.04717413507287445,0.18270463950898194
16,2.112064463007541,0.057466893569599685,0.22986757427839874
17,2.0079694121096208,0.053272964199606886,0.21965005838472737
18,1.9963501718379846,0.05129170462329749,0.21761227294650626
19,1.9381857895176986,0.04945769008115321,0.21558107304470078
20,1.9364961897121353,0.04816187856377436,0.21538646878537882
21,1.9127933444858791,0.04707834503789161,0.21574007972938694
22,1.9110838717986873,0.04595625938632269,0.21555396328814136
23,1.90967729314325,0.045169766736283784,0.21662659121455205
24,1.8880336147853627,0.04638735124699156,0.22725068214877256
25,1.7675120276813245,0.042226006661401555,0.21113003330700778
26,1.7397100256195965,0.041599932193224214,0.21211886601738694
27,1.737294489311439,0.040816016910409626,0.21208624515425983
28,1.7176846202499934,0.04084235601642114,0.216117433954826
29,1.7170773530190189,0.04011409600018863,0.21602101805023077
30,1.7158843620729793,0.03941993326298851,0.21591186663487033
31,1.6575097999579995,0.03637731786734671,0.2025403340371528
32,1.6572648531324095,0.03586876723321008,0.2029043883472375
33,1.6433644417313817,0.03523763986222981,0.2024248297047248
34,1.640180501528647,0.034635361772632337,0.20195712835678303
35,1.6193716366134676,0.03479554125441245,0.20585319815723815
36,1.5605686314264609,0.03625816246930701,0.21754897481584207
37,1.5584012578596742,0.035716999670508606,0.21725802729044358
38,1.5502658053433334,0.03483835479204607,0.2147580421204901
39,1.5461095794486046,0.03420010097301347,0.21357956212149223
40,1.5428589208790648,0.03386999751331278,0.21421267297261515
41,1.5422504879594194,0.033481664132300554,0.21438725511511972
42,1.5399715441129866,0.03292431207697115,0.21337392924430834
43,1.5374343514727147,0.032686343952290635,0.21433869105133632
44,1.4931219786230447,0.030713425988916406,0.20372982006317192
45,1.4904379721801422,0.03047871098039801,0.20445740885621763
46,1.4896979086459878,0.030146330822933748,0.204462363421597
47,1.4899944984758196,0.02976552251174964,0.20406214134101724
48,1.4892375316088162,0.029533574493018605,0.20461460620411387
49,1.4597812072322145,0.02998512609800629,0.20989588268604403
50,1.4496858668325177,0.02954277638683061,0.20889897518205736
51,1.4229343266014987,0.028576265596592775,0.20407535551309866
52,1.4184787426872763,0.029289071058128256,0.21120649502157948
53,0.8880464528780909,0.016286065266651422,0.11856434480521696
54,0.8701946914750909,0.016263375119996062,0.11951091161839648
55,0.8645172998055326,0.01617166825127962,0.11993230161895288
56,0.8640642016451687,0.015984610919647545,0.11961787504441328
57,0.8600422166429146,0.015716697744562733,0.11865846584064185
58,0.8556459419258967,0.015537499089184344,0.1183300676957951
59,0.8544347519601592,0.015359119713651496,0.11797563707951911
60,0.854631901156037,0.015371855748343492,0.11906988262727419
61,0.8155095765782361,0.01277249904917297,0.09975640655932123
62,0.7948848406565833,0.012865045811773397,0.1012994720214264
63,0.79313380023624,0.01273221254949848,0.1010588041367659
64,0.7878322841641967,0.012597244215152311,0.10077795372121849
65,0.7872325184470841,0.012649845699153853,0.10198631650278422
66,0.7722727934859133,0.012270577051621863,0.09968663921442071
67,0.7703990963035268,0.012026705162545165,0.09844282443873177
68,0.7692566221975061,0.011863968681357412,0.09783279202451296
69,0.7633234378665184,0.011637462069781068,0.09666802013264739
70,0.762268993812276,0.011726923365185086,0.09811448013878825
71,0.7616635574014267,0.011547445637323033,0.0973005064376958
72,0.7612606886145998,0.011455047292706726,0.09719929943382634
73,0.7608291882906393,0.011421391301028077,0.09758441005272095
74,0.7537428649289686,0.01169281419345406,0.10058539097918451
75,0.7518895772719002,0.01171169941766031,0.10142629217181245
76,0.7504286372320523,0.011388967019738266,0.09928671262071341
77,0.7455280494497535,0.011024563976476878,0.09674015628011069
