sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,5.1118028274605605,0.8583125340585862,0.8583125340585862
2,4.200533587875883,0.7068064710653049,0.9995752973536209
3,3.7721566503230357,0.5347810594716095,0.926267965930341
4,3.534371170064774,0.40177815935558203,0.8035563187111641
5,3.483075805397097,0.3399438808863259,0.7601376261969162
6,3.2038434821321027,0.27517266028510123,0.6740326088627154
7,2.9103987944990917,0.21599448165111276,0.5714676830111483
8,2.773602205970678,0.2434438118385694,0.6885630807558174
9,2.648672630613526,0.21936791053285729,0.6581037315985718
10,2.4452160572190462,0.2060890905731654,0.6517109271239387
11,2.3939305001351854,0.19487829988436522,0.6463382004987995
12,2.2821031008877584,0.19834594339381237,0.6870905028665271
13,2.067400160763809,0.21075198218971045,0.7598770781906744
14,2.067379762905568,0.20393960546811948,0.7630721312555525
15,2.0306821432518327,0.19058544774441508,0.7381342651436035
16,1.9267145702057817,0.16799396671903,0.67197586687612
17,1.861224461592745,0.16746604285750089,0.6904801834056902
18,1.7531975047118469,0.1519452320056004,0.6446490235207396
19,1.7164002988183895,0.14809600146168517,0.6455355043139376
20,1.6314323855442154,0.12385152637588329,0.5538808641871664
21,1.5992154762405333,0.12401881624743058,0.5683256130526698
22,1.5675520056390204,0.11434754186304609,0.5363375124515007
23,1.572837943432825,0.10909672107726331,0.5232094940323946
24,1.463915115939463,0.11855212949718788,0.5807844503769295
25,1.3916185400611547,0.10242893112773425,0.5121446556386713
26,1.3372826270813047,0.09614644516496834,0.4902526000587522
27,1.275240940220293,0.09024686970784064,0.4689364906740859
28,1.2663371585222873,0.08951521099293497,0.4736699736895623
29,1.2554605253018538,0.08816315313605463,0.47477310955429136
30,1.2114870925822931,0.08307042869527578,0.4549954765802699
31,1.1412675387180893,0.08288304410013883,0.46147325922362203
32,1.1369462235383725,0.08185500947116157,0.4630418581691794
33,1.1331374965974434,0.07894843024518738,0.4535242033893166
34,1.1121222037547371,0.0788001583799945,0.45947993281993876
35,1.1017101222086543,0.07614442369647687,0.4504764856264981
36,1.0733843955927962,0.07756336336503775,0.4653801801902265
37,1.0596645191696528,0.07425113986468544,0.451652051400841
38,1.0596658399630816,0.07316307803766628,0.451007502755702
39,1.057250363993162,0.07234699157116627,0.45180681755207913
40,1.0461558174672256,0.07106188584743807,0.4494348282095779
41,1.041958129936766,0.07046270388648751,0.45118144709062197
42,1.04163251630245,0.06964261671095794,0.45133574046232444
43,1.0314972657452433,0.06874485219410682,0.450790142125083
44,0.9473866135301933,0.051822002277143994,0.3437482748764595
45,0.921176635921003,0.05095236159232287,0.34179883240375014
46,0.9173999686198405,0.050811479574402144,0.3446202214044248
47,0.8999432576033535,0.05025015888292056,0.3444977329165777
48,0.8864459674497874,0.05011241184254582,0.34718897360442263
49,0.8340107484850963,0.04754437832540635,0.33281064827784446
50,0.8304493623558141,0.04733908234089231,0.33473786138393297
51,0.8131720463720301,0.04738777943757072,0.33841643524098586
52,0.7906833531243873,0.03924702542910449,0.2830143251881506
53,0.7459641693181174,0.028239703426273355,0.20558814418396157
54,0.7357471414853944,0.028526427402475622,0.20962557396183906
55,0.7281121723808163,0.028960362984544873,0.21477580015172293
56,0.7268939303790629,0.0288344562406017,0.21577731237251463
57,0.7241844473255747,0.028419332997781783,0.2145612588940792
58,0.7202587707323284,0.028484994679754207,0.2169352564027486
59,0.712161647894409,0.02767189152353719,0.21255183191149907
60,0.7050942421525838,0.027271403170090497,0.2112433806109373
61,0.6833990904469041,0.027449796225526547,0.21438976207412241
62,0.6685191402456637,0.027228901464085836,0.2144005845289036
63,0.665632231595034,0.027195537530802966,0.2158578872316847
64,0.6475926416624912,0.027262177069492542,0.21809741655594034
65,0.6457389405932339,0.02696588605372771,0.21740592377640203
66,0.6302235971301171,0.026570213271070554,0.21585743303354527
67,0.6169617986644472,0.026713399846933022,0.2186586014832303
68,0.6152983863719739,0.026454972153667593,0.21815328902469083
69,0.6126429492134485,0.026326063396811032,0.2186807064286446
70,0.5991736409553594,0.026964495363469034,0.22560115406277959
71,0.5947854580494089,0.026941629100194323,0.227014201931604
72,0.5929813185869355,0.0268755967753943,0.22804700073979942
73,0.5935669858215243,0.026633764026641683,0.22755897959552984
74,0.5848455866220956,0.026372325167475966,0.22686331913884267
75,0.5708498176250931,0.026097021776517865,0.22600683821580175
76,0.5646547180948346,0.02605061063297218,0.22710395833330377
77,0.5587707930984742,0.026170382057149628,0.22964417055593378
78,0.5565918188445309,0.025953631569998758,0.22921626763900602
79,0.5543470717435585,0.025836904925930024,0.22964343412336488
80,0.5530917062702219,0.025583832000247574,0.22882874990995197
81,0.5523628707573736,0.025327236955108915,0.22794513259598023
82,0.5466307861825677,0.02513382814509391,0.22759649384958333
83,0.543808548192333,0.025013657280977142,0.22788526322982144
84,0.5397664477185491,0.024916345746809194,0.22836208085288826
85,0.534683923615274,0.025037754607320148,0.2308366917129779
86,0.530445010503646,0.02506478499849833,0.23244125374769736
87,0.5066744263245022,0.01885125552166235,0.17583280587717828
88,0.5049162572118518,0.018980943924808327,0.17805703704249154
89,0.5034382215101554,0.018921560721810678,0.17850564683862527
90,0.5013006317967597,0.018571498269402256,0.17618470227955943
91,0.49824804868279815,0.018370406685473857,0.1752425108324545
92,0.49736811009918414,0.018287118527711352,0.17540387901150836
93,0.4960525217245014,0.01810214987382651,0.17457081140633554
94,0.4921856984695932,0.01810056464520859,0.17549148527687966
95,0.48531082130397385,0.016473153133911022,0.160560435806776
96,0.4827031695243294,0.01655282680871308,0.16218391792803635
97,0.48158906960486253,0.016477765115369216,0.16228716551266778
98,0.47900268893424824,0.016498043716696758,0.16332230023743746
99,0.47323992797721975,0.016618194830816658,0.16534895084052748
100,0.47223230082810197,0.016599526271645834,0.16599526271645834
101,0.4716069708760277,0.016569444507559473,0.16652085641203737
102,0.4697703610419084,0.016521163651379577,0.1668555738845961
103,0.4663235531256234,0.016589753835858742,0.1683676127717031
104,0.46447579989158994,0.016453337942650952,0.16779178246662754
105,0.46160510467841204,0.01653747458860129,0.16945868790270538
106,0.4286107293092674,0.009052388493727572,0.09320004382394552
107,0.4262526428579923,0.008749397905742334,0.09050447567547085
108,0.42527195417914,0.00875454886120483,0.09097994054970614
109,0.42027107510317796,0.009163269050757698,0.0956673375135242
110,0.4186311787560372,0.00908231903076387,0.09525616561369302
111,0.4185171932636174,0.00908865374517996,0.09575490893878434
112,0.41694048871031075,0.00890386420441794,0.09422964156951938
113,0.41366119221038683,0.009013769029884917,0.09581767910998842
114,0.4013204843727231,0.008836101327598038,0.09434374531764202
115,0.4018531331889962,0.008945475712178621,0.09592953980644035
116,0.3995853390037186,0.008751721365746161,0.0942589238013267
117,0.3970689030647231,0.008797458421578539,0.09515906229829175
118,0.3919794820211602,0.0091875030788097,0.09980182920733592
119,0.39151288725826017,0.009048854494473865,0.09871134864744288
120,0.39145545753940936,0.009024935246792862,0.09886321229383808
121,0.3885414603349734,0.009131157142269057,0.10044272856495963
122,0.388418057357897,0.009116250332420863,0.10069227604464182
123,0.3858195203217086,0.009053427955246326,0.10040737324580695
124,0.3864027398641745,0.009024630222490492,0.10049402908100265
125,0.38537133446472277,0.0089470149734286,0.10003066838147412
126,0.38411441001461977,0.00888451106833586,0.09972838940014114
127,0.38167806264904935,0.008872559033200254,0.09998866226877012
128,0.3791018574107858,0.008798714470908665,0.09954609068965958
129,0.3765730556226128,0.009009632954325683,0.1023297595538346
130,0.3768243994198427,0.009041209924430119,0.10308565368997655
131,0.3761083676719981,0.00883164850311353,0.10108283732668823
132,0.3729642722022914,0.008370464308249037,0.09616931319869439
133,0.37218983241327075,0.008452629873290325,0.09748048310330497
134,0.36829864650879596,0.00852632791267033,0.09869938129677956
135,0.3639889082445582,0.008053976456143665,0.09357875005617314
136,0.3637062865762736,0.008056963016341146,0.09395952753366582
137,0.36327391777226575,0.008043483949077451,0.09414656586064157
138,0.3622710531003569,0.008030770057060009,0.09434018732169913
139,0.35794104387521264,0.008243628723235325,0.09719094926581649
140,0.35486533057660213,0.008105572457345712,0.09590642669070408
141,0.35091376237598093,0.007411370627284512,0.08800515016220109
142,0.3504643344282855,0.00736460326951302,0.08775937640537167
143,0.34921449188343223,0.0073819427078394935,0.08827519569098065
144,0.3357209937132183,0.008417974059662098,0.10101568871594517
145,0.33414142980152733,0.008483743516137655,0.10215779993178749
