sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.050052989829874196,0.005798762979578047,0.005798762979578047
2,0.04902484026114009,0.005935311626231839,0.008393798198727778
3,0.0455009547513045,0.0034400796308496494,0.0059583927027143805
4,0.04347865636324744,0.002588953091608593,0.005177906183217186
5,0.0421941366435719,0.0013438834613060903,0.0030050147733181264
6,0.0414589313181116,0.0011943018659119843,0.002925430170338216
7,0.0391485422736777,0.001365242191173732,0.003612091317218596
8,0.038034130287334926,0.00114866949699308,0.0032489279626637902
9,0.0372788743147072,0.001248107361863984,0.0037443220855919515
10,0.035905713115425966,0.001278620090556616,0.004043351748209657
11,0.03500534948826437,0.0010862781012563093,0.0036027768798468683
12,0.033148915205634746,0.0009716601271232785,0.003365929415732705
13,0.03201000888373122,0.0010450670701984172,0.003768042907899317
14,0.031590823274163134,0.0009283209457417589,0.0034734589239316235
15,0.030653700381621823,0.0007648408362414331,0.0029622158212624246
16,0.02943838278739965,0.0007189611557480122,0.002875844622992049
17,0.02870074499620106,0.0005789271727241628,0.0023869778826819225
18,0.02788308692423852,0.0005179485187094038,0.0021974694593096806
19,0.02699200260102009,0.0005753673498056335,0.0025079681332155733
20,0.02610050731393689,0.0004918378111068723,0.002199565559079335
21,0.025685934357070728,0.0004041555554686869,0.0018520734254721814
22,0.02517936852772299,0.00041249402514934367,0.0019347684763934838
23,0.024984418766457326,0.00037996310159735925,0.0018222390203362889
24,0.024993158763744205,0.0003671807835895047,0.0017988111262991632
25,0.02422376508000909,0.0003741815688966309,0.0018709078444831544
26,0.023772304745969763,0.0003422652854942295,0.0017452173695604817
27,0.02348235827224948,0.00032585356480008997,0.00169318479018358
28,0.02326217057848997,0.0002944929020261468,0.0015583099632697878
29,0.02275856883452055,0.0002594798023538316,0.0013973414997980708
30,0.02222338170808909,0.00020542491820916005,0.001125158615768107
31,0.021904525193530637,0.0002595944005494811,0.001445360452169623
32,0.021344239423560042,0.00025610248452121874,0.0014487344278694128
33,0.02073272796463587,0.00027862522726771865,0.0016005800729453055
34,0.020434013959910378,0.0002954107492360623,0.0017225258680156877
35,0.02004984554966902,0.00024208495941404582,0.0014321939341819276
36,0.019714385413549366,0.0002360533690732238,0.0014163202144393428
37,0.019427683859749086,0.00023514623857803037,0.0014303387291630088
38,0.018934580588965223,0.00024605032078880653,0.0015167560429055274
39,0.01870590634307217,0.00022952089812010532,0.0014333575493506604
40,0.01856139266980423,0.00020676806497400762,0.0013077160654070966
41,0.01839550656920031,0.00018916342767648115,0.0012112369285911522
42,0.01808338522369627,0.00019011053527244587,0.001232057083136243
43,0.017897090871275133,0.00020733007420506097,0.0013595542158386592
44,0.01756718488488182,0.00017363602276234349,0.0011517710751846057
45,0.01747197698256514,0.0001674933563480985,0.0011235795917218325
46,0.017149413119331526,0.0001591968413123086,0.001079725510051306
47,0.016940373805307274,0.00016890365932286446,0.0011579451490613664
48,0.016740187299749392,0.00016519841766224772,0.0011445282108839873
49,0.016702077423536518,0.00016422380212318083,0.0011495666148622658
50,0.01673345972207364,0.00015972719669561628,0.0011294418392338778
51,0.01647330877415667,0.00016301669960537524,0.001164172092889057
52,0.01622215550102573,0.0001512225464111663,0.001090481290183386
53,0.016062439465671093,0.00013750354289189203,0.001001040902418371
54,0.016000983793232088,0.0001386234605503351,0.0010186702341814632
55,0.015933396350199934,0.00013956208637376405,0.0010350201338210233
56,0.01567155218267279,0.00014922075692538152,0.001116665894819705
57,0.015534076280902942,0.0001497185996497592,0.0011303506392362672
58,0.015299486965025972,0.00013469602526712283,0.0010258143666961195
59,0.015134588942246835,0.00013858669604611474,0.0010645046110457734
60,0.014874843619975764,0.00011654511263743298,0.000902754560653291
61,0.014604361343594755,0.0001453093480544998,0.0011349022885488642
62,0.01449008389452445,0.00016141163315353405,0.001270956470408033
63,0.014373830676304003,0.00017594489691002434,0.0013965193250244634
64,0.014177685286977895,0.00016957294836282598,0.0013565835869026079
65,0.014028973661806637,0.0001714799483614579,0.001382515542354999
66,0.01393124446823225,0.00018236867656387665,0.001481570132207568
67,0.013719935383239307,0.00018463333630422356,0.0015112889910978346
68,0.013653486480473261,0.00017757644376382268,0.001464332868519591
69,0.013500276058753518,0.00016252060022625478,0.0013499974960551767
70,0.013419296437787326,0.0001729912966142297,0.0014473490281542555
71,0.01336756479067247,0.00018575767511330268,0.0015652219920217231
72,0.013282199059484232,0.00018181837534056428,0.0015427800737716074
73,0.013267207955792563,0.00018924877497765119,0.0016169422422058063
74,0.013141240171160435,0.00018704345835250218,0.0016090086678207647
75,0.013086183325679998,0.00018918801617693215,0.001638416281008046
76,0.013026313862082828,0.0001867496909802566,0.0016280460614407756
77,0.012998936941988809,0.000187640910152691,0.0016465423042077085
78,0.012916134913163794,0.000193940540891024,0.0017128364794358015
79,0.012726321732705223,0.0001949703027838908,0.0017329339567461082
80,0.012720168958862948,0.00019086968189709937,0.0017071903342627008
