sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.054068605575485415,0.006257121973754769,0.006257121973754769
2,0.052813288675726745,0.004766995004847595,0.006741548987620268
3,0.053156066428896045,0.004900096918825096,0.008487216825416775
4,0.049089040869609614,0.0015761359447079664,0.0031522718894159327
5,0.042836787661349754,0.0018056876970852342,0.004037640436817633
6,0.04010162574081085,0.001674488592867554,0.00410164263263651
7,0.03919953202294018,0.00201955003879722,0.00534322716290829
8,0.03809392434716703,0.0016779569063826143,0.00474597882816779
9,0.03698016542931402,0.0016112203844449475,0.004833661153334843
10,0.035838137360980904,0.0012727823671336116,0.004024891245842849
11,0.03521198024299509,0.0011693274045338107,0.003878220257918774
12,0.03360692906873475,0.0010621053014216568,0.0036792406901011323
13,0.03286832469195396,0.000986251392540939,0.0035559799663041182
14,0.03190585546556122,0.0009127041468679469,0.003415026213067662
15,0.031652148756577105,0.0008683270401459893,0.0033630161655469957
16,0.030020546007971754,0.0006852999506837294,0.0027411998027349178
17,0.029647823686664583,0.0006847228746277029,0.002823184736366578
18,0.029267795542191076,0.0005842742363557001,0.0024788656475982426
19,0.028276027229836315,0.0005873374632462295,0.0025601446480458495
20,0.027268478720317835,0.0006753452046069558,0.0030202355715593147
21,0.0264331391963167,0.0005471874552331945,0.002507527932936374
22,0.025931461746230712,0.0005546415649989523,0.002601499537524217
23,0.025196639694390364,0.0005973217634802418,0.0028646545428592874
24,0.024336915855171302,0.0003678024604648395,0.0018018567085580795
25,0.023718445555744656,0.00038638204757063146,0.0019319102378531573
26,0.02349493708545223,0.0004151386340583896,0.002116799995909983
27,0.02295063794650134,0.0002758783586315336,0.0014335060015755725
28,0.022726626076396465,0.00027135644523815455,0.0014358833415093486
29,0.022274446066014357,0.0003267815390814723,0.001759772443882793
30,0.022160299548302488,0.00030056637970527183,0.0016462698619224034
31,0.021857703366624837,0.00032466993570155593,0.0018076856976814376
32,0.02156389537726579,0.00032573014841002525,0.001842607974221035
33,0.021035022629622868,0.0003198123207798438,0.0018371819118545285
34,0.020639713566856635,0.0003040318518878345,0.0017727951028586942
35,0.02045137599027838,0.0002870434323046875,0.0016981718467292848
36,0.019546488192555417,0.0003079427982618664,0.0018476567895711984
37,0.01909574945889971,0.0003109221909706146,0.0018912658530742818
38,0.018815474277584298,0.0002599301729018389,0.001602317197630243
39,0.01832301988311254,0.0002366570785715306,0.0014779229819860211
40,0.018159145628955438,0.0002466555803211107,0.0015599868628106313
41,0.01783683272118039,0.0002449900087491383,0.0015687014629504929
42,0.017505930693121674,0.0002560701640802797,0.0016595243340030471
43,0.017110074362484545,0.0002301373212137803,0.0015091113360069068
44,0.01697831317016711,0.0002250364875901662,0.001492723186952101
45,0.016748753769931114,0.00020288292591965883,0.0013609800414912335
46,0.01646136799135855,0.00017947138499478158,0.0012172341555631255
47,0.016347835076644675,0.00017135349631434228,0.001174740385302224
48,0.01624861161308639,0.00015207331609492678,0.0010535948398075802
49,0.016128673332881906,0.00017263916755723026,0.0012084741729006118
50,0.0160288054617439,0.00015552743389302918,0.0010997450316630342
51,0.015903712940395425,0.00016459290393994538,0.0011754284433331485
52,0.015505579473418612,0.00020612780057084818,0.001486408708513617
53,0.01537729029654275,0.00020108689881196085,0.001463934720645707
54,0.015344948549832396,0.00020239309509873546,0.0014872794313634786
55,0.0150905385086211,0.0001763504809571945,0.0013078501700733384
56,0.014981444420718576,0.00017099692584735394,0.0012796238214247756
57,0.01487023092897816,0.00016419823201588375,0.0012396694662840952
58,0.014661850145825836,0.00015716435131143372,0.0011969280399181641
59,0.014301229283749346,0.00015618273824936481,0.0011996623757945842
60,0.014167251618997822,0.00015704131101091197,0.001216436764423683
61,0.014044836725640728,0.00015605914819948185,0.0012188609116472716
62,0.013911307622981992,0.00013095547357288515,0.0010311444300578434
63,0.013798496755470947,0.00012463463799104515,0.000989256770606605
64,0.01370412732311252,0.00012037528394455297,0.0009630022715564237
65,0.013615353354466713,0.00014027867866885476,0.0011309628640190567
66,0.01355267258237522,0.0001502293141734115,0.0012204687178469166
67,0.013388469506770528,0.0001527716266662489,0.0012504896577960436
68,0.013275243286590447,0.00016022181344542075,0.0013212229207269551
69,0.013131417461315594,0.000168933935018018,0.0014032706558773198
70,0.012873855585465648,0.00014092492368709817,0.0011790625039136012
71,0.012775985042632023,0.00013028491828826044,0.0010978002346829262
72,0.012590243409907229,0.0001247149720125816,0.001058241629107043
73,0.012347232622658303,0.00011359266013956316,0.000970536113673009
74,0.012260811850295258,0.00010672954879719077,0.0009181222943581332
75,0.012143390307547939,0.00011200854155064018,0.0009700224242369924
76,0.012083182168588703,0.00010851752185542117,0.0009460338227424947
77,0.011989945750402813,0.00010927483963438867,0.0009588828262297457
78,0.011879787823589442,0.0001232194998983372,0.0010882451571706227
79,0.011693325080745873,0.00012097653843303652,0.00107526299352668
80,0.011610492602932863,0.00011609262316988913,0.0010383639883765569
81,0.011489763289345522,0.0001273802817266288,0.0011464225355396593
82,0.011396045035472382,0.00012055920803341489,0.0010917100606914023
83,0.011240201512169763,0.00011600181546100328,0.0010568268348176246
84,0.011171661856615417,0.000124138395502704,0.0011377471880830133
85,0.011098644001606697,0.0001225801203857751,0.0011301328694769675
86,0.01107950905254727,0.00012357220849077872,0.0011459615181893367
87,0.010883192644756758,0.00010714428748051584,0.0009993753827038897
88,0.01070586224852887,9.177138725423695e-05,0.000860891922156264
89,0.01063063923403786,9.008443107319771e-05,0.0008498548230366008
90,0.010529918027725843,9.433843784304858e-05,0.0008949730034587673
91,0.010476166725745004,9.049747005711235e-05,0.0008632908431653569
92,0.010366735123243946,8.216458910058218e-05,0.0007880950530172174
