sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,2.564227920768068,0.4019750252797067,0.4019750252797067
2,2.75281135541539,0.24508513553544542,0.34660272261027514
3,3.425599881254292,0.3147011602507511,0.5450783987551762
4,2.417808977698582,0.15271430034622935,0.3054286006924587
5,2.221505221998341,0.10471310065313282,0.23414561119518262
6,1.825030348918559,0.11702411459052149,0.2866493683477656
7,1.7424889778263535,0.09637977474364734,0.25499691538811486
8,1.4149994427005606,0.05050146233456548,0.14283970590643308
9,1.2477425999659373,0.045228654404152774,0.13568596321245832
10,1.2012933010552032,0.042240592097846204,0.13357648074330403
11,1.1180089088851122,0.04139068694753754,0.13727737842004267
12,1.0810940178417217,0.037835282194147675,0.13106526215793968
13,1.0204837792968227,0.031499040756638674,0.11357140657599075
14,0.9987094248822042,0.03255981665540944,0.12182767850071793
15,0.9601132254275301,0.031971494756052474,0.123825066743549
16,0.9247781527080301,0.027405928497837084,0.10962371399134833
17,0.9054712297126561,0.026562261229505838,0.1095190087045014
18,0.8482223474077066,0.02446638073748502,0.10380206238340547
19,0.7759495035329441,0.02288858808334406,0.09976904241562608
20,0.758890459788733,0.023525260867512086,0.1052081649763454
21,0.6969177406861593,0.022470719344017644,0.10297377231406929
22,0.6700899601776967,0.023105554217053743,0.10837465563912359
23,0.6473141277485082,0.018318723928527913,0.08785351368329718
24,0.6312122567004141,0.01773509424356604,0.08688386287381598
25,0.6125330673382565,0.013668399084094212,0.06834199542047106
26,0.5989540185628387,0.01467387990231017,0.07482239996199654
27,0.5874903593651615,0.015011074840088578,0.07799983289775683
28,0.5836156166392733,0.014067525656737453,0.07443834889949577
29,0.5745710544882241,0.013234189126635843,0.07126828953572145
30,0.570151317416953,0.013294254076774802,0.07281562843054576
31,0.5592987318469539,0.013241252033619876,0.07372417119203929
32,0.5522107081079289,0.013465941906556653,0.07617487069752253
33,0.5363899083782904,0.013539337047073448,0.07777756985950662
34,0.5252593861667252,0.013915244473341514,0.0811391211290663
35,0.5211962995380768,0.014245241844872632,0.08427598728381566
36,0.5126907568235486,0.014377075999555735,0.08626245599733441
37,0.5016862598247906,0.015433569146554546,0.09387873611342866
38,0.4939642881287156,0.015802708470279925,0.09741443737903001
39,0.4830196235024699,0.015608424624103986,0.09747458053568167
40,0.47729657672871273,0.015877550898183424,0.10041844900702365
41,0.4721864968361421,0.015954155937471872,0.10215644257100934
42,0.4695902613124094,0.01586448343362207,0.10281360344749184
43,0.4624707547176882,0.014685904276920677,0.09630191446969116
44,0.46046802523789043,0.014544306483279678,0.0964760148819443
45,0.4545180087434379,0.014366233611410893,0.09637162480727117
46,0.45103938393295967,0.014399583057523811,0.09766272391554637
47,0.4308960367971794,0.013261853411984176,0.0909186863537136
48,0.42631045341353324,0.013337402219586644,0.09240423314122392
49,0.41259129967784824,0.013447857334702305,0.09413500134291614
50,0.40802420344824386,0.013556338774320277,0.09585779075383999
51,0.402664740916156,0.013528394204117894,0.09661205896182186
52,0.3983457026700961,0.013549409994183073,0.0977061849726226
53,0.3967534913773216,0.01350364888275879,0.09830804777274409
54,0.3925571176525452,0.013004063681061962,0.0955599618037816
55,0.3836907467448313,0.012533089619052492,0.09294788027145146
56,0.37359967513420267,0.013245968126203767,0.09912374896876501
57,0.3637256932138774,0.011865512523914178,0.0895826550451836
58,0.3595565250569296,0.01181599477322778,0.08998793521297664
59,0.3565313412030658,0.01204196488129825,0.09249608734396716
60,0.34301776201416156,0.011724335147519437,0.09081630954339412
61,0.335344343611088,0.012074159230621604,0.09430219821780772
62,0.32709803073194604,0.011943248429042276,0.09404123217155808
63,0.32141422079006643,0.012004538673938471,0.09528307180589488
64,0.31973345395793085,0.011933710658323545,0.09546968526658836
65,0.3069138426274478,0.008491288949095134,0.06845896012288409
66,0.29993631084044386,0.008035375277813558,0.0652796973526197
67,0.29442293630160615,0.007164886725141137,0.05864712541578613
68,0.2896936253346932,0.007042185304759081,0.05807134769338838
69,0.2849527285563396,0.007047645719040121,0.05854214210717108
70,0.28290923006678687,0.007134175543439308,0.05968879499472684
71,0.27888209625076354,0.0068139565041958556,0.05741541805226349
72,0.278401320125743,0.006719318990412661,0.05701531227691606
73,0.2714872303385934,0.006131651243361463,0.05238885118826123
74,0.2643374075886581,0.0065086810413723115,0.05598979137731835
75,0.2570923354397949,0.0064138921056505595,0.0555459350062585
76,0.25618088696174585,0.006197000353429757,0.0540241965873723
77,0.25121780891122175,0.006240749030299893,0.05476235049153348
78,0.2502911745168673,0.00617985882215648,0.054579035304952506
79,0.246056960206584,0.006075514502217625,0.05400035408093059
80,0.24299247222073875,0.005751923979168523,0.05144677207532761
81,0.2384532698747223,0.00586757444525377,0.05280817000728393
82,0.23604589027322467,0.0058991888231269005,0.053419426796009695
83,0.2348598592316326,0.00579294193279013,0.05277621270652428
84,0.23318377992308115,0.005800892915687019,0.05316606176893769
85,0.2291946360438216,0.0058165730622237,0.05362615393626363
86,0.22870354589514158,0.005782881151317091,0.05362823360210767
87,0.22805428922241747,0.005689930855227296,0.05307214187257082
88,0.22737337654139705,0.005728945078349739,0.053742268565308976
89,0.22490769619151219,0.005804938953651811,0.05476368456149159
90,0.2230774444741749,0.005707790416427966,0.05414885436837998
91,0.21822467294219922,0.005660457964706421,0.05399732750506233
92,0.21753278125280925,0.005703086734984768,0.05470208628765312
93,0.2167842886044154,0.005717456863483925,0.055137157232481145
94,0.2122837475124883,0.005720813819719714,0.055465347843768456
95,0.21000518572802784,0.005833052067279346,0.05685355890233456
96,0.20874750942377046,0.0058228745169335355,0.057052285610968985
97,0.20887351149680597,0.005787084217955855,0.05699616954966563
98,0.2075437322076572,0.0057122520524126846,0.056548410269508964
99,0.20702384693206105,0.005646906771219051,0.05618601295875261
100,0.20334352618634116,0.005582216651803359,0.05582216651803359
101,0.2032210331384055,0.005531963131592939,0.05559554141313545
102,0.19846295838594502,0.0055099467520573365,0.05564773443251516
103,0.19617393206262673,0.005591565342736065,0.056748190342556036
104,0.19225705996857484,0.00556026894249999,0.056703839677262724
105,0.18774030519123533,0.005647810442400782,0.05787283553875331
106,0.18851276691909752,0.00567266707468096,0.058403682113869856
107,0.18625523562451538,0.005777703362142915,0.05976502829479944
108,0.17600617370939076,0.0031204879828327426,0.032429062384046574
109,0.17310308086012924,0.002784528587626335,0.029071331937642726
110,0.17002249460085372,0.0020661374355936983,0.021669832239862574
111,0.16969842191648118,0.0022444096475874387,0.02364632292654349
112,0.16746062552458316,0.001910228896761235,0.020215962432158018
113,0.16547343280103832,0.0017744874368687972,0.018863060196781085
114,0.16329806054309903,0.0019016893994411607,0.0203044865288917
115,0.15955348484737003,0.002076071620975789,0.02226338784132863
116,0.15846375567953205,0.0020167499421257997,0.021721061626252806
117,0.15853407392217916,0.002051846499219581,0.022194113286952446
118,0.15790705467222013,0.0020399897058643026,0.022159960379112012
119,0.1553029336150464,0.001747508775191618,0.019063070146365022
120,0.15319607878101899,0.0018045786513966001,0.019768168683243388
121,0.1493799162203498,0.0014504828082369824,0.015955310890606807
122,0.14860042206832952,0.0013261855646827972,0.014648198337703843
123,0.14613596866532547,0.0012753453336582026,0.014144263981215197
124,0.14526441751196406,0.0012752393941847975,0.014200464906038122
125,0.14420116169386632,0.0013013234904998962,0.01454923892737535
126,0.1429942547685157,0.0012873635208032984,0.014450619681230912
127,0.14061428869016243,0.0010840622596592789,0.01221676122455673
128,0.14060478855420586,0.0011246773548038971,0.01272427174766055
129,0.13928289284768214,0.001111677825512754,0.012626232962290958
130,0.1384883704868075,0.0010951762355267624,0.012486930299001999
